,aflpp,fun,fun-static,fairfuzz
cxxfilt,25.393453880872528,19.68216197474251,30.396504733274845,43.54641202211728
objdump,92.2485772248006,55.40205321104986,89.55237294455128,213.22232528513518
nm-new,56.589111143399315,35.41253309211302,39.958603579204315,40.51357797084824
readelf,56.846196002898914,159.04134682528314,91.2318475095183,82.80427223277795
djpeg,86.34574395996597,51.84293587365592,100.8119412569761,82.9731281801524
mjs,43.59641613710925,37.2999664879206,28.98495299288926,16.3902409988383
mutool,2.0591260281974,1.4654350889752847,3.2078029864690882,6.104096984812741
readpng,8.55219270129012,4.042276586281547,10.641780866001705,9.164469433633352
tcpdump,145.31292956925753,131.81990555299302,152.6916828121296,210.6397161031129
xmllint,337.02713540603816,394.7322985264824,387.4719860841555,401.2121477472984
