,min,max,ave,time
0,1014.0,1252.0,1133.3,1.0
1,1014.0,1252.0,1133.3,2.0
2,1014.0,1252.0,1133.3,3.0
3,1014.0,1252.0,1133.3,4.0
4,1014.0,1252.0,1133.3,5.0
5,1014.0,1252.0,1133.3,6.0
6,1014.0,1252.0,1133.3,7.0
7,1014.0,1252.0,1133.3,8.0
8,1014.0,1252.0,1133.3,9.0
9,1014.0,1252.0,1133.3,10.0
10,1014.0,1252.0,1133.3,11.0
11,1014.0,1252.0,1133.3,12.0
12,1014.0,1252.0,1133.3,13.0
13,1014.0,1252.0,1133.3,14.0
14,1014.0,1252.0,1133.3,15.0
15,1014.0,1252.0,1133.3,16.0
16,1014.0,1252.0,1133.3,17.0
17,1014.0,1252.0,1133.3,18.0
18,1014.0,1252.0,1133.3,19.0
19,1014.0,1252.0,1133.3,20.0
20,1014.0,1252.0,1133.3,21.0
21,1014.0,1252.0,1133.3,22.0
22,1014.0,1252.0,1133.3,23.0
23,1014.0,1252.0,1133.3,24.0
24,1014.0,1252.0,1133.3,25.0
25,1014.0,1252.0,1133.3,26.0
26,1014.0,1252.0,1133.3,27.0
27,1014.0,1252.0,1133.3,28.0
28,1014.0,1252.0,1133.3,29.0
29,1014.0,1252.0,1133.3,30.0
30,1014.0,1252.0,1133.3,31.0
31,1014.0,1252.0,1133.3,32.0
32,1014.0,1252.0,1133.3,33.0
33,1014.0,1252.0,1133.3,34.0
34,1014.0,1252.0,1133.3,35.0
35,1014.0,1252.0,1133.3,36.0
36,1014.0,1252.0,1133.3,37.0
37,1014.0,1252.0,1133.3,38.0
38,1014.0,1252.0,1133.3,39.0
39,1014.0,1252.0,1133.3,40.0
40,1014.0,1252.0,1133.3,41.0
41,1014.0,1252.0,1133.3,42.0
42,1014.0,1252.0,1133.3,43.0
43,1014.0,1252.0,1133.3,44.0
44,1014.0,1252.0,1133.3,45.0
45,1014.0,1252.0,1133.3,46.0
46,1014.0,1252.0,1133.3,47.0
47,1014.0,1252.0,1133.3,48.0
48,1014.0,1252.0,1133.3,49.0
49,1014.0,1252.0,1133.3,50.0
50,1014.0,1252.0,1133.3,51.0
51,1014.0,1252.0,1133.3,52.0
52,1014.0,1252.0,1133.3,53.0
53,1014.0,1252.0,1133.3,54.0
54,1014.0,1252.0,1133.3,55.0
55,1014.0,1252.0,1133.3,56.0
56,1014.0,1252.0,1133.3,57.0
57,1014.0,1252.0,1133.3,58.0
58,1014.0,1252.0,1133.3,59.0
59,1014.0,1252.0,1133.3,60.0
60,1014.0,1252.0,1133.3,61.0
61,1014.0,1252.0,1133.3,62.0
62,1014.0,1252.0,1133.3,63.0
63,1014.0,1252.0,1133.3,64.0
64,1014.0,1252.0,1133.65,65.0
65,1052.0,1257.0,1151.8,66.0
66,1052.0,1257.0,1151.8,67.0
67,1052.0,1257.0,1151.8,68.0
68,1052.0,1257.0,1151.8,69.0
69,1052.0,1257.0,1152.85,70.0
70,1067.0,1261.0,1164.5,71.0
71,1067.0,1261.0,1164.5,72.0
72,1067.0,1261.0,1164.5,73.0
73,1067.0,1261.0,1164.5,74.0
74,1071.0,1261.0,1164.9,75.0
75,1072.0,1292.0,1178.8,76.0
76,1072.0,1292.0,1178.8,77.0
77,1072.0,1292.0,1178.8,78.0
78,1072.0,1292.0,1178.8,79.0
79,1072.0,1292.0,1179.0,80.0
80,1073.0,1324.0,1192.25,81.0
81,1073.0,1324.0,1192.25,82.0
82,1073.0,1324.0,1192.25,83.0
83,1073.0,1324.0,1192.25,84.0
84,1073.0,1324.0,1192.25,85.0
85,1085.0,1347.0,1200.3,86.0
86,1085.0,1347.0,1200.4,87.0
87,1085.0,1347.0,1200.4,88.0
88,1085.0,1347.0,1200.4,89.0
89,1085.0,1347.0,1200.4,90.0
90,1090.0,1358.0,1213.7,91.0
91,1090.0,1358.0,1213.85,92.0
92,1090.0,1358.0,1213.85,93.0
93,1090.0,1358.0,1213.85,94.0
94,1090.0,1358.0,1213.85,95.0
95,1090.0,1358.0,1229.55,96.0
96,1090.0,1369.0,1231.9,97.0
97,1090.0,1369.0,1231.9,98.0
98,1090.0,1369.0,1231.9,99.0
99,1090.0,1369.0,1231.9,100.0
100,1093.0,1376.0,1243.0,101.0
101,1093.0,1397.0,1254.05,102.0
102,1093.0,1397.0,1254.05,103.0
103,1093.0,1397.0,1254.05,104.0
104,1093.0,1397.0,1254.05,105.0
105,1098.0,1397.0,1258.75,106.0
106,1098.0,1410.0,1267.0,107.0
107,1098.0,1410.0,1267.95,108.0
108,1098.0,1410.0,1267.95,109.0
109,1098.0,1410.0,1267.95,110.0
110,1098.0,1410.0,1269.3,111.0
111,1098.0,1415.0,1275.3,112.0
112,1098.0,1415.0,1275.85,113.0
113,1098.0,1415.0,1275.85,114.0
114,1098.0,1415.0,1275.85,115.0
115,1133.0,1415.0,1279.45,116.0
116,1133.0,1450.0,1288.1,117.0
117,1133.0,1450.0,1290.3,118.0
118,1133.0,1450.0,1290.3,119.0
119,1133.0,1450.0,1290.3,120.0
120,1135.0,1450.0,1291.3,121.0
121,1135.0,1460.0,1301.1,122.0
122,1135.0,1460.0,1302.0,123.0
123,1135.0,1460.0,1302.0,124.0
124,1135.0,1460.0,1302.0,125.0
125,1135.0,1460.0,1302.25,126.0
126,1135.0,1461.0,1309.65,127.0
127,1135.0,1461.0,1309.75,128.0
128,1135.0,1461.0,1309.75,129.0
129,1135.0,1461.0,1309.75,130.0
130,1138.0,1461.0,1309.9,131.0
131,1138.0,1463.0,1313.4,132.0
132,1138.0,1463.0,1313.5,133.0
133,1138.0,1463.0,1313.5,134.0
134,1138.0,1463.0,1313.5,135.0
135,1138.0,1463.0,1314.25,136.0
136,1138.0,1467.0,1318.15,137.0
137,1138.0,1467.0,1318.3,138.0
138,1138.0,1467.0,1318.3,139.0
139,1138.0,1467.0,1318.3,140.0
140,1141.0,1467.0,1319.9,141.0
141,1141.0,1476.0,1325.8,142.0
142,1141.0,1476.0,1326.0,143.0
143,1141.0,1476.0,1326.4,144.0
144,1141.0,1476.0,1326.4,145.0
145,1141.0,1476.0,1327.05,146.0
146,1148.0,1497.0,1333.55,147.0
147,1148.0,1497.0,1334.15,148.0
148,1148.0,1497.0,1334.35,149.0
149,1148.0,1497.0,1334.35,150.0
150,1148.0,1497.0,1334.35,151.0
151,1152.0,1498.0,1337.95,152.0
152,1152.0,1498.0,1339.9,153.0
153,1152.0,1498.0,1340.35,154.0
154,1152.0,1498.0,1340.35,155.0
155,1152.0,1498.0,1340.35,156.0
156,1155.0,1499.0,1342.85,157.0
157,1155.0,1499.0,1344.8,158.0
158,1155.0,1499.0,1346.05,159.0
159,1155.0,1499.0,1346.05,160.0
160,1155.0,1499.0,1346.05,161.0
161,1156.0,1500.0,1351.8,162.0
162,1156.0,1500.0,1354.05,163.0
163,1156.0,1500.0,1354.45,164.0
164,1156.0,1500.0,1354.45,165.0
165,1156.0,1500.0,1354.45,166.0
166,1156.0,1500.0,1360.05,167.0
167,1156.0,1512.0,1365.9,168.0
168,1156.0,1512.0,1366.35,169.0
169,1156.0,1512.0,1366.35,170.0
170,1156.0,1512.0,1366.35,171.0
171,1167.0,1512.0,1371.05,172.0
172,1167.0,1524.0,1374.2,173.0
173,1167.0,1524.0,1374.25,174.0
174,1167.0,1524.0,1374.25,175.0
175,1167.0,1524.0,1374.25,176.0
176,1194.0,1524.0,1378.75,177.0
177,1194.0,1538.0,1381.1,178.0
178,1194.0,1538.0,1381.55,179.0
179,1194.0,1538.0,1381.55,180.0
180,1194.0,1538.0,1381.55,181.0
181,1198.0,1538.0,1382.6,182.0
182,1198.0,1538.0,1386.9,183.0
183,1198.0,1538.0,1387.55,184.0
184,1198.0,1538.0,1387.65,185.0
185,1198.0,1538.0,1387.65,186.0
186,1198.0,1538.0,1388.6,187.0
187,1207.0,1540.0,1393.75,188.0
188,1207.0,1540.0,1394.15,189.0
189,1207.0,1540.0,1394.15,190.0
190,1207.0,1540.0,1394.35,191.0
191,1207.0,1540.0,1395.1,192.0
192,1207.0,1541.0,1399.4,193.0
193,1207.0,1541.0,1399.5,194.0
194,1207.0,1541.0,1399.5,195.0
195,1207.0,1541.0,1399.5,196.0
196,1207.0,1541.0,1402.25,197.0
197,1210.0,1544.0,1405.2,198.0
198,1210.0,1544.0,1405.35,199.0
199,1210.0,1544.0,1405.45,200.0
200,1210.0,1544.0,1405.45,201.0
201,1210.0,1544.0,1407.0,202.0
202,1210.0,1550.0,1409.75,203.0
203,1210.0,1550.0,1410.45,204.0
204,1210.0,1550.0,1410.65,205.0
205,1210.0,1550.0,1410.65,206.0
206,1210.0,1550.0,1411.25,207.0
207,1225.0,1553.0,1414.3,208.0
208,1225.0,1553.0,1416.25,209.0
209,1225.0,1553.0,1416.95,210.0
210,1225.0,1553.0,1416.95,211.0
211,1225.0,1553.0,1417.55,212.0
212,1227.0,1553.0,1421.5,213.0
213,1227.0,1553.0,1423.1,214.0
214,1227.0,1558.0,1423.45,215.0
215,1227.0,1558.0,1423.45,216.0
216,1227.0,1558.0,1423.45,217.0
217,1257.0,1558.0,1429.45,218.0
218,1257.0,1558.0,1429.95,219.0
219,1257.0,1559.0,1431.3,220.0
220,1257.0,1559.0,1431.3,221.0
221,1257.0,1559.0,1431.3,222.0
222,1262.0,1559.0,1433.55,223.0
223,1262.0,1559.0,1437.55,224.0
224,1262.0,1559.0,1437.7,225.0
225,1262.0,1559.0,1437.7,226.0
226,1262.0,1559.0,1437.7,227.0
227,1262.0,1560.0,1445.45,228.0
228,1262.0,1560.0,1447.35,229.0
