,min,max,ave,time
0,454.0,519.0,486.85,1.0
1,454.0,519.0,486.85,2.0
2,454.0,519.0,486.85,3.0
3,454.0,519.0,486.85,4.0
4,454.0,519.0,486.85,5.0
5,454.0,519.0,486.85,6.0
6,454.0,519.0,486.85,7.0
7,454.0,519.0,486.85,8.0
8,454.0,519.0,486.85,9.0
9,500.0,591.0,539.05,10.0
10,500.0,591.0,539.05,11.0
11,500.0,591.0,539.05,12.0
12,500.0,591.0,539.05,13.0
13,500.0,591.0,539.05,14.0
14,531.0,649.0,584.45,15.0
15,531.0,649.0,584.45,16.0
16,531.0,649.0,584.45,17.0
17,531.0,649.0,584.45,18.0
18,531.0,649.0,584.45,19.0
19,559.0,691.0,614.05,20.0
20,559.0,691.0,614.05,21.0
21,559.0,691.0,614.05,22.0
22,559.0,691.0,614.05,23.0
23,559.0,691.0,614.05,24.0
24,604.0,730.0,663.25,25.0
25,604.0,730.0,663.25,26.0
26,604.0,730.0,663.25,27.0
27,604.0,730.0,663.25,28.0
28,604.0,730.0,663.25,29.0
29,657.0,820.0,714.55,30.0
30,657.0,820.0,714.55,31.0
31,657.0,820.0,714.55,32.0
32,657.0,820.0,714.55,33.0
33,657.0,820.0,714.55,34.0
34,701.0,849.0,743.25,35.0
35,701.0,849.0,744.9,36.0
36,701.0,849.0,744.9,37.0
37,701.0,849.0,744.9,38.0
38,701.0,849.0,744.9,39.0
39,711.0,907.0,767.0,40.0
40,722.0,907.0,771.15,41.0
41,722.0,907.0,771.15,42.0
42,722.0,907.0,771.15,43.0
43,722.0,907.0,771.15,44.0
44,738.0,939.0,790.1,45.0
45,746.0,939.0,797.0,46.0
46,746.0,939.0,797.0,47.0
47,746.0,939.0,797.0,48.0
48,746.0,939.0,797.0,49.0
49,749.0,985.0,813.4,50.0
50,757.0,985.0,823.45,51.0
51,757.0,985.0,823.45,52.0
52,757.0,985.0,823.45,53.0
53,757.0,985.0,823.45,54.0
54,757.0,985.0,832.3,55.0
55,778.0,987.0,846.55,56.0
56,778.0,987.0,846.55,57.0
57,778.0,987.0,846.55,58.0
58,778.0,987.0,846.55,59.0
59,778.0,987.0,851.45,60.0
60,800.0,1000.0,867.9,61.0
61,800.0,1000.0,867.9,62.0
62,800.0,1000.0,867.9,63.0
63,800.0,1000.0,867.9,64.0
64,800.0,1000.0,872.2,65.0
65,806.0,1004.0,883.65,66.0
66,806.0,1004.0,883.65,67.0
67,806.0,1004.0,883.65,68.0
68,806.0,1004.0,883.65,69.0
69,806.0,1004.0,884.05,70.0
70,816.0,1020.0,897.6,71.0
71,816.0,1020.0,897.6,72.0
72,816.0,1020.0,897.6,73.0
73,816.0,1020.0,897.6,74.0
74,816.0,1020.0,897.6,75.0
75,817.0,1027.0,917.65,76.0
76,817.0,1027.0,919.1,77.0
77,817.0,1027.0,919.1,78.0
78,817.0,1027.0,919.1,79.0
79,817.0,1027.0,919.1,80.0
80,826.0,1036.0,931.3,81.0
81,826.0,1036.0,931.95,82.0
82,826.0,1036.0,931.95,83.0
83,826.0,1036.0,931.95,84.0
84,826.0,1036.0,931.95,85.0
85,829.0,1036.0,941.65,86.0
86,829.0,1036.0,942.05,87.0
87,829.0,1036.0,942.05,88.0
88,829.0,1036.0,942.05,89.0
89,829.0,1036.0,942.05,90.0
90,829.0,1044.0,951.5,91.0
91,829.0,1044.0,952.25,92.0
92,829.0,1044.0,952.25,93.0
93,829.0,1044.0,952.25,94.0
94,829.0,1044.0,952.25,95.0
95,833.0,1079.0,972.8,96.0
96,833.0,1079.0,977.45,97.0
97,833.0,1079.0,977.45,98.0
98,833.0,1079.0,977.45,99.0
99,833.0,1079.0,977.45,100.0
100,842.0,1090.0,997.4,101.0
101,842.0,1102.0,1000.75,102.0
102,842.0,1102.0,1000.75,103.0
103,842.0,1102.0,1000.75,104.0
104,842.0,1102.0,1000.75,105.0
105,847.0,1109.0,1009.25,106.0
106,847.0,1109.0,1013.85,107.0
107,847.0,1109.0,1013.85,108.0
