,min,max,ave,time
0,981.0,1243.0,1109.75,1.0
1,981.0,1243.0,1109.75,2.0
2,981.0,1243.0,1109.75,3.0
3,981.0,1243.0,1109.75,4.0
4,981.0,1243.0,1109.75,5.0
5,981.0,1243.0,1109.75,6.0
6,981.0,1243.0,1109.75,7.0
7,981.0,1243.0,1109.75,8.0
8,981.0,1243.0,1109.75,9.0
9,981.0,1243.0,1109.75,10.0
10,981.0,1243.0,1109.75,11.0
11,981.0,1243.0,1109.75,12.0
12,981.0,1243.0,1109.75,13.0
13,981.0,1243.0,1109.75,14.0
14,981.0,1243.0,1109.75,15.0
15,981.0,1243.0,1109.75,16.0
16,981.0,1243.0,1109.75,17.0
17,981.0,1243.0,1109.75,18.0
18,981.0,1243.0,1109.75,19.0
19,981.0,1243.0,1109.75,20.0
20,981.0,1243.0,1109.75,21.0
21,981.0,1243.0,1109.75,22.0
22,981.0,1243.0,1109.75,23.0
23,981.0,1243.0,1109.75,24.0
24,981.0,1243.0,1109.75,25.0
25,981.0,1243.0,1109.75,26.0
26,981.0,1243.0,1109.75,27.0
27,981.0,1243.0,1109.75,28.0
28,981.0,1243.0,1109.75,29.0
29,981.0,1243.0,1109.75,30.0
30,981.0,1243.0,1109.75,31.0
31,981.0,1243.0,1109.75,32.0
32,981.0,1243.0,1109.75,33.0
33,981.0,1243.0,1109.75,34.0
34,981.0,1243.0,1109.75,35.0
35,981.0,1243.0,1109.75,36.0
36,981.0,1243.0,1109.75,37.0
37,981.0,1243.0,1109.75,38.0
38,981.0,1243.0,1109.75,39.0
39,981.0,1243.0,1109.75,40.0
40,981.0,1243.0,1109.75,41.0
41,981.0,1243.0,1109.75,42.0
42,981.0,1243.0,1109.75,43.0
43,981.0,1243.0,1109.75,44.0
44,981.0,1243.0,1109.75,45.0
45,981.0,1243.0,1109.75,46.0
46,981.0,1243.0,1109.75,47.0
47,981.0,1243.0,1109.75,48.0
48,981.0,1243.0,1109.75,49.0
49,981.0,1243.0,1109.75,50.0
50,981.0,1243.0,1109.75,51.0
51,981.0,1243.0,1109.75,52.0
52,981.0,1243.0,1109.75,53.0
53,981.0,1243.0,1109.75,54.0
54,981.0,1243.0,1109.75,55.0
55,981.0,1243.0,1109.75,56.0
56,981.0,1243.0,1109.75,57.0
57,981.0,1243.0,1109.75,58.0
58,981.0,1243.0,1109.75,59.0
59,981.0,1243.0,1109.75,60.0
60,981.0,1243.0,1109.75,61.0
61,981.0,1243.0,1109.75,62.0
62,981.0,1243.0,1109.75,63.0
63,981.0,1243.0,1109.75,64.0
64,981.0,1256.0,1115.15,65.0
65,993.0,1256.0,1125.95,66.0
66,993.0,1256.0,1125.95,67.0
67,993.0,1256.0,1125.95,68.0
68,993.0,1256.0,1125.95,69.0
69,993.0,1263.0,1128.55,70.0
70,996.0,1263.0,1140.6,71.0
71,996.0,1263.0,1140.6,72.0
72,996.0,1263.0,1140.6,73.0
73,996.0,1263.0,1140.6,74.0
74,996.0,1263.0,1142.5,75.0
75,1021.0,1274.0,1155.9,76.0
76,1021.0,1274.0,1155.9,77.0
77,1021.0,1274.0,1155.9,78.0
78,1021.0,1274.0,1155.9,79.0
79,1021.0,1274.0,1156.6,80.0
80,1023.0,1279.0,1171.1,81.0
81,1023.0,1279.0,1171.1,82.0
82,1023.0,1279.0,1171.1,83.0
83,1023.0,1279.0,1171.1,84.0
84,1023.0,1279.0,1171.35,85.0
85,1051.0,1282.0,1184.65,86.0
86,1051.0,1282.0,1184.85,87.0
87,1051.0,1282.0,1184.85,88.0
88,1051.0,1282.0,1184.85,89.0
89,1051.0,1282.0,1184.85,90.0
90,1084.0,1291.0,1195.9,91.0
91,1084.0,1291.0,1197.3,92.0
92,1084.0,1291.0,1197.3,93.0
93,1084.0,1291.0,1197.3,94.0
94,1084.0,1291.0,1197.3,95.0
95,1118.0,1305.0,1207.4,96.0
96,1118.0,1305.0,1208.3,97.0
97,1118.0,1305.0,1208.3,98.0
98,1118.0,1305.0,1208.3,99.0
99,1118.0,1305.0,1208.3,100.0
100,1118.0,1328.0,1215.95,101.0
101,1126.0,1328.0,1219.5,102.0
102,1126.0,1328.0,1219.5,103.0
103,1126.0,1328.0,1219.5,104.0
104,1126.0,1328.0,1219.5,105.0
105,1126.0,1341.0,1226.7,106.0
106,1135.0,1341.0,1229.65,107.0
107,1135.0,1341.0,1229.65,108.0
