,min,max,ave,time
0,840.0,982.0,898.95,1.0
1,840.0,982.0,898.95,2.0
2,840.0,982.0,898.95,3.0
3,840.0,982.0,898.95,4.0
4,840.0,982.0,898.95,5.0
5,840.0,982.0,898.95,6.0
6,840.0,982.0,898.95,7.0
7,840.0,982.0,898.95,8.0
8,840.0,982.0,898.95,9.0
9,840.0,982.0,898.95,10.0
10,840.0,982.0,898.95,11.0
11,840.0,982.0,898.95,12.0
12,840.0,982.0,898.95,13.0
13,840.0,982.0,898.95,14.0
14,840.0,982.0,898.95,15.0
15,840.0,982.0,898.95,16.0
16,840.0,982.0,898.95,17.0
17,840.0,982.0,898.95,18.0
18,840.0,982.0,898.95,19.0
19,840.0,982.0,898.95,20.0
20,840.0,982.0,898.95,21.0
21,840.0,982.0,898.95,22.0
22,840.0,982.0,898.95,23.0
23,840.0,982.0,898.95,24.0
24,840.0,982.0,898.95,25.0
25,840.0,982.0,898.95,26.0
26,840.0,982.0,898.95,27.0
27,840.0,982.0,898.95,28.0
28,840.0,982.0,898.95,29.0
29,840.0,982.0,898.95,30.0
30,840.0,982.0,898.95,31.0
31,840.0,982.0,898.95,32.0
32,840.0,982.0,898.95,33.0
33,840.0,982.0,898.95,34.0
34,840.0,982.0,898.95,35.0
35,840.0,982.0,898.95,36.0
36,840.0,982.0,898.95,37.0
37,840.0,982.0,898.95,38.0
38,840.0,982.0,898.95,39.0
39,840.0,982.0,898.95,40.0
40,840.0,982.0,898.95,41.0
41,840.0,982.0,898.95,42.0
42,840.0,982.0,898.95,43.0
43,840.0,982.0,898.95,44.0
44,840.0,982.0,898.95,45.0
45,840.0,982.0,898.95,46.0
46,840.0,982.0,898.95,47.0
47,840.0,982.0,898.95,48.0
48,840.0,982.0,898.95,49.0
49,840.0,982.0,898.95,50.0
50,840.0,982.0,898.95,51.0
51,840.0,982.0,898.95,52.0
52,840.0,982.0,898.95,53.0
53,840.0,982.0,898.95,54.0
54,840.0,982.0,898.95,55.0
55,840.0,982.0,898.95,56.0
56,840.0,982.0,898.95,57.0
57,840.0,982.0,898.95,58.0
58,840.0,982.0,898.95,59.0
59,840.0,982.0,898.95,60.0
60,840.0,982.0,898.95,61.0
61,840.0,982.0,898.95,62.0
62,840.0,982.0,898.95,63.0
63,840.0,982.0,898.95,64.0
64,840.0,982.0,898.95,65.0
65,840.0,982.0,900.45,66.0
66,840.0,982.0,900.45,67.0
67,840.0,982.0,900.45,68.0
68,840.0,982.0,900.45,69.0
69,840.0,982.0,900.45,70.0
70,841.0,982.0,907.35,71.0
71,841.0,982.0,907.35,72.0
72,841.0,982.0,907.35,73.0
73,841.0,982.0,907.35,74.0
74,841.0,982.0,907.35,75.0
75,841.0,982.0,911.15,76.0
76,841.0,982.0,911.15,77.0
77,841.0,982.0,911.15,78.0
78,841.0,982.0,911.15,79.0
79,841.0,982.0,911.15,80.0
80,841.0,1034.0,918.2,81.0
81,841.0,1034.0,918.4,82.0
82,841.0,1034.0,918.4,83.0
83,841.0,1034.0,918.4,84.0
84,841.0,1034.0,918.4,85.0
85,841.0,1034.0,922.15,86.0
