,min,max,ave,time
0,566.0,805.0,790.0,1.0
1,566.0,805.0,790.0,2.0
2,566.0,805.0,790.0,3.0
3,566.0,805.0,790.0,4.0
4,566.0,805.0,790.0,5.0
5,566.0,805.0,790.0,6.0
6,566.0,805.0,790.0,7.0
7,776.0,805.0,801.55,8.0
8,776.0,805.0,801.55,9.0
9,797.0,815.0,813.65,10.0
10,797.0,815.0,813.65,11.0
11,797.0,815.0,813.65,12.0
12,811.0,816.0,814.6,13.0
13,811.0,816.0,814.6,14.0
14,816.0,904.0,898.7,15.0
15,816.0,904.0,898.7,16.0
16,816.0,904.0,898.7,17.0
17,816.0,904.0,898.7,18.0
18,903.0,905.0,903.15,19.0
19,903.0,917.0,907.85,20.0
20,904.0,917.0,907.95,21.0
21,904.0,917.0,907.95,22.0
22,904.0,917.0,907.95,23.0
23,904.0,917.0,908.0,24.0
24,905.0,917.0,915.85,25.0
25,905.0,917.0,915.85,26.0
26,906.0,917.0,916.45,27.0
27,906.0,917.0,916.45,28.0
28,917.0,923.0,917.3,29.0
29,917.0,923.0,917.35,30.0
30,917.0,923.0,917.35,31.0
31,917.0,923.0,917.35,32.0
32,917.0,923.0,917.35,33.0
33,917.0,923.0,917.35,34.0
34,917.0,923.0,920.75,35.0
35,917.0,923.0,921.35,36.0
36,917.0,923.0,921.35,37.0
37,917.0,923.0,921.35,38.0
38,917.0,925.0,921.45,39.0
39,917.0,931.0,925.6,40.0
40,917.0,931.0,927.6,41.0
41,923.0,931.0,927.9,42.0
42,923.0,931.0,927.9,43.0
43,923.0,931.0,928.2,44.0
44,923.0,941.0,929.7,45.0
45,923.0,941.0,931.05,46.0
46,923.0,941.0,931.45,47.0
47,923.0,941.0,931.45,48.0
48,923.0,941.0,931.85,49.0
49,923.0,941.0,932.9,50.0
50,931.0,943.0,936.45,51.0
51,931.0,943.0,936.55,52.0
52,931.0,943.0,936.55,53.0
53,931.0,943.0,936.65,54.0
54,931.0,944.0,936.95,55.0
55,933.0,946.0,939.5,56.0
56,933.0,946.0,939.8,57.0
57,933.0,946.0,939.8,58.0
58,933.0,946.0,939.95,59.0
59,933.0,946.0,939.95,60.0
60,939.0,948.0,942.15,61.0
61,939.0,948.0,942.3,62.0
62,939.0,948.0,942.3,63.0
63,939.0,948.0,942.45,64.0
64,939.0,948.0,942.45,65.0
65,939.0,948.0,943.0,66.0
66,939.0,948.0,943.0,67.0
67,939.0,948.0,943.0,68.0
68,939.0,1060.0,948.65,69.0
69,939.0,1060.0,948.65,70.0
70,939.0,1060.0,949.85,71.0
71,939.0,1060.0,949.85,72.0
72,939.0,1060.0,949.85,73.0
73,939.0,1060.0,949.85,74.0
74,939.0,1062.0,949.95,75.0
75,941.0,1062.0,950.5,76.0
76,941.0,1062.0,950.5,77.0
77,941.0,1062.0,950.5,78.0
78,941.0,1062.0,950.5,79.0
79,941.0,1062.0,950.5,80.0
80,941.0,1062.0,950.75,81.0
81,941.0,1062.0,950.9,82.0
82,941.0,1062.0,950.95,83.0
83,941.0,1062.0,950.95,84.0
84,941.0,1062.0,950.95,85.0
85,941.0,1062.0,951.3,86.0
86,941.0,1062.0,951.6,87.0
87,941.0,1062.0,951.65,88.0
88,941.0,1062.0,951.65,89.0
89,941.0,1062.0,951.65,90.0
90,941.0,1062.0,951.95,91.0
91,941.0,1062.0,952.25,92.0
92,941.0,1062.0,952.35,93.0
93,941.0,1062.0,952.35,94.0
94,941.0,1062.0,952.35,95.0
95,941.0,1062.0,952.5,96.0
96,941.0,1062.0,952.8,97.0
97,941.0,1062.0,952.8,98.0
98,941.0,1062.0,952.8,99.0
99,941.0,1062.0,952.8,100.0
100,941.0,1062.0,952.8,101.0
101,944.0,1062.0,954.3,102.0
102,944.0,1062.0,954.35,103.0
103,944.0,1062.0,954.35,104.0
104,944.0,1065.0,954.5,105.0
105,944.0,1065.0,954.6,106.0
106,944.0,1065.0,997.9,107.0
107,944.0,1065.0,998.0,108.0
108,944.0,1065.0,998.0,109.0
109,944.0,1066.0,998.05,110.0
110,944.0,1066.0,998.05,111.0
111,944.0,1073.0,1018.3,112.0
112,944.0,1073.0,1022.85,113.0
113,944.0,1073.0,1022.85,114.0
114,944.0,1073.0,1022.85,115.0
115,944.0,1073.0,1022.85,116.0
116,944.0,1077.0,1032.2,117.0
117,944.0,1077.0,1032.2,118.0
118,944.0,1077.0,1033.15,119.0
119,944.0,1077.0,1033.15,120.0
120,944.0,1077.0,1033.15,121.0
121,944.0,1080.0,1038.05,122.0
122,944.0,1080.0,1042.65,123.0
123,944.0,1080.0,1042.65,124.0
124,944.0,1080.0,1042.65,125.0
125,944.0,1080.0,1042.65,126.0
126,944.0,1080.0,1043.75,127.0
127,944.0,1081.0,1045.05,128.0
128,944.0,1081.0,1045.75,129.0
129,944.0,1081.0,1045.75,130.0
130,944.0,1081.0,1045.75,131.0
131,944.0,1081.0,1045.95,132.0
132,946.0,1081.0,1046.4,133.0
133,946.0,1081.0,1046.45,134.0
134,946.0,1081.0,1046.45,135.0
135,946.0,1081.0,1046.85,136.0
136,946.0,1081.0,1047.1,137.0
137,947.0,1085.0,1049.35,138.0
138,947.0,1085.0,1049.35,139.0
139,947.0,1085.0,1049.35,140.0
140,947.0,1085.0,1049.6,141.0
141,947.0,1085.0,1049.65,142.0
142,947.0,1086.0,1051.3,143.0
143,947.0,1086.0,1051.3,144.0
144,947.0,1086.0,1051.3,145.0
145,947.0,1086.0,1051.3,146.0
146,947.0,1086.0,1051.3,147.0
147,948.0,1086.0,1051.75,148.0
148,948.0,1086.0,1051.85,149.0
149,948.0,1086.0,1051.85,150.0
150,948.0,1086.0,1051.85,151.0
151,948.0,1086.0,1051.85,152.0
152,948.0,1086.0,1052.15,153.0
153,948.0,1086.0,1052.15,154.0
154,948.0,1086.0,1052.15,155.0
155,948.0,1086.0,1052.15,156.0
156,948.0,1086.0,1052.2,157.0
157,948.0,1086.0,1052.2,158.0
158,948.0,1086.0,1052.3,159.0
159,948.0,1086.0,1052.3,160.0
160,948.0,1086.0,1052.3,161.0
161,948.0,1086.0,1052.35,162.0
162,948.0,1086.0,1052.45,163.0
163,948.0,1086.0,1053.05,164.0
164,948.0,1086.0,1053.05,165.0
165,948.0,1086.0,1053.05,166.0
166,948.0,1086.0,1053.25,167.0
167,948.0,1086.0,1053.7,168.0
168,948.0,1086.0,1053.9,169.0
169,948.0,1086.0,1053.9,170.0
170,948.0,1086.0,1053.9,171.0
171,948.0,1086.0,1053.95,172.0
172,951.0,1086.0,1054.25,173.0
173,951.0,1086.0,1054.4,174.0
174,951.0,1086.0,1054.45,175.0
175,951.0,1086.0,1054.45,176.0
176,951.0,1086.0,1054.45,177.0
177,951.0,1086.0,1054.5,178.0
178,951.0,1086.0,1054.6,179.0
179,951.0,1086.0,1054.6,180.0
180,951.0,1086.0,1054.6,181.0
181,951.0,1086.0,1054.6,182.0
182,951.0,1086.0,1054.6,183.0
183,951.0,1087.0,1055.05,184.0
184,951.0,1087.0,1055.05,185.0
185,951.0,1087.0,1055.05,186.0
186,951.0,1087.0,1055.05,187.0
187,951.0,1087.0,1055.05,188.0
188,951.0,1087.0,1055.15,189.0
189,951.0,1087.0,1055.15,190.0
190,951.0,1087.0,1055.15,191.0
191,951.0,1087.0,1055.15,192.0
192,951.0,1087.0,1055.15,193.0
193,951.0,1087.0,1055.15,194.0
194,951.0,1087.0,1055.3,195.0
195,951.0,1087.0,1055.3,196.0
196,951.0,1087.0,1055.3,197.0
197,951.0,1087.0,1055.35,198.0
198,951.0,1087.0,1056.05,199.0
199,951.0,1087.0,1056.1,200.0
200,951.0,1087.0,1056.1,201.0
201,951.0,1087.0,1056.1,202.0
202,951.0,1087.0,1056.1,203.0
203,951.0,1087.0,1056.2,204.0
204,956.0,1087.0,1056.85,205.0
205,956.0,1087.0,1056.85,206.0
206,956.0,1087.0,1056.85,207.0
207,956.0,1119.0,1058.5,208.0
208,963.0,1119.0,1059.25,209.0
209,963.0,1119.0,1059.45,210.0
210,963.0,1119.0,1059.45,211.0
211,963.0,1119.0,1059.45,212.0
212,963.0,1121.0,1059.55,213.0
213,963.0,1121.0,1059.8,214.0
214,963.0,1121.0,1060.1,215.0
215,963.0,1121.0,1060.1,216.0
216,963.0,1121.0,1060.1,217.0
217,963.0,1121.0,1060.1,218.0
218,963.0,1121.0,1060.4,219.0
219,964.0,1121.0,1060.6,220.0
220,964.0,1121.0,1060.6,221.0
221,964.0,1121.0,1060.6,222.0
222,964.0,1121.0,1060.6,223.0
223,964.0,1121.0,1060.65,224.0
224,970.0,1121.0,1061.15,225.0
225,970.0,1121.0,1061.15,226.0
226,970.0,1121.0,1061.15,227.0
227,970.0,1123.0,1061.25,228.0
228,970.0,1123.0,1061.25,229.0
229,974.0,1123.0,1061.65,230.0
230,974.0,1123.0,1061.65,231.0
231,974.0,1123.0,1061.65,232.0
232,974.0,1123.0,1061.65,233.0
233,974.0,1123.0,1061.65,234.0
234,975.0,1123.0,1062.05,235.0
235,975.0,1123.0,1062.05,236.0
236,975.0,1123.0,1062.05,237.0
237,975.0,1123.0,1062.05,238.0
238,975.0,1145.0,1063.15,239.0
239,975.0,1145.0,1063.35,240.0
240,975.0,1145.0,1063.35,241.0
241,975.0,1145.0,1063.35,242.0
242,975.0,1145.0,1063.35,243.0
243,975.0,1145.0,1063.4,244.0
244,975.0,1145.0,1063.6,245.0
245,975.0,1145.0,1063.75,246.0
246,975.0,1145.0,1063.75,247.0
247,975.0,1145.0,1063.75,248.0
248,975.0,1145.0,1063.75,249.0
249,975.0,1145.0,1064.5,250.0
250,975.0,1145.0,1064.55,251.0
251,975.0,1145.0,1064.55,252.0
252,975.0,1145.0,1064.55,253.0
253,975.0,1145.0,1064.55,254.0
254,975.0,1145.0,1064.75,255.0
255,976.0,1145.0,1064.9,256.0
256,976.0,1145.0,1064.9,257.0
257,976.0,1145.0,1064.9,258.0
258,976.0,1148.0,1065.05,259.0
259,976.0,1148.0,1065.05,260.0
260,976.0,1148.0,1065.1,261.0
261,976.0,1148.0,1065.1,262.0
262,976.0,1148.0,1065.1,263.0
263,976.0,1149.0,1065.15,264.0
264,976.0,1149.0,1065.15,265.0
265,976.0,1149.0,1065.3,266.0
266,976.0,1149.0,1065.3,267.0
267,976.0,1149.0,1065.3,268.0
268,976.0,1149.0,1065.3,269.0
269,976.0,1149.0,1065.55,270.0
270,977.0,1149.0,1067.5,271.0
271,977.0,1149.0,1067.6,272.0
272,977.0,1149.0,1067.6,273.0
273,977.0,1149.0,1067.6,274.0
274,977.0,1149.0,1068.65,275.0
275,978.0,1149.0,1071.3,276.0
276,978.0,1149.0,1071.3,277.0
277,978.0,1149.0,1071.3,278.0
278,978.0,1149.0,1071.3,279.0
279,978.0,1149.0,1071.6,280.0
280,978.0,1149.0,1071.95,281.0
281,978.0,1149.0,1071.95,282.0
282,978.0,1149.0,1071.95,283.0
283,978.0,1149.0,1071.95,284.0
284,978.0,1149.0,1072.0,285.0
285,978.0,1149.0,1077.55,286.0
286,980.0,1149.0,1077.65,287.0
287,980.0,1149.0,1077.65,288.0
288,980.0,1149.0,1077.65,289.0
289,980.0,1149.0,1077.65,290.0
290,980.0,1149.0,1078.55,291.0
291,981.0,1149.0,1079.05,292.0
292,981.0,1149.0,1079.05,293.0
293,981.0,1149.0,1079.05,294.0
294,981.0,1149.0,1079.2,295.0
295,981.0,1150.0,1080.25,296.0
296,982.0,1150.0,1080.85,297.0
297,982.0,1150.0,1080.85,298.0
298,982.0,1150.0,1080.85,299.0
299,982.0,1150.0,1080.85,300.0
300,982.0,1150.0,1081.55,301.0
301,982.0,1150.0,1095.25,302.0
302,982.0,1150.0,1095.25,303.0
303,982.0,1150.0,1095.25,304.0
304,982.0,1150.0,1095.25,305.0
305,982.0,1150.0,1095.3,306.0
306,982.0,1150.0,1095.9,307.0
307,982.0,1150.0,1095.9,308.0
308,982.0,1150.0,1095.9,309.0
309,982.0,1150.0,1095.9,310.0
310,982.0,1150.0,1096.2,311.0
311,982.0,1150.0,1097.35,312.0
312,982.0,1150.0,1097.35,313.0
313,982.0,1150.0,1097.35,314.0
314,982.0,1150.0,1097.35,315.0
315,982.0,1150.0,1097.45,316.0
316,982.0,1150.0,1098.55,317.0
317,982.0,1150.0,1098.75,318.0
318,982.0,1150.0,1098.75,319.0
319,982.0,1150.0,1098.75,320.0
320,982.0,1150.0,1099.0,321.0
321,982.0,1150.0,1099.15,322.0
322,982.0,1150.0,1099.4,323.0
323,982.0,1150.0,1099.4,324.0
324,982.0,1150.0,1099.4,325.0
325,982.0,1150.0,1099.6,326.0
326,982.0,1150.0,1100.1,327.0
327,982.0,1150.0,1100.25,328.0
328,982.0,1150.0,1100.25,329.0
329,982.0,1150.0,1100.25,330.0
330,982.0,1150.0,1100.25,331.0
331,982.0,1150.0,1100.75,332.0
332,982.0,1150.0,1101.05,333.0
333,982.0,1150.0,1101.05,334.0
334,982.0,1150.0,1101.05,335.0
335,982.0,1150.0,1101.05,336.0
336,982.0,1150.0,1101.35,337.0
337,982.0,1150.0,1101.85,338.0
338,982.0,1150.0,1101.85,339.0
339,982.0,1150.0,1101.85,340.0
340,982.0,1150.0,1101.85,341.0
341,982.0,1150.0,1102.2,342.0
342,982.0,1150.0,1102.45,343.0
343,982.0,1150.0,1102.45,344.0
344,982.0,1150.0,1102.45,345.0
345,982.0,1150.0,1102.45,346.0
346,982.0,1150.0,1102.55,347.0
347,986.0,1150.0,1103.0,348.0
348,986.0,1150.0,1103.0,349.0
349,986.0,1150.0,1103.0,350.0
350,986.0,1150.0,1103.0,351.0
351,986.0,1150.0,1104.0,352.0
352,986.0,1150.0,1104.25,353.0
353,986.0,1150.0,1104.25,354.0
354,986.0,1150.0,1104.25,355.0
355,986.0,1150.0,1104.25,356.0
356,986.0,1150.0,1105.2,357.0
357,986.0,1150.0,1105.55,358.0
358,986.0,1150.0,1105.55,359.0
359,986.0,1150.0,1105.55,360.0
360,986.0,1150.0,1105.55,361.0
361,986.0,1150.0,1105.7,362.0
362,986.0,1150.0,1105.95,363.0
363,986.0,1150.0,1106.0,364.0
364,986.0,1150.0,1106.0,365.0
365,986.0,1150.0,1106.0,366.0
366,986.0,1150.0,1106.2,367.0
367,986.0,1150.0,1106.35,368.0
368,986.0,1150.0,1106.4,369.0
369,986.0,1150.0,1106.4,370.0
370,986.0,1150.0,1106.4,371.0
371,986.0,1150.0,1106.6,372.0
372,986.0,1150.0,1106.75,373.0
373,986.0,1150.0,1106.8,374.0
374,986.0,1150.0,1106.8,375.0
375,986.0,1150.0,1106.8,376.0
376,986.0,1150.0,1106.8,377.0
377,986.0,1150.0,1106.95,378.0
378,986.0,1150.0,1107.0,379.0
379,986.0,1150.0,1107.0,380.0
380,986.0,1150.0,1107.0,381.0
381,986.0,1150.0,1107.0,382.0
382,986.0,1150.0,1107.0,383.0
383,988.0,1150.0,1107.15,384.0
384,988.0,1150.0,1107.15,385.0
385,988.0,1150.0,1107.15,386.0
386,988.0,1150.0,1107.15,387.0
387,988.0,1150.0,1107.2,388.0
388,988.0,1150.0,1109.5,389.0
389,988.0,1150.0,1109.5,390.0
390,988.0,1150.0,1109.5,391.0
391,988.0,1151.0,1109.6,392.0
392,988.0,1151.0,1111.65,393.0
