,min,max,ave,time
0,842.0,1012.0,914.7,1.0
1,842.0,1012.0,914.7,2.0
2,842.0,1012.0,914.7,3.0
3,842.0,1012.0,914.7,4.0
4,842.0,1012.0,914.7,5.0
5,842.0,1012.0,914.7,6.0
6,842.0,1012.0,914.7,7.0
7,842.0,1012.0,914.7,8.0
8,842.0,1012.0,914.7,9.0
9,842.0,1012.0,914.7,10.0
10,842.0,1012.0,914.7,11.0
11,842.0,1012.0,914.7,12.0
12,842.0,1012.0,914.7,13.0
13,842.0,1012.0,914.7,14.0
14,842.0,1012.0,914.7,15.0
15,842.0,1012.0,914.7,16.0
16,842.0,1012.0,914.7,17.0
17,842.0,1012.0,914.7,18.0
18,842.0,1012.0,914.7,19.0
19,842.0,1012.0,914.7,20.0
20,842.0,1012.0,914.7,21.0
21,842.0,1012.0,914.7,22.0
22,842.0,1012.0,914.7,23.0
23,842.0,1012.0,914.7,24.0
24,842.0,1012.0,914.7,25.0
25,842.0,1012.0,914.7,26.0
26,842.0,1012.0,914.7,27.0
27,842.0,1012.0,914.7,28.0
28,842.0,1012.0,914.7,29.0
29,842.0,1012.0,914.7,30.0
30,842.0,1012.0,914.7,31.0
31,842.0,1012.0,914.7,32.0
32,842.0,1012.0,914.7,33.0
33,842.0,1012.0,914.7,34.0
34,842.0,1012.0,914.7,35.0
35,842.0,1012.0,914.7,36.0
36,842.0,1012.0,914.7,37.0
37,842.0,1012.0,914.7,38.0
38,842.0,1012.0,914.7,39.0
39,842.0,1012.0,914.7,40.0
40,842.0,1012.0,914.7,41.0
41,842.0,1012.0,914.7,42.0
42,842.0,1012.0,914.7,43.0
43,842.0,1012.0,914.7,44.0
44,842.0,1012.0,914.7,45.0
45,842.0,1012.0,914.7,46.0
46,842.0,1012.0,914.7,47.0
47,842.0,1012.0,914.7,48.0
48,842.0,1012.0,914.7,49.0
49,842.0,1012.0,914.7,50.0
50,842.0,1012.0,914.7,51.0
51,842.0,1012.0,914.7,52.0
52,842.0,1012.0,914.7,53.0
53,842.0,1012.0,914.7,54.0
54,842.0,1012.0,914.7,55.0
55,842.0,1012.0,914.7,56.0
56,842.0,1012.0,914.7,57.0
57,842.0,1012.0,914.7,58.0
58,842.0,1012.0,914.7,59.0
59,842.0,1012.0,914.7,60.0
60,842.0,1012.0,914.7,61.0
61,842.0,1012.0,914.7,62.0
62,842.0,1012.0,914.7,63.0
63,842.0,1012.0,914.7,64.0
64,842.0,1012.0,914.7,65.0
65,842.0,1048.0,917.35,66.0
66,842.0,1048.0,917.7,67.0
67,842.0,1048.0,917.7,68.0
68,842.0,1048.0,917.7,69.0
69,842.0,1048.0,917.7,70.0
70,842.0,1051.0,919.35,71.0
71,842.0,1051.0,919.45,72.0
72,842.0,1051.0,919.45,73.0
73,842.0,1051.0,919.45,74.0
74,842.0,1051.0,919.45,75.0
75,842.0,1051.0,923.7,76.0
76,842.0,1051.0,924.1,77.0
77,842.0,1051.0,924.1,78.0
78,842.0,1051.0,924.1,79.0
79,842.0,1051.0,924.1,80.0
80,844.0,1051.0,926.4,81.0
81,844.0,1051.0,932.5,82.0
82,844.0,1051.0,932.5,83.0
83,844.0,1051.0,932.5,84.0
84,844.0,1051.0,932.5,85.0
85,846.0,1051.0,936.25,86.0
86,846.0,1051.0,936.9,87.0
87,846.0,1051.0,936.9,88.0
88,846.0,1051.0,936.9,89.0
89,846.0,1051.0,936.9,90.0
90,848.0,1052.0,937.25,91.0
91,848.0,1052.0,938.15,92.0
92,848.0,1052.0,938.15,93.0
93,848.0,1052.0,938.15,94.0
94,848.0,1052.0,938.15,95.0
95,848.0,1052.0,938.35,96.0
96,848.0,1094.0,944.8,97.0
97,848.0,1094.0,944.8,98.0
98,848.0,1094.0,944.8,99.0
99,848.0,1094.0,944.8,100.0
100,849.0,1094.0,944.85,101.0
101,849.0,1095.0,953.6,102.0
102,849.0,1095.0,953.6,103.0
103,849.0,1095.0,953.6,104.0
104,849.0,1095.0,953.6,105.0
105,849.0,1095.0,953.6,106.0
106,849.0,1095.0,960.45,107.0
107,849.0,1095.0,960.5,108.0
108,849.0,1095.0,960.5,109.0
109,849.0,1095.0,960.5,110.0
110,849.0,1095.0,960.5,111.0
111,849.0,1095.0,963.75,112.0
112,849.0,1102.0,964.15,113.0
113,849.0,1102.0,964.15,114.0
114,849.0,1102.0,964.15,115.0
