,min,max,ave,time
0,849.0,973.0,907.85,1.0
1,849.0,973.0,907.85,2.0
2,849.0,973.0,907.85,3.0
3,849.0,973.0,907.85,4.0
4,849.0,973.0,907.85,5.0
5,849.0,973.0,907.85,6.0
6,849.0,973.0,907.85,7.0
7,849.0,973.0,907.85,8.0
8,849.0,973.0,907.85,9.0
9,849.0,973.0,907.85,10.0
10,849.0,973.0,907.85,11.0
11,849.0,973.0,907.85,12.0
12,849.0,973.0,907.85,13.0
13,849.0,973.0,907.85,14.0
14,849.0,973.0,907.85,15.0
15,849.0,973.0,907.85,16.0
16,849.0,973.0,907.85,17.0
17,849.0,973.0,907.85,18.0
18,849.0,973.0,907.85,19.0
19,849.0,973.0,907.85,20.0
20,849.0,973.0,907.85,21.0
21,849.0,973.0,907.85,22.0
22,849.0,973.0,907.85,23.0
23,849.0,973.0,907.85,24.0
24,849.0,973.0,907.85,25.0
25,849.0,973.0,907.85,26.0
26,849.0,973.0,907.85,27.0
27,849.0,973.0,907.85,28.0
28,849.0,973.0,907.85,29.0
29,849.0,973.0,907.85,30.0
30,849.0,973.0,907.85,31.0
31,849.0,973.0,907.85,32.0
32,849.0,973.0,907.85,33.0
33,849.0,973.0,907.85,34.0
34,849.0,973.0,907.85,35.0
35,849.0,973.0,907.85,36.0
36,849.0,973.0,907.85,37.0
37,849.0,973.0,907.85,38.0
38,849.0,973.0,907.85,39.0
39,849.0,973.0,907.85,40.0
40,849.0,973.0,907.85,41.0
41,849.0,973.0,907.85,42.0
42,849.0,973.0,907.85,43.0
43,849.0,973.0,907.85,44.0
44,849.0,973.0,907.85,45.0
45,849.0,973.0,907.85,46.0
46,849.0,973.0,907.85,47.0
47,849.0,973.0,907.85,48.0
48,849.0,973.0,907.85,49.0
49,849.0,973.0,907.85,50.0
50,849.0,973.0,907.85,51.0
51,849.0,973.0,907.85,52.0
52,849.0,973.0,907.85,53.0
53,849.0,973.0,907.85,54.0
54,849.0,973.0,907.85,55.0
55,849.0,973.0,907.85,56.0
56,849.0,973.0,907.85,57.0
57,849.0,973.0,907.85,58.0
58,849.0,973.0,907.85,59.0
59,849.0,973.0,907.85,60.0
60,849.0,973.0,907.85,61.0
61,849.0,973.0,907.85,62.0
62,849.0,973.0,907.85,63.0
63,849.0,973.0,907.85,64.0
64,849.0,973.0,907.85,65.0
65,849.0,979.0,911.15,66.0
66,849.0,979.0,911.15,67.0
67,849.0,979.0,911.15,68.0
68,849.0,979.0,911.15,69.0
69,849.0,979.0,911.15,70.0
70,850.0,981.0,912.8,71.0
71,850.0,981.0,912.8,72.0
72,850.0,981.0,912.8,73.0
73,850.0,981.0,912.8,74.0
74,850.0,981.0,912.8,75.0
75,850.0,986.0,916.15,76.0
76,850.0,986.0,916.15,77.0
77,850.0,986.0,916.15,78.0
78,850.0,986.0,916.15,79.0
79,850.0,986.0,916.15,80.0
80,850.0,987.0,916.75,81.0
81,850.0,987.0,916.9,82.0
82,850.0,987.0,916.9,83.0
83,850.0,987.0,916.9,84.0
84,850.0,987.0,916.9,85.0
85,850.0,988.0,920.8,86.0
86,850.0,988.0,920.95,87.0
87,850.0,988.0,920.95,88.0
88,850.0,988.0,920.95,89.0
89,850.0,988.0,920.95,90.0
90,850.0,988.0,921.2,91.0
91,850.0,991.0,921.7,92.0
92,850.0,991.0,921.7,93.0
93,850.0,991.0,921.7,94.0
94,850.0,991.0,921.7,95.0
95,850.0,991.0,922.0,96.0
96,850.0,991.0,922.75,97.0
97,850.0,991.0,922.75,98.0
98,850.0,991.0,922.75,99.0
99,850.0,991.0,922.75,100.0
