,min,max,ave,time
0,688.0,756.0,720.45,1.0
1,688.0,756.0,720.45,2.0
2,688.0,756.0,720.45,3.0
3,688.0,756.0,720.45,4.0
4,688.0,756.0,720.45,5.0
5,688.0,756.0,720.45,6.0
6,688.0,756.0,720.45,7.0
7,688.0,756.0,720.45,8.0
8,688.0,756.0,720.45,9.0
9,688.0,756.0,720.45,10.0
10,688.0,756.0,720.45,11.0
11,688.0,756.0,720.45,12.0
12,688.0,756.0,720.45,13.0
13,688.0,756.0,720.45,14.0
14,688.0,756.0,720.45,15.0
15,688.0,756.0,720.45,16.0
16,688.0,756.0,720.45,17.0
17,688.0,756.0,720.45,18.0
18,688.0,756.0,720.45,19.0
19,688.0,756.0,720.45,20.0
20,688.0,756.0,720.45,21.0
21,688.0,756.0,720.45,22.0
22,688.0,756.0,720.45,23.0
23,688.0,756.0,720.45,24.0
24,688.0,756.0,720.45,25.0
25,688.0,756.0,720.45,26.0
26,688.0,756.0,720.45,27.0
27,688.0,756.0,720.45,28.0
28,688.0,756.0,720.45,29.0
29,688.0,756.0,720.45,30.0
30,688.0,756.0,720.45,31.0
31,688.0,756.0,720.45,32.0
32,688.0,756.0,720.45,33.0
33,688.0,756.0,720.45,34.0
34,688.0,756.0,720.45,35.0
35,688.0,756.0,720.45,36.0
36,688.0,756.0,720.45,37.0
37,688.0,756.0,720.45,38.0
38,688.0,756.0,720.45,39.0
39,688.0,756.0,720.45,40.0
40,688.0,756.0,720.45,41.0
41,688.0,756.0,720.45,42.0
42,688.0,756.0,720.45,43.0
43,688.0,756.0,720.45,44.0
44,688.0,756.0,720.45,45.0
45,688.0,756.0,720.45,46.0
46,688.0,756.0,720.45,47.0
47,688.0,756.0,720.45,48.0
48,688.0,756.0,720.45,49.0
49,688.0,756.0,720.45,50.0
50,688.0,756.0,720.45,51.0
51,688.0,756.0,720.45,52.0
52,688.0,756.0,720.45,53.0
53,688.0,756.0,720.45,54.0
54,688.0,756.0,720.45,55.0
55,688.0,756.0,720.45,56.0
56,688.0,756.0,720.45,57.0
57,688.0,756.0,720.45,58.0
58,688.0,756.0,720.45,59.0
59,688.0,756.0,720.45,60.0
60,688.0,756.0,720.45,61.0
61,688.0,756.0,720.45,62.0
62,688.0,756.0,720.45,63.0
63,688.0,756.0,720.45,64.0
64,688.0,760.0,723.85,65.0
65,688.0,760.0,726.05,66.0
66,688.0,760.0,726.05,67.0
67,688.0,760.0,726.05,68.0
68,688.0,760.0,726.05,69.0
69,688.0,760.0,726.85,70.0
70,690.0,767.0,730.4,71.0
71,690.0,767.0,730.4,72.0
72,690.0,767.0,730.4,73.0
73,690.0,767.0,730.4,74.0
74,690.0,767.0,731.55,75.0
75,704.0,776.0,735.15,76.0
76,704.0,776.0,735.15,77.0
77,704.0,776.0,735.15,78.0
78,704.0,776.0,735.15,79.0
79,704.0,776.0,735.35,80.0
80,704.0,776.0,739.9,81.0
81,704.0,776.0,739.9,82.0
82,704.0,776.0,739.9,83.0
83,704.0,776.0,739.9,84.0
84,704.0,776.0,739.95,85.0
85,709.0,784.0,745.2,86.0
86,709.0,784.0,745.2,87.0
87,709.0,784.0,745.2,88.0
88,709.0,784.0,745.2,89.0
89,709.0,784.0,745.2,90.0
90,709.0,814.0,753.4,91.0
91,709.0,814.0,753.7,92.0
92,709.0,814.0,753.7,93.0
93,709.0,814.0,753.7,94.0
94,709.0,814.0,753.7,95.0
95,709.0,818.0,760.8,96.0
96,709.0,818.0,762.0,97.0
97,709.0,818.0,762.0,98.0
98,709.0,818.0,762.0,99.0
99,709.0,818.0,762.0,100.0
100,709.0,818.0,766.85,101.0
101,709.0,818.0,767.4,102.0
102,709.0,818.0,767.4,103.0
103,709.0,818.0,767.4,104.0
104,709.0,818.0,767.4,105.0
