,min,max,ave,time
0,562.0,603.0,579.85,1.0
1,562.0,603.0,579.85,2.0
2,562.0,603.0,579.85,3.0
3,562.0,603.0,579.85,4.0
4,562.0,603.0,579.85,5.0
5,562.0,603.0,579.85,6.0
6,562.0,603.0,579.85,7.0
7,562.0,603.0,579.85,8.0
8,562.0,603.0,579.85,9.0
9,592.0,640.0,615.8,10.0
10,592.0,640.0,615.8,11.0
11,592.0,640.0,615.8,12.0
12,592.0,640.0,615.8,13.0
13,592.0,640.0,615.8,14.0
14,605.0,656.0,631.6,15.0
15,605.0,656.0,631.6,16.0
16,605.0,656.0,631.6,17.0
17,605.0,656.0,631.6,18.0
18,605.0,656.0,631.6,19.0
19,625.0,681.0,644.25,20.0
20,625.0,681.0,644.25,21.0
21,625.0,681.0,644.25,22.0
22,625.0,681.0,644.25,23.0
23,625.0,681.0,644.25,24.0
24,638.0,703.0,658.45,25.0
25,638.0,703.0,658.45,26.0
26,638.0,703.0,658.45,27.0
27,638.0,703.0,658.45,28.0
28,638.0,703.0,658.45,29.0
29,644.0,712.0,664.35,30.0
30,644.0,712.0,664.35,31.0
31,644.0,712.0,664.35,32.0
32,644.0,712.0,664.35,33.0
33,644.0,712.0,664.35,34.0
34,645.0,732.0,667.25,35.0
35,645.0,732.0,667.25,36.0
36,645.0,732.0,667.25,37.0
37,645.0,732.0,667.25,38.0
38,645.0,732.0,667.25,39.0
39,645.0,733.0,670.0,40.0
40,645.0,733.0,670.0,41.0
41,645.0,733.0,670.0,42.0
42,645.0,733.0,670.0,43.0
43,645.0,733.0,670.0,44.0
44,648.0,735.0,673.4,45.0
45,648.0,735.0,673.6,46.0
46,648.0,735.0,673.6,47.0
47,648.0,735.0,673.6,48.0
48,648.0,735.0,673.6,49.0
49,648.0,739.0,675.1,50.0
50,656.0,739.0,675.95,51.0
51,656.0,739.0,675.95,52.0
52,656.0,739.0,675.95,53.0
53,656.0,739.0,675.95,54.0
54,656.0,741.0,677.05,55.0
55,656.0,741.0,678.15,56.0
56,656.0,741.0,678.15,57.0
57,656.0,741.0,678.15,58.0
58,656.0,741.0,678.15,59.0
59,656.0,742.0,680.75,60.0
60,657.0,742.0,682.15,61.0
61,657.0,742.0,682.15,62.0
62,657.0,742.0,682.15,63.0
63,657.0,742.0,682.15,64.0
64,657.0,742.0,683.65,65.0
65,664.0,742.0,686.25,66.0
66,664.0,742.0,686.25,67.0
67,664.0,742.0,686.25,68.0
68,664.0,742.0,686.25,69.0
69,664.0,745.0,686.75,70.0
70,664.0,745.0,688.8,71.0
71,664.0,745.0,688.8,72.0
72,664.0,745.0,688.8,73.0
73,664.0,745.0,688.8,74.0
74,664.0,745.0,689.65,75.0
75,666.0,749.0,692.75,76.0
76,666.0,749.0,692.75,77.0
77,666.0,749.0,692.75,78.0
78,666.0,749.0,692.75,79.0
79,666.0,749.0,693.55,80.0
80,666.0,752.0,696.45,81.0
81,666.0,752.0,697.25,82.0
82,666.0,752.0,697.25,83.0
83,666.0,752.0,697.25,84.0
84,666.0,752.0,697.35,85.0
85,671.0,759.0,702.15,86.0
86,671.0,759.0,702.7,87.0
87,671.0,759.0,702.7,88.0
88,671.0,759.0,702.7,89.0
89,671.0,759.0,702.7,90.0
90,672.0,764.0,706.6,91.0
91,672.0,764.0,707.3,92.0
92,672.0,764.0,707.3,93.0
93,672.0,764.0,707.3,94.0
94,672.0,764.0,707.3,95.0
95,672.0,766.0,710.4,96.0
96,672.0,766.0,711.1,97.0
97,672.0,766.0,711.1,98.0
98,672.0,766.0,711.1,99.0
99,672.0,766.0,711.1,100.0
100,672.0,766.0,713.95,101.0
101,672.0,766.0,713.95,102.0
102,672.0,766.0,713.95,103.0
103,672.0,766.0,713.95,104.0
104,672.0,766.0,713.95,105.0
105,681.0,769.0,718.15,106.0
106,686.0,769.0,720.1,107.0
107,686.0,769.0,720.1,108.0
108,686.0,769.0,720.1,109.0
109,686.0,769.0,720.1,110.0
110,690.0,774.0,723.0,111.0
111,690.0,774.0,723.35,112.0
112,690.0,774.0,723.35,113.0
113,690.0,774.0,723.35,114.0
114,690.0,774.0,723.35,115.0
115,694.0,774.0,725.25,116.0
116,694.0,774.0,725.95,117.0
117,694.0,774.0,725.95,118.0
118,694.0,774.0,725.95,119.0
119,694.0,774.0,725.95,120.0
120,694.0,774.0,727.5,121.0
121,697.0,779.0,728.55,122.0
122,697.0,779.0,728.55,123.0
123,697.0,779.0,728.55,124.0
124,697.0,779.0,728.55,125.0
125,697.0,779.0,731.05,126.0
126,699.0,779.0,734.2,127.0
127,699.0,779.0,734.2,128.0
128,699.0,779.0,734.2,129.0
129,699.0,779.0,734.2,130.0
130,699.0,779.0,736.25,131.0
131,709.0,779.0,739.9,132.0
132,709.0,779.0,739.9,133.0
133,709.0,779.0,739.9,134.0
134,709.0,779.0,739.9,135.0
135,709.0,779.0,740.5,136.0
136,711.0,783.0,742.25,137.0
137,711.0,783.0,742.65,138.0
138,711.0,783.0,742.65,139.0
139,711.0,783.0,742.65,140.0
140,711.0,783.0,743.4,141.0
141,711.0,804.0,746.65,142.0
142,711.0,804.0,746.8,143.0
143,711.0,804.0,746.8,144.0
144,711.0,804.0,746.8,145.0
145,711.0,804.0,747.0,146.0
146,711.0,804.0,751.1,147.0
147,711.0,804.0,751.15,148.0
148,711.0,804.0,751.15,149.0
149,711.0,804.0,751.15,150.0
150,711.0,804.0,751.2,151.0
151,711.0,816.0,755.7,152.0
152,711.0,816.0,755.75,153.0
153,711.0,816.0,755.75,154.0
154,711.0,816.0,755.75,155.0
155,711.0,816.0,755.75,156.0
156,714.0,818.0,757.9,157.0
157,714.0,818.0,757.9,158.0
158,714.0,818.0,757.9,159.0
159,714.0,818.0,757.9,160.0
160,714.0,818.0,758.4,161.0
161,714.0,819.0,761.15,162.0
162,714.0,819.0,761.75,163.0
163,714.0,819.0,761.75,164.0
164,714.0,819.0,761.75,165.0
165,714.0,819.0,761.9,166.0
166,714.0,820.0,762.3,167.0
167,714.0,820.0,762.45,168.0
168,714.0,820.0,762.45,169.0
169,714.0,820.0,762.45,170.0
170,714.0,820.0,762.45,171.0
171,717.0,823.0,765.15,172.0
172,717.0,823.0,765.15,173.0
173,717.0,823.0,765.15,174.0
174,717.0,823.0,765.15,175.0
175,717.0,823.0,765.15,176.0
176,717.0,823.0,765.55,177.0
177,717.0,825.0,766.15,178.0
178,717.0,825.0,766.15,179.0
179,717.0,825.0,766.15,180.0
180,717.0,825.0,766.15,181.0
181,723.0,825.0,767.1,182.0
182,723.0,825.0,769.2,183.0
183,723.0,825.0,769.2,184.0
184,723.0,825.0,769.2,185.0
185,723.0,825.0,769.2,186.0
186,723.0,827.0,770.6,187.0
187,723.0,827.0,771.5,188.0
188,723.0,827.0,771.5,189.0
189,723.0,827.0,771.5,190.0
190,723.0,827.0,771.5,191.0
191,733.0,830.0,773.05,192.0
192,733.0,830.0,774.0,193.0
193,733.0,830.0,774.0,194.0
194,733.0,830.0,774.0,195.0
195,733.0,830.0,774.0,196.0
196,735.0,830.0,774.65,197.0
197,735.0,835.0,775.95,198.0
198,735.0,835.0,775.95,199.0
199,735.0,835.0,775.95,200.0
200,735.0,835.0,775.95,201.0
201,738.0,835.0,776.25,202.0
202,738.0,836.0,777.55,203.0
203,738.0,836.0,777.6,204.0
204,738.0,836.0,777.6,205.0
205,738.0,836.0,777.6,206.0
206,739.0,836.0,778.15,207.0
207,739.0,838.0,779.85,208.0
208,739.0,838.0,779.9,209.0
209,739.0,838.0,779.9,210.0
210,739.0,838.0,779.9,211.0
211,741.0,838.0,780.25,212.0
212,741.0,842.0,782.65,213.0
