,min,max,ave,time
0,717.0,803.0,739.35,1.0
1,717.0,803.0,739.35,2.0
2,717.0,803.0,739.35,3.0
3,717.0,803.0,739.35,4.0
4,717.0,803.0,739.35,5.0
5,717.0,803.0,739.35,6.0
6,717.0,803.0,739.35,7.0
7,717.0,803.0,739.35,8.0
8,717.0,803.0,739.35,9.0
9,717.0,803.0,739.35,10.0
10,717.0,803.0,739.35,11.0
11,717.0,803.0,739.35,12.0
12,717.0,803.0,739.35,13.0
13,717.0,803.0,739.35,14.0
14,717.0,803.0,739.35,15.0
15,717.0,803.0,739.35,16.0
16,717.0,803.0,739.35,17.0
17,717.0,803.0,739.35,18.0
18,717.0,803.0,739.35,19.0
19,717.0,803.0,739.35,20.0
20,717.0,803.0,739.35,21.0
21,717.0,803.0,739.35,22.0
22,717.0,803.0,739.35,23.0
23,717.0,803.0,739.35,24.0
24,717.0,803.0,739.35,25.0
25,717.0,803.0,739.35,26.0
26,717.0,803.0,739.35,27.0
27,717.0,803.0,739.35,28.0
28,717.0,803.0,739.35,29.0
29,717.0,803.0,739.35,30.0
30,717.0,803.0,739.35,31.0
31,717.0,803.0,739.35,32.0
32,717.0,803.0,739.35,33.0
33,717.0,803.0,739.35,34.0
34,717.0,803.0,739.35,35.0
35,717.0,803.0,739.35,36.0
36,717.0,803.0,739.35,37.0
37,717.0,803.0,739.35,38.0
38,717.0,803.0,739.35,39.0
39,717.0,803.0,739.35,40.0
40,717.0,803.0,739.35,41.0
41,717.0,803.0,739.35,42.0
42,717.0,803.0,739.35,43.0
43,717.0,803.0,739.35,44.0
44,717.0,803.0,739.35,45.0
45,717.0,803.0,739.35,46.0
46,717.0,803.0,739.35,47.0
47,717.0,803.0,739.35,48.0
48,717.0,803.0,739.35,49.0
49,717.0,803.0,739.35,50.0
50,717.0,803.0,739.35,51.0
51,717.0,803.0,739.35,52.0
52,717.0,803.0,739.35,53.0
53,717.0,803.0,739.35,54.0
54,717.0,803.0,739.35,55.0
55,717.0,803.0,739.35,56.0
56,717.0,803.0,739.35,57.0
57,717.0,803.0,739.35,58.0
58,717.0,803.0,739.35,59.0
59,717.0,803.0,739.35,60.0
60,717.0,803.0,739.35,61.0
61,717.0,803.0,739.35,62.0
62,717.0,803.0,739.35,63.0
63,717.0,803.0,739.35,64.0
64,717.0,803.0,740.6,65.0
65,718.0,804.0,742.5,66.0
66,718.0,804.0,742.5,67.0
67,718.0,804.0,742.5,68.0
68,718.0,804.0,742.5,69.0
69,718.0,804.0,742.8,70.0
70,718.0,808.0,747.15,71.0
71,718.0,808.0,747.15,72.0
72,718.0,808.0,747.15,73.0
73,718.0,808.0,747.15,74.0
74,718.0,808.0,747.35,75.0
75,720.0,811.0,750.3,76.0
76,720.0,811.0,750.3,77.0
77,720.0,811.0,750.3,78.0
78,720.0,811.0,750.3,79.0
79,720.0,811.0,750.9,80.0
80,724.0,813.0,755.45,81.0
81,724.0,813.0,755.45,82.0
82,724.0,813.0,755.45,83.0
83,724.0,813.0,755.45,84.0
84,724.0,813.0,755.45,85.0
85,724.0,813.0,758.85,86.0
86,724.0,813.0,758.85,87.0
87,724.0,813.0,758.85,88.0
88,724.0,813.0,758.85,89.0
89,724.0,813.0,758.85,90.0
90,724.0,813.0,764.75,91.0
91,724.0,813.0,764.75,92.0
92,724.0,813.0,764.75,93.0
93,724.0,813.0,764.75,94.0
94,724.0,813.0,764.75,95.0
95,737.0,817.0,772.3,96.0
96,737.0,817.0,772.3,97.0
97,737.0,817.0,772.3,98.0
98,737.0,817.0,772.3,99.0
99,737.0,817.0,772.3,100.0
100,737.0,817.0,774.55,101.0
101,737.0,817.0,774.7,102.0
102,737.0,817.0,774.7,103.0
103,737.0,817.0,774.7,104.0
104,737.0,817.0,774.7,105.0
105,738.0,817.0,776.05,106.0
106,738.0,822.0,777.35,107.0
107,738.0,822.0,777.35,108.0
108,738.0,822.0,777.35,109.0
109,738.0,822.0,777.35,110.0
110,738.0,823.0,779.45,111.0
111,738.0,827.0,782.1,112.0
112,738.0,827.0,782.1,113.0
113,738.0,827.0,782.1,114.0
114,738.0,827.0,782.1,115.0
115,743.0,839.0,785.55,116.0
116,748.0,839.0,788.9,117.0
117,748.0,839.0,788.9,118.0
118,748.0,839.0,788.9,119.0
119,748.0,839.0,788.9,120.0
120,748.0,843.0,790.9,121.0
121,751.0,852.0,799.25,122.0
122,751.0,852.0,799.25,123.0
123,751.0,852.0,799.25,124.0
124,751.0,852.0,799.25,125.0
125,751.0,852.0,800.1,126.0
126,752.0,858.0,801.0,127.0
127,752.0,858.0,801.0,128.0
128,752.0,858.0,801.0,129.0
129,752.0,858.0,801.0,130.0
130,752.0,858.0,801.85,131.0
131,755.0,858.0,803.05,132.0
132,755.0,858.0,803.05,133.0
133,755.0,858.0,803.05,134.0
134,755.0,858.0,803.05,135.0
135,755.0,858.0,803.05,136.0
136,755.0,874.0,808.65,137.0
137,755.0,874.0,808.65,138.0
138,755.0,874.0,808.65,139.0
139,755.0,874.0,808.65,140.0
140,755.0,874.0,808.65,141.0
141,755.0,878.0,811.7,142.0
142,755.0,878.0,811.7,143.0
143,755.0,878.0,811.7,144.0
144,755.0,878.0,811.7,145.0
145,755.0,878.0,811.7,146.0
146,768.0,878.0,815.3,147.0
147,768.0,879.0,815.35,148.0
148,768.0,879.0,815.35,149.0
149,768.0,879.0,815.35,150.0
150,768.0,879.0,815.35,151.0
151,769.0,879.0,816.9,152.0
152,770.0,879.0,817.9,153.0
153,770.0,879.0,817.9,154.0
154,770.0,879.0,817.9,155.0
155,770.0,879.0,817.9,156.0
156,774.0,879.0,822.95,157.0
157,774.0,882.0,823.6,158.0
158,774.0,882.0,823.6,159.0
159,774.0,882.0,823.6,160.0
160,774.0,882.0,823.6,161.0
161,788.0,882.0,829.35,162.0
162,788.0,882.0,829.9,163.0
163,788.0,882.0,829.9,164.0
164,788.0,882.0,829.9,165.0
165,788.0,882.0,829.9,166.0
