,min,max,ave,time
0,1351.0,1392.0,1370.85,1.0
1,1351.0,1392.0,1370.85,2.0
2,1351.0,1392.0,1370.85,3.0
3,1351.0,1392.0,1370.85,4.0
4,1351.0,1392.0,1370.85,5.0
5,1351.0,1392.0,1370.85,6.0
6,1351.0,1392.0,1370.85,7.0
7,1351.0,1392.0,1370.85,8.0
8,1351.0,1392.0,1370.85,9.0
9,1351.0,1392.0,1370.85,10.0
10,1351.0,1392.0,1370.85,11.0
11,1351.0,1392.0,1370.85,12.0
12,1351.0,1392.0,1370.85,13.0
13,1351.0,1392.0,1370.85,14.0
14,1351.0,1392.0,1370.85,15.0
15,1351.0,1392.0,1370.85,16.0
16,1351.0,1392.0,1370.85,17.0
17,1351.0,1392.0,1370.85,18.0
18,1351.0,1392.0,1370.85,19.0
19,1351.0,1392.0,1370.85,20.0
20,1351.0,1392.0,1370.85,21.0
21,1351.0,1392.0,1370.85,22.0
22,1351.0,1392.0,1370.85,23.0
23,1351.0,1392.0,1370.85,24.0
24,1351.0,1392.0,1370.85,25.0
25,1351.0,1392.0,1370.85,26.0
26,1351.0,1392.0,1370.85,27.0
27,1351.0,1392.0,1370.85,28.0
28,1351.0,1392.0,1370.85,29.0
29,1351.0,1392.0,1370.85,30.0
30,1351.0,1392.0,1370.85,31.0
31,1351.0,1392.0,1370.85,32.0
32,1351.0,1392.0,1370.85,33.0
33,1351.0,1392.0,1370.85,34.0
34,1351.0,1392.0,1370.85,35.0
35,1351.0,1392.0,1370.85,36.0
36,1351.0,1392.0,1370.85,37.0
37,1351.0,1392.0,1370.85,38.0
38,1351.0,1392.0,1370.85,39.0
39,1351.0,1392.0,1370.85,40.0
40,1351.0,1392.0,1370.85,41.0
41,1351.0,1392.0,1370.85,42.0
42,1351.0,1392.0,1370.85,43.0
43,1351.0,1392.0,1370.85,44.0
44,1351.0,1392.0,1370.85,45.0
45,1351.0,1392.0,1370.85,46.0
46,1351.0,1392.0,1370.85,47.0
47,1351.0,1392.0,1370.85,48.0
48,1351.0,1392.0,1370.85,49.0
49,1351.0,1392.0,1370.85,50.0
50,1351.0,1392.0,1370.85,51.0
51,1351.0,1392.0,1370.85,52.0
52,1351.0,1392.0,1370.85,53.0
53,1351.0,1392.0,1370.85,54.0
54,1351.0,1392.0,1370.85,55.0
55,1351.0,1392.0,1370.85,56.0
56,1351.0,1392.0,1370.85,57.0
57,1351.0,1392.0,1370.85,58.0
58,1351.0,1392.0,1370.85,59.0
59,1351.0,1392.0,1370.85,60.0
60,1351.0,1392.0,1370.85,61.0
