,min,max,ave,time
0,1165.0,1191.0,1184.6,1.0
1,1165.0,1191.0,1184.6,2.0
2,1165.0,1191.0,1184.6,3.0
3,1165.0,1191.0,1184.6,4.0
4,1165.0,1191.0,1184.6,5.0
5,1165.0,1191.0,1184.6,6.0
6,1165.0,1191.0,1184.6,7.0
7,1165.0,1191.0,1184.6,8.0
8,1165.0,1191.0,1184.6,9.0
9,1208.0,1233.0,1218.35,10.0
10,1208.0,1233.0,1218.35,11.0
11,1208.0,1233.0,1218.35,12.0
12,1208.0,1233.0,1218.35,13.0
13,1208.0,1233.0,1218.35,14.0
14,1213.0,1241.0,1236.8,15.0
15,1236.0,1241.0,1237.95,16.0
16,1236.0,1241.0,1237.95,17.0
17,1236.0,1241.0,1237.95,18.0
18,1236.0,1241.0,1237.95,19.0
19,1236.0,1247.0,1241.25,20.0
20,1241.0,1247.0,1241.5,21.0
21,1241.0,1247.0,1241.5,22.0
22,1241.0,1247.0,1241.5,23.0
23,1241.0,1247.0,1241.5,24.0
24,1241.0,1249.0,1245.2,25.0
25,1243.0,1249.0,1245.45,26.0
26,1243.0,1249.0,1245.45,27.0
27,1243.0,1249.0,1245.45,28.0
28,1243.0,1249.0,1245.45,29.0
29,1245.0,1250.0,1247.95,30.0
30,1245.0,1250.0,1248.05,31.0
31,1245.0,1250.0,1248.05,32.0
32,1245.0,1250.0,1248.05,33.0
33,1245.0,1250.0,1248.05,34.0
34,1248.0,1251.0,1248.5,35.0
35,1248.0,1251.0,1248.65,36.0
36,1248.0,1251.0,1248.65,37.0
37,1248.0,1251.0,1248.65,38.0
38,1248.0,1251.0,1248.65,39.0
39,1248.0,1251.0,1249.0,40.0
40,1249.0,1251.0,1249.2,41.0
41,1249.0,1251.0,1249.2,42.0
42,1249.0,1251.0,1249.2,43.0
43,1249.0,1251.0,1249.2,44.0
44,1249.0,1253.0,1249.3,45.0
45,1249.0,1253.0,1249.6,46.0
46,1249.0,1253.0,1249.6,47.0
47,1249.0,1253.0,1249.6,48.0
48,1249.0,1253.0,1249.6,49.0
49,1249.0,1295.0,1255.8,50.0
50,1249.0,1311.0,1265.25,51.0
51,1249.0,1311.0,1265.25,52.0
52,1249.0,1311.0,1265.25,53.0
53,1249.0,1311.0,1265.25,54.0
54,1249.0,1319.0,1273.6,55.0
55,1269.0,1324.0,1306.55,56.0
56,1269.0,1324.0,1306.55,57.0
57,1269.0,1324.0,1306.55,58.0
58,1269.0,1324.0,1306.55,59.0
59,1269.0,1331.0,1307.8,60.0
60,1307.0,1338.0,1322.7,61.0
61,1307.0,1338.0,1322.7,62.0
62,1307.0,1338.0,1323.6,63.0
63,1307.0,1338.0,1323.6,64.0
64,1307.0,1338.0,1323.75,65.0
65,1321.0,1349.0,1332.15,66.0
66,1321.0,1349.0,1332.15,67.0
67,1321.0,1349.0,1332.65,68.0
68,1321.0,1349.0,1332.65,69.0
69,1321.0,1349.0,1332.85,70.0
70,1328.0,1352.0,1337.7,71.0
71,1328.0,1352.0,1337.7,72.0
72,1328.0,1352.0,1338.0,73.0
73,1328.0,1352.0,1338.0,74.0
74,1328.0,1352.0,1338.35,75.0
75,1331.0,1352.0,1342.05,76.0
76,1331.0,1352.0,1342.05,77.0
77,1331.0,1352.0,1342.25,78.0
78,1331.0,1352.0,1342.25,79.0
79,1331.0,1352.0,1342.6,80.0
80,1332.0,1355.0,1344.4,81.0
81,1333.0,1355.0,1344.9,82.0
82,1333.0,1355.0,1344.95,83.0
83,1333.0,1355.0,1344.95,84.0
84,1333.0,1356.0,1345.3,85.0
85,1336.0,1358.0,1347.85,86.0
86,1336.0,1358.0,1348.6,87.0
87,1336.0,1358.0,1348.8,88.0
88,1336.0,1358.0,1348.8,89.0
89,1336.0,1360.0,1349.0,90.0
90,1338.0,1360.0,1350.0,91.0
91,1340.0,1360.0,1350.7,92.0
92,1340.0,1360.0,1350.7,93.0
93,1340.0,1360.0,1350.8,94.0
94,1340.0,1360.0,1350.8,95.0
95,1341.0,1360.0,1351.85,96.0
96,1341.0,1360.0,1352.3,97.0
97,1341.0,1360.0,1352.3,98.0
98,1341.0,1360.0,1352.4,99.0
99,1341.0,1360.0,1352.4,100.0
100,1341.0,1360.0,1352.5,101.0
101,1341.0,1360.0,1352.5,102.0
102,1341.0,1360.0,1352.5,103.0
103,1341.0,1360.0,1352.5,104.0
104,1341.0,1360.0,1352.5,105.0
105,1341.0,1361.0,1352.65,106.0
106,1341.0,1361.0,1352.75,107.0
107,1341.0,1361.0,1352.75,108.0
108,1341.0,1361.0,1352.75,109.0
109,1341.0,1361.0,1352.75,110.0
110,1341.0,1362.0,1352.8,111.0
111,1341.0,1362.0,1352.9,112.0
112,1341.0,1362.0,1352.9,113.0
113,1341.0,1362.0,1352.9,114.0
114,1341.0,1362.0,1352.9,115.0
115,1341.0,1366.0,1353.15,116.0
116,1341.0,1366.0,1353.3,117.0
117,1341.0,1366.0,1353.3,118.0
118,1341.0,1366.0,1353.3,119.0
119,1341.0,1366.0,1353.3,120.0
120,1341.0,1369.0,1353.45,121.0
121,1341.0,1369.0,1354.0,122.0
122,1341.0,1369.0,1354.0,123.0
123,1341.0,1369.0,1354.0,124.0
124,1341.0,1369.0,1354.0,125.0
125,1341.0,1370.0,1354.05,126.0
126,1341.0,1370.0,1354.55,127.0
127,1341.0,1370.0,1354.55,128.0
128,1341.0,1370.0,1354.55,129.0
129,1341.0,1370.0,1354.55,130.0
130,1341.0,1371.0,1354.6,131.0
131,1342.0,1371.0,1355.15,132.0
132,1342.0,1371.0,1355.15,133.0
133,1342.0,1371.0,1355.15,134.0
134,1342.0,1371.0,1355.15,135.0
135,1342.0,1371.0,1355.15,136.0
136,1345.0,1371.0,1356.55,137.0
137,1345.0,1371.0,1356.6,138.0
138,1345.0,1371.0,1356.8,139.0
139,1345.0,1371.0,1356.8,140.0
140,1345.0,1371.0,1356.8,141.0
141,1345.0,1371.0,1358.0,142.0
142,1346.0,1371.0,1358.15,143.0
143,1346.0,1371.0,1358.2,144.0
144,1346.0,1371.0,1358.2,145.0
145,1346.0,1371.0,1358.2,146.0
146,1347.0,1371.0,1359.15,147.0
147,1347.0,1371.0,1359.5,148.0
148,1347.0,1371.0,1359.55,149.0
149,1347.0,1371.0,1359.55,150.0
150,1347.0,1371.0,1359.55,151.0
151,1348.0,1371.0,1360.5,152.0
152,1349.0,1371.0,1361.0,153.0
153,1349.0,1371.0,1361.05,154.0
154,1349.0,1371.0,1361.05,155.0
