,min,max,ave,time
0,1352.0,1368.0,1357.8,1.0
1,1352.0,1368.0,1357.8,2.0
2,1352.0,1368.0,1357.8,3.0
3,1352.0,1368.0,1357.8,4.0
4,1352.0,1368.0,1357.8,5.0
5,1352.0,1368.0,1357.8,6.0
6,1352.0,1368.0,1357.8,7.0
7,1352.0,1368.0,1357.8,8.0
8,1352.0,1368.0,1357.8,9.0
9,1352.0,1368.0,1357.8,10.0
10,1352.0,1368.0,1357.8,11.0
11,1352.0,1368.0,1357.8,12.0
12,1352.0,1368.0,1357.8,13.0
13,1352.0,1368.0,1357.8,14.0
14,1352.0,1368.0,1357.8,15.0
15,1352.0,1368.0,1357.8,16.0
16,1352.0,1368.0,1357.8,17.0
17,1352.0,1368.0,1357.8,18.0
18,1352.0,1368.0,1357.8,19.0
19,1352.0,1368.0,1357.8,20.0
20,1352.0,1368.0,1357.8,21.0
21,1352.0,1368.0,1357.8,22.0
22,1352.0,1368.0,1357.8,23.0
23,1352.0,1368.0,1357.8,24.0
24,1352.0,1368.0,1357.8,25.0
25,1352.0,1368.0,1357.8,26.0
26,1352.0,1368.0,1357.8,27.0
27,1352.0,1368.0,1357.8,28.0
28,1352.0,1368.0,1357.8,29.0
29,1352.0,1368.0,1357.8,30.0
30,1352.0,1368.0,1357.8,31.0
31,1352.0,1368.0,1357.8,32.0
32,1352.0,1368.0,1357.8,33.0
33,1352.0,1368.0,1357.8,34.0
34,1352.0,1368.0,1357.8,35.0
35,1352.0,1368.0,1357.8,36.0
36,1352.0,1368.0,1357.8,37.0
37,1352.0,1368.0,1357.8,38.0
38,1352.0,1368.0,1357.8,39.0
39,1352.0,1368.0,1357.8,40.0
40,1352.0,1368.0,1357.8,41.0
41,1352.0,1368.0,1357.8,42.0
42,1352.0,1368.0,1357.8,43.0
43,1352.0,1368.0,1357.8,44.0
44,1352.0,1368.0,1357.8,45.0
45,1352.0,1368.0,1357.8,46.0
46,1352.0,1368.0,1357.8,47.0
47,1352.0,1368.0,1357.8,48.0
48,1352.0,1368.0,1357.8,49.0
49,1352.0,1368.0,1357.8,50.0
50,1352.0,1368.0,1357.8,51.0
51,1352.0,1368.0,1357.8,52.0
52,1352.0,1368.0,1357.8,53.0
53,1352.0,1368.0,1357.8,54.0
54,1352.0,1368.0,1357.8,55.0
55,1352.0,1368.0,1357.8,56.0
56,1352.0,1368.0,1357.8,57.0
57,1352.0,1368.0,1357.8,58.0
58,1352.0,1368.0,1357.8,59.0
59,1352.0,1368.0,1357.8,60.0
60,1352.0,1368.0,1357.8,61.0
61,1352.0,1368.0,1357.8,62.0
62,1352.0,1368.0,1357.8,63.0
63,1352.0,1368.0,1357.8,64.0
64,1352.0,1372.0,1359.85,65.0
65,1353.0,1378.0,1361.3,66.0
66,1353.0,1378.0,1361.3,67.0
67,1353.0,1378.0,1361.3,68.0
68,1353.0,1378.0,1361.3,69.0
69,1353.0,1378.0,1361.8,70.0
70,1355.0,1381.0,1363.1,71.0
71,1355.0,1381.0,1363.1,72.0
72,1355.0,1381.0,1363.1,73.0
73,1355.0,1381.0,1363.1,74.0
74,1355.0,1381.0,1363.8,75.0
75,1356.0,1384.0,1366.8,76.0
76,1356.0,1384.0,1366.8,77.0
77,1356.0,1384.0,1366.8,78.0
78,1356.0,1384.0,1366.8,79.0
79,1356.0,1384.0,1367.55,80.0
80,1358.0,1385.0,1369.1,81.0
81,1358.0,1385.0,1369.1,82.0
82,1358.0,1385.0,1369.1,83.0
83,1358.0,1385.0,1369.1,84.0
84,1360.0,1385.0,1370.1,85.0
85,1360.0,1387.0,1372.35,86.0
86,1360.0,1387.0,1372.35,87.0
87,1360.0,1387.0,1372.35,88.0
88,1360.0,1387.0,1372.35,89.0
89,1360.0,1387.0,1372.75,90.0
90,1365.0,1393.0,1374.8,91.0
91,1365.0,1393.0,1374.8,92.0
92,1365.0,1393.0,1374.8,93.0
93,1365.0,1393.0,1374.8,94.0
94,1365.0,1393.0,1375.0,95.0
95,1365.0,1395.0,1376.1,96.0
96,1365.0,1395.0,1376.25,97.0
97,1365.0,1395.0,1376.25,98.0
98,1365.0,1395.0,1376.25,99.0
99,1365.0,1395.0,1376.45,100.0
100,1368.0,1399.0,1377.9,101.0
101,1368.0,1399.0,1377.95,102.0
102,1368.0,1399.0,1377.95,103.0
103,1368.0,1399.0,1377.95,104.0
104,1368.0,1399.0,1377.95,105.0
105,1368.0,1399.0,1378.85,106.0
106,1368.0,1399.0,1379.05,107.0
107,1368.0,1399.0,1379.05,108.0
108,1368.0,1399.0,1379.05,109.0
109,1368.0,1399.0,1379.05,110.0
110,1368.0,1400.0,1379.65,111.0
111,1368.0,1400.0,1380.0,112.0
112,1368.0,1400.0,1380.0,113.0
113,1368.0,1400.0,1380.0,114.0
114,1368.0,1400.0,1380.0,115.0
115,1368.0,1400.0,1380.5,116.0
116,1369.0,1400.0,1381.1,117.0
117,1369.0,1400.0,1381.1,118.0
118,1369.0,1400.0,1381.1,119.0
119,1369.0,1400.0,1381.1,120.0
