,min,max,ave,time
0,1359.0,1378.0,1367.5,1.0
1,1359.0,1378.0,1367.5,2.0
2,1359.0,1378.0,1367.5,3.0
3,1359.0,1378.0,1367.5,4.0
4,1359.0,1378.0,1367.5,5.0
5,1359.0,1378.0,1367.5,6.0
6,1359.0,1378.0,1367.5,7.0
7,1359.0,1378.0,1367.5,8.0
8,1359.0,1378.0,1367.5,9.0
9,1359.0,1378.0,1367.5,10.0
10,1359.0,1378.0,1367.5,11.0
11,1359.0,1378.0,1367.5,12.0
12,1359.0,1378.0,1367.5,13.0
13,1359.0,1378.0,1367.5,14.0
14,1359.0,1378.0,1367.5,15.0
15,1359.0,1378.0,1367.5,16.0
16,1359.0,1378.0,1367.5,17.0
17,1359.0,1378.0,1367.5,18.0
18,1359.0,1378.0,1367.5,19.0
19,1359.0,1378.0,1367.5,20.0
20,1359.0,1378.0,1367.5,21.0
21,1359.0,1378.0,1367.5,22.0
22,1359.0,1378.0,1367.5,23.0
23,1359.0,1378.0,1367.5,24.0
24,1359.0,1378.0,1367.5,25.0
25,1359.0,1378.0,1367.5,26.0
26,1359.0,1378.0,1367.5,27.0
27,1359.0,1378.0,1367.5,28.0
28,1359.0,1378.0,1367.5,29.0
29,1359.0,1378.0,1367.5,30.0
30,1359.0,1378.0,1367.5,31.0
31,1359.0,1378.0,1367.5,32.0
32,1359.0,1378.0,1367.5,33.0
33,1359.0,1378.0,1367.5,34.0
34,1359.0,1378.0,1367.5,35.0
35,1359.0,1378.0,1367.5,36.0
36,1359.0,1378.0,1367.5,37.0
37,1359.0,1378.0,1367.5,38.0
38,1359.0,1378.0,1367.5,39.0
39,1359.0,1378.0,1367.5,40.0
40,1359.0,1378.0,1367.5,41.0
41,1359.0,1378.0,1367.5,42.0
42,1359.0,1378.0,1367.5,43.0
43,1359.0,1378.0,1367.5,44.0
44,1359.0,1378.0,1367.5,45.0
45,1359.0,1378.0,1367.5,46.0
46,1359.0,1378.0,1367.5,47.0
47,1359.0,1378.0,1367.5,48.0
