,min,max,ave,time
0,608.0,679.0,644.55,1.0
1,608.0,679.0,644.55,2.0
2,608.0,679.0,644.55,3.0
3,608.0,679.0,644.55,4.0
4,608.0,679.0,644.55,5.0
5,608.0,679.0,644.55,6.0
6,608.0,679.0,644.55,7.0
7,608.0,679.0,644.55,8.0
8,608.0,679.0,644.55,9.0
9,608.0,679.0,644.55,10.0
10,608.0,679.0,644.55,11.0
11,608.0,679.0,644.55,12.0
12,608.0,679.0,644.55,13.0
13,608.0,679.0,644.55,14.0
14,608.0,679.0,644.55,15.0
15,608.0,679.0,644.55,16.0
16,608.0,679.0,644.55,17.0
17,608.0,679.0,644.55,18.0
18,608.0,679.0,644.55,19.0
19,608.0,679.0,644.55,20.0
20,608.0,679.0,644.55,21.0
21,608.0,679.0,644.55,22.0
22,608.0,679.0,644.55,23.0
23,608.0,679.0,644.55,24.0
24,608.0,679.0,644.55,25.0
25,608.0,679.0,644.55,26.0
26,608.0,679.0,644.55,27.0
27,608.0,679.0,644.55,28.0
28,608.0,679.0,644.55,29.0
29,608.0,679.0,644.55,30.0
30,608.0,679.0,644.55,31.0
31,608.0,679.0,644.55,32.0
32,608.0,679.0,644.55,33.0
33,608.0,679.0,644.55,34.0
34,608.0,679.0,644.55,35.0
35,608.0,679.0,644.55,36.0
36,608.0,679.0,644.55,37.0
37,608.0,679.0,644.55,38.0
38,608.0,679.0,644.55,39.0
39,608.0,679.0,644.55,40.0
40,608.0,679.0,644.55,41.0
41,608.0,679.0,644.55,42.0
42,608.0,679.0,644.55,43.0
43,608.0,679.0,644.55,44.0
44,608.0,679.0,644.55,45.0
45,608.0,679.0,644.55,46.0
46,608.0,679.0,644.55,47.0
47,608.0,679.0,644.55,48.0
48,608.0,679.0,644.55,49.0
49,608.0,679.0,644.55,50.0
50,608.0,679.0,644.55,51.0
51,608.0,679.0,644.55,52.0
52,608.0,679.0,644.55,53.0
53,608.0,679.0,644.55,54.0
54,608.0,679.0,644.55,55.0
55,608.0,679.0,644.55,56.0
56,608.0,679.0,644.55,57.0
57,608.0,679.0,644.55,58.0
58,608.0,679.0,644.55,59.0
59,608.0,679.0,644.55,60.0
60,608.0,679.0,644.55,61.0
61,608.0,679.0,644.55,62.0
62,608.0,679.0,644.55,63.0
63,608.0,679.0,644.55,64.0
64,615.0,680.0,647.2,65.0
65,621.0,680.0,654.85,66.0
66,621.0,680.0,654.85,67.0
67,621.0,680.0,654.85,68.0
68,621.0,680.0,654.85,69.0
69,621.0,680.0,654.85,70.0
70,626.0,733.0,662.15,71.0
71,626.0,733.0,662.15,72.0
72,626.0,733.0,662.15,73.0
73,626.0,733.0,662.15,74.0
74,626.0,733.0,663.0,75.0
75,628.0,733.0,665.1,76.0
76,628.0,733.0,665.1,77.0
77,628.0,733.0,665.1,78.0
78,628.0,733.0,665.1,79.0
79,628.0,733.0,665.1,80.0
80,633.0,733.0,669.65,81.0
81,633.0,733.0,669.65,82.0
82,633.0,733.0,669.65,83.0
83,633.0,733.0,669.65,84.0
84,633.0,733.0,669.65,85.0
85,633.0,746.0,671.45,86.0
86,633.0,746.0,671.45,87.0
87,633.0,746.0,671.45,88.0
88,633.0,746.0,671.45,89.0
89,633.0,746.0,671.45,90.0
90,634.0,746.0,674.6,91.0
91,634.0,746.0,674.6,92.0
92,634.0,746.0,674.6,93.0
93,634.0,746.0,674.6,94.0
