,min,max,ave,time
0,516.0,558.0,537.9,1.0
1,516.0,558.0,537.9,2.0
2,516.0,558.0,537.9,3.0
3,516.0,558.0,537.9,4.0
4,516.0,558.0,537.9,5.0
5,516.0,558.0,537.9,6.0
6,516.0,558.0,537.9,7.0
7,516.0,558.0,537.9,8.0
8,516.0,558.0,537.9,9.0
9,559.0,567.0,560.05,10.0
10,559.0,567.0,560.05,11.0
11,559.0,567.0,560.05,12.0
12,559.0,567.0,560.05,13.0
13,559.0,567.0,560.05,14.0
14,566.0,570.0,568.75,15.0
15,566.0,570.0,568.75,16.0
16,566.0,570.0,568.75,17.0
17,566.0,570.0,568.75,18.0
18,566.0,570.0,568.75,19.0
19,569.0,581.0,578.7,20.0
20,569.0,581.0,578.7,21.0
21,569.0,581.0,578.7,22.0
22,569.0,581.0,578.7,23.0
23,569.0,581.0,578.7,24.0
24,581.0,583.0,581.75,25.0
25,581.0,583.0,581.75,26.0
26,581.0,583.0,581.75,27.0
27,581.0,583.0,581.75,28.0
28,581.0,583.0,581.75,29.0
29,581.0,583.0,582.8,30.0
30,581.0,583.0,582.8,31.0
31,581.0,583.0,582.8,32.0
32,581.0,583.0,582.8,33.0
33,581.0,583.0,582.8,34.0
34,583.0,583.0,583.0,35.0
35,583.0,583.0,583.0,36.0
36,583.0,583.0,583.0,37.0
37,583.0,583.0,583.0,38.0
38,583.0,583.0,583.0,39.0
39,583.0,583.0,583.0,40.0
40,583.0,583.0,583.0,41.0
41,583.0,583.0,583.0,42.0
42,583.0,583.0,583.0,43.0
43,583.0,583.0,583.0,44.0
44,583.0,588.0,583.4,45.0
45,583.0,588.0,583.4,46.0
46,583.0,588.0,583.4,47.0
47,583.0,588.0,583.4,48.0
48,583.0,588.0,583.4,49.0
49,583.0,591.0,583.8,50.0
50,583.0,591.0,584.05,51.0
51,583.0,591.0,584.05,52.0
52,583.0,591.0,584.05,53.0
53,583.0,591.0,584.05,54.0
54,583.0,612.0,586.55,55.0
55,583.0,621.0,589.15,56.0
56,583.0,621.0,589.15,57.0
57,583.0,621.0,589.15,58.0
58,583.0,621.0,589.15,59.0
59,583.0,621.0,591.05,60.0
60,583.0,625.0,592.4,61.0
61,583.0,625.0,592.4,62.0
62,583.0,625.0,592.4,63.0
63,583.0,625.0,592.4,64.0
64,583.0,625.0,596.75,65.0
65,588.0,641.0,604.75,66.0
66,588.0,641.0,604.75,67.0
67,588.0,641.0,604.75,68.0
68,588.0,641.0,604.75,69.0
69,588.0,641.0,609.35,70.0
70,591.0,646.0,616.9,71.0
71,591.0,646.0,616.9,72.0
72,591.0,646.0,616.9,73.0
73,591.0,646.0,616.9,74.0
74,591.0,671.0,620.35,75.0
75,612.0,671.0,626.85,76.0
76,612.0,671.0,626.85,77.0
77,612.0,671.0,626.85,78.0
78,612.0,671.0,626.85,79.0
79,612.0,676.0,627.15,80.0
80,621.0,676.0,630.85,81.0
81,621.0,676.0,630.85,82.0
82,621.0,676.0,630.85,83.0
83,621.0,676.0,630.85,84.0
84,621.0,678.0,630.95,85.0
85,622.0,688.0,641.2,86.0
86,622.0,688.0,641.2,87.0
87,622.0,688.0,641.2,88.0
88,622.0,688.0,641.2,89.0
89,622.0,688.0,641.2,90.0
90,623.0,688.0,642.95,91.0
91,623.0,688.0,642.95,92.0
92,623.0,688.0,642.95,93.0
93,623.0,688.0,642.95,94.0
94,623.0,688.0,642.95,95.0
95,626.0,689.0,646.15,96.0
96,626.0,689.0,646.35,97.0
97,626.0,689.0,646.35,98.0
98,626.0,689.0,646.35,99.0
99,626.0,689.0,646.35,100.0
100,626.0,692.0,647.15,101.0
101,626.0,692.0,648.05,102.0
102,626.0,692.0,648.05,103.0
103,626.0,692.0,648.05,104.0
104,626.0,692.0,648.05,105.0
105,627.0,694.0,652.05,106.0
106,627.0,694.0,652.35,107.0
107,627.0,694.0,652.35,108.0
108,627.0,694.0,652.35,109.0
109,627.0,694.0,652.35,110.0
110,627.0,694.0,652.35,111.0
111,627.0,694.0,652.35,112.0
112,627.0,694.0,652.35,113.0
113,627.0,694.0,652.35,114.0
114,627.0,694.0,652.35,115.0
115,627.0,694.0,652.45,116.0
116,629.0,694.0,652.6,117.0
117,629.0,694.0,652.6,118.0
118,629.0,694.0,652.6,119.0
119,629.0,694.0,652.6,120.0
120,629.0,694.0,652.6,121.0
121,629.0,694.0,652.6,122.0
122,629.0,694.0,652.6,123.0
123,629.0,694.0,652.6,124.0
124,629.0,694.0,652.6,125.0
125,629.0,694.0,652.6,126.0
126,629.0,694.0,652.65,127.0
127,629.0,694.0,652.65,128.0
128,629.0,694.0,652.65,129.0
129,629.0,694.0,652.65,130.0
130,629.0,694.0,652.7,131.0
131,629.0,694.0,652.7,132.0
132,629.0,694.0,652.7,133.0
133,629.0,694.0,652.7,134.0
134,629.0,694.0,652.7,135.0
135,629.0,694.0,652.7,136.0
136,629.0,694.0,652.85,137.0
137,629.0,694.0,652.85,138.0
138,629.0,694.0,652.85,139.0
139,629.0,694.0,652.85,140.0
140,629.0,694.0,652.85,141.0
141,629.0,694.0,652.9,142.0
142,629.0,694.0,652.9,143.0
143,629.0,694.0,652.9,144.0
144,629.0,694.0,652.9,145.0
145,629.0,694.0,652.9,146.0
146,629.0,695.0,653.05,147.0
147,629.0,695.0,653.05,148.0
148,629.0,695.0,653.05,149.0
149,629.0,695.0,653.05,150.0
150,629.0,695.0,653.05,151.0
151,629.0,695.0,653.5,152.0
152,629.0,695.0,653.5,153.0
153,629.0,695.0,653.5,154.0
154,629.0,695.0,653.5,155.0
155,629.0,695.0,653.5,156.0
156,629.0,703.0,657.2,157.0
157,630.0,703.0,657.5,158.0
158,630.0,703.0,657.5,159.0
159,630.0,703.0,657.5,160.0
160,630.0,703.0,657.5,161.0
161,630.0,716.0,659.45,162.0
162,630.0,716.0,659.85,163.0
163,630.0,716.0,659.85,164.0
164,630.0,716.0,659.85,165.0
165,630.0,716.0,659.85,166.0
166,630.0,756.0,662.35,167.0
167,630.0,756.0,662.5,168.0
168,630.0,756.0,662.5,169.0
169,630.0,756.0,662.5,170.0
170,630.0,756.0,662.5,171.0
171,630.0,756.0,662.8,172.0
