,min,max,ave,time
0,615.0,709.0,643.1,1.0
1,615.0,709.0,643.1,2.0
2,615.0,709.0,643.1,3.0
3,615.0,709.0,643.1,4.0
4,615.0,709.0,643.1,5.0
5,615.0,709.0,643.1,6.0
6,615.0,709.0,643.1,7.0
7,615.0,709.0,643.1,8.0
8,615.0,709.0,643.1,9.0
9,615.0,709.0,643.1,10.0
10,615.0,709.0,643.1,11.0
11,615.0,709.0,643.1,12.0
12,615.0,709.0,643.1,13.0
13,615.0,709.0,643.1,14.0
14,615.0,709.0,643.1,15.0
15,615.0,709.0,643.1,16.0
16,615.0,709.0,643.1,17.0
17,615.0,709.0,643.1,18.0
18,615.0,709.0,643.1,19.0
19,615.0,709.0,643.1,20.0
20,615.0,709.0,643.1,21.0
21,615.0,709.0,643.1,22.0
22,615.0,709.0,643.1,23.0
23,615.0,709.0,643.1,24.0
24,615.0,709.0,643.1,25.0
25,615.0,709.0,643.1,26.0
26,615.0,709.0,643.1,27.0
27,615.0,709.0,643.1,28.0
28,615.0,709.0,643.1,29.0
29,615.0,709.0,643.1,30.0
30,615.0,709.0,643.1,31.0
31,615.0,709.0,643.1,32.0
32,615.0,709.0,643.1,33.0
33,615.0,709.0,643.1,34.0
34,615.0,709.0,643.1,35.0
35,615.0,709.0,643.1,36.0
36,615.0,709.0,643.1,37.0
37,615.0,709.0,643.1,38.0
38,615.0,709.0,643.1,39.0
39,615.0,709.0,643.1,40.0
40,615.0,709.0,643.1,41.0
41,615.0,709.0,643.1,42.0
42,615.0,709.0,643.1,43.0
43,615.0,709.0,643.1,44.0
44,615.0,709.0,643.1,45.0
45,615.0,709.0,643.1,46.0
46,615.0,709.0,643.1,47.0
47,615.0,709.0,643.1,48.0
48,615.0,709.0,643.1,49.0
49,615.0,709.0,643.1,50.0
50,615.0,709.0,643.1,51.0
51,615.0,709.0,643.1,52.0
52,615.0,709.0,643.1,53.0
53,615.0,709.0,643.1,54.0
54,615.0,709.0,643.1,55.0
55,615.0,709.0,643.1,56.0
56,615.0,709.0,643.1,57.0
57,615.0,709.0,643.1,58.0
58,615.0,709.0,643.1,59.0
59,615.0,709.0,643.1,60.0
60,615.0,709.0,643.1,61.0
61,615.0,709.0,643.1,62.0
62,615.0,709.0,643.1,63.0
63,615.0,709.0,643.1,64.0
64,615.0,709.0,643.25,65.0
65,615.0,719.0,647.25,66.0
66,615.0,719.0,647.25,67.0
67,615.0,719.0,647.25,68.0
68,615.0,719.0,647.25,69.0
69,615.0,719.0,647.3,70.0
70,615.0,719.0,648.15,71.0
71,615.0,719.0,648.15,72.0
72,615.0,719.0,648.15,73.0
73,615.0,719.0,648.15,74.0
74,615.0,719.0,648.15,75.0
75,618.0,719.0,648.95,76.0
