,min,max,ave,time
0,613.0,711.0,649.4,1.0
1,613.0,711.0,649.4,2.0
2,613.0,711.0,649.4,3.0
3,613.0,711.0,649.4,4.0
4,613.0,711.0,649.4,5.0
5,613.0,711.0,649.4,6.0
6,613.0,711.0,649.4,7.0
7,613.0,711.0,649.4,8.0
8,613.0,711.0,649.4,9.0
9,613.0,711.0,649.4,10.0
10,613.0,711.0,649.4,11.0
11,613.0,711.0,649.4,12.0
12,613.0,711.0,649.4,13.0
13,613.0,711.0,649.4,14.0
14,613.0,711.0,649.4,15.0
15,613.0,711.0,649.4,16.0
16,613.0,711.0,649.4,17.0
17,613.0,711.0,649.4,18.0
18,613.0,711.0,649.4,19.0
19,613.0,711.0,649.4,20.0
20,613.0,711.0,649.4,21.0
21,613.0,711.0,649.4,22.0
22,613.0,711.0,649.4,23.0
23,613.0,711.0,649.4,24.0
24,613.0,711.0,649.4,25.0
25,613.0,711.0,649.4,26.0
26,613.0,711.0,649.4,27.0
27,613.0,711.0,649.4,28.0
28,613.0,711.0,649.4,29.0
29,613.0,711.0,649.4,30.0
30,613.0,711.0,649.4,31.0
31,613.0,711.0,649.4,32.0
32,613.0,711.0,649.4,33.0
33,613.0,711.0,649.4,34.0
34,613.0,711.0,649.4,35.0
35,613.0,711.0,649.4,36.0
36,613.0,711.0,649.4,37.0
37,613.0,711.0,649.4,38.0
38,613.0,711.0,649.4,39.0
39,613.0,711.0,649.4,40.0
40,613.0,711.0,649.4,41.0
41,613.0,711.0,649.4,42.0
42,613.0,711.0,649.4,43.0
43,613.0,711.0,649.4,44.0
44,613.0,711.0,649.4,45.0
45,613.0,711.0,649.4,46.0
46,613.0,711.0,649.4,47.0
47,613.0,711.0,649.4,48.0
48,613.0,711.0,649.4,49.0
49,613.0,711.0,649.4,50.0
50,613.0,711.0,649.4,51.0
51,613.0,711.0,649.4,52.0
52,613.0,711.0,649.4,53.0
53,613.0,711.0,649.4,54.0
54,613.0,711.0,649.4,55.0
55,613.0,711.0,649.4,56.0
56,613.0,711.0,649.4,57.0
57,613.0,711.0,649.4,58.0
58,613.0,711.0,649.4,59.0
59,613.0,711.0,649.4,60.0
