,min,max,ave,time
0,1161.0,1254.0,1206.45,1.0
1,1161.0,1254.0,1206.45,2.0
2,1161.0,1254.0,1206.45,3.0
3,1161.0,1254.0,1206.45,4.0
4,1161.0,1254.0,1206.45,5.0
5,1161.0,1254.0,1206.45,6.0
6,1161.0,1254.0,1206.45,7.0
7,1161.0,1254.0,1206.45,8.0
8,1161.0,1254.0,1206.45,9.0
9,1161.0,1254.0,1206.45,10.0
10,1161.0,1254.0,1206.45,11.0
11,1161.0,1254.0,1206.45,12.0
12,1161.0,1254.0,1206.45,13.0
13,1161.0,1254.0,1206.45,14.0
14,1161.0,1254.0,1206.45,15.0
15,1161.0,1254.0,1206.45,16.0
16,1161.0,1254.0,1206.45,17.0
17,1161.0,1254.0,1206.45,18.0
18,1161.0,1254.0,1206.45,19.0
19,1161.0,1254.0,1206.45,20.0
20,1161.0,1254.0,1206.45,21.0
21,1161.0,1254.0,1206.45,22.0
22,1161.0,1254.0,1206.45,23.0
23,1161.0,1254.0,1206.45,24.0
24,1161.0,1254.0,1206.45,25.0
25,1161.0,1254.0,1206.45,26.0
26,1161.0,1254.0,1206.45,27.0
27,1161.0,1254.0,1206.45,28.0
28,1161.0,1254.0,1206.45,29.0
29,1161.0,1254.0,1206.45,30.0
30,1161.0,1254.0,1206.45,31.0
31,1161.0,1254.0,1206.45,32.0
32,1161.0,1254.0,1206.45,33.0
33,1161.0,1254.0,1206.45,34.0
34,1161.0,1254.0,1206.45,35.0
35,1161.0,1254.0,1206.45,36.0
36,1161.0,1254.0,1206.45,37.0
37,1161.0,1254.0,1206.45,38.0
38,1161.0,1254.0,1206.45,39.0
39,1161.0,1254.0,1206.45,40.0
40,1161.0,1254.0,1206.45,41.0
41,1161.0,1254.0,1206.45,42.0
42,1161.0,1254.0,1206.45,43.0
43,1161.0,1254.0,1206.45,44.0
44,1161.0,1254.0,1206.45,45.0
45,1161.0,1254.0,1206.45,46.0
46,1161.0,1254.0,1206.45,47.0
47,1161.0,1254.0,1206.45,48.0
48,1161.0,1254.0,1206.45,49.0
49,1161.0,1254.0,1206.45,50.0
50,1161.0,1254.0,1206.45,51.0
51,1161.0,1254.0,1206.45,52.0
52,1161.0,1254.0,1206.45,53.0
53,1161.0,1254.0,1206.45,54.0
54,1161.0,1254.0,1206.45,55.0
55,1161.0,1254.0,1206.45,56.0
56,1161.0,1254.0,1206.45,57.0
57,1161.0,1254.0,1206.45,58.0
58,1161.0,1254.0,1206.45,59.0
59,1161.0,1254.0,1206.45,60.0
60,1161.0,1254.0,1206.45,61.0
61,1161.0,1254.0,1206.45,62.0
62,1161.0,1254.0,1206.45,63.0
63,1161.0,1254.0,1206.45,64.0
64,1162.0,1254.0,1207.1,65.0
65,1162.0,1254.0,1207.25,66.0
66,1162.0,1272.0,1212.8,67.0
67,1172.0,1272.0,1214.6,68.0
68,1172.0,1272.0,1215.6,69.0
69,1172.0,1272.0,1215.95,70.0
70,1172.0,1277.0,1218.75,71.0
71,1172.0,1277.0,1220.05,72.0
72,1179.0,1277.0,1221.8,73.0
73,1179.0,1286.0,1223.05,74.0
74,1179.0,1286.0,1224.2,75.0
75,1179.0,1286.0,1224.5,76.0
76,1179.0,1286.0,1226.3,77.0
77,1180.0,1288.0,1230.0,78.0
78,1180.0,1296.0,1230.75,79.0
79,1180.0,1296.0,1231.0,80.0
80,1180.0,1296.0,1231.1,81.0
81,1180.0,1296.0,1231.65,82.0
82,1180.0,1296.0,1233.35,83.0
83,1180.0,1309.0,1235.0,84.0
84,1180.0,1309.0,1235.1,85.0
85,1180.0,1309.0,1235.2,86.0
86,1180.0,1309.0,1236.75,87.0
87,1180.0,1309.0,1243.1,88.0
88,1182.0,1317.0,1244.75,89.0
89,1182.0,1317.0,1244.9,90.0
90,1182.0,1317.0,1245.5,91.0
91,1182.0,1317.0,1245.6,92.0
92,1182.0,1317.0,1249.95,93.0
93,1184.0,1324.0,1252.3,94.0
94,1184.0,1324.0,1253.35,95.0
95,1184.0,1324.0,1253.45,96.0
96,1184.0,1324.0,1254.1,97.0
97,1184.0,1324.0,1257.05,98.0
98,1186.0,1328.0,1258.65,99.0
99,1186.0,1328.0,1258.65,100.0
100,1186.0,1328.0,1258.7,101.0
101,1186.0,1328.0,1259.45,102.0
102,1186.0,1328.0,1261.25,103.0
103,1186.0,1328.0,1261.9,104.0
104,1186.0,1328.0,1263.8,105.0
105,1186.0,1328.0,1263.85,106.0
106,1186.0,1328.0,1264.0,107.0
107,1186.0,1330.0,1266.85,108.0
108,1193.0,1330.0,1268.65,109.0
109,1193.0,1330.0,1269.95,110.0
110,1193.0,1330.0,1270.0,111.0
111,1193.0,1330.0,1270.6,112.0
112,1193.0,1330.0,1271.8,113.0
113,1194.0,1330.0,1272.85,114.0
114,1194.0,1331.0,1273.25,115.0
115,1194.0,1331.0,1273.5,116.0
116,1194.0,1331.0,1273.9,117.0
117,1194.0,1331.0,1275.4,118.0
118,1197.0,1337.0,1277.1,119.0
119,1197.0,1337.0,1277.2,120.0
