,min,max,ave,time
0,1127.0,1219.0,1177.55,1.0
1,1127.0,1219.0,1177.55,2.0
2,1127.0,1219.0,1177.55,3.0
3,1127.0,1219.0,1177.55,4.0
4,1127.0,1219.0,1177.55,5.0
5,1127.0,1219.0,1177.55,6.0
6,1127.0,1219.0,1177.55,7.0
7,1127.0,1219.0,1177.55,8.0
8,1127.0,1219.0,1177.55,9.0
9,1127.0,1219.0,1177.55,10.0
10,1127.0,1219.0,1177.55,11.0
11,1127.0,1219.0,1177.55,12.0
12,1127.0,1219.0,1177.55,13.0
13,1127.0,1219.0,1177.55,14.0
14,1127.0,1219.0,1177.55,15.0
15,1127.0,1219.0,1177.55,16.0
16,1127.0,1219.0,1177.55,17.0
17,1127.0,1219.0,1177.55,18.0
18,1127.0,1219.0,1177.55,19.0
19,1127.0,1219.0,1177.55,20.0
20,1127.0,1219.0,1177.55,21.0
21,1127.0,1219.0,1177.55,22.0
22,1127.0,1219.0,1177.55,23.0
23,1127.0,1219.0,1177.55,24.0
24,1127.0,1219.0,1177.55,25.0
25,1127.0,1219.0,1177.55,26.0
26,1127.0,1219.0,1177.55,27.0
27,1127.0,1219.0,1177.55,28.0
28,1127.0,1219.0,1177.55,29.0
29,1127.0,1219.0,1177.55,30.0
30,1127.0,1219.0,1177.55,31.0
31,1127.0,1219.0,1177.55,32.0
32,1127.0,1219.0,1177.55,33.0
33,1127.0,1219.0,1177.55,34.0
34,1127.0,1219.0,1177.55,35.0
35,1127.0,1219.0,1177.55,36.0
36,1127.0,1219.0,1177.55,37.0
37,1127.0,1219.0,1177.55,38.0
38,1127.0,1219.0,1177.55,39.0
39,1127.0,1219.0,1177.55,40.0
40,1127.0,1219.0,1177.55,41.0
41,1127.0,1219.0,1177.55,42.0
42,1127.0,1219.0,1177.55,43.0
43,1127.0,1219.0,1177.55,44.0
44,1127.0,1219.0,1177.55,45.0
45,1127.0,1219.0,1177.55,46.0
46,1127.0,1219.0,1177.55,47.0
47,1127.0,1219.0,1177.55,48.0
48,1127.0,1219.0,1177.55,49.0
49,1127.0,1219.0,1177.55,50.0
50,1127.0,1219.0,1177.55,51.0
51,1127.0,1219.0,1177.55,52.0
52,1127.0,1219.0,1177.55,53.0
53,1127.0,1219.0,1177.55,54.0
54,1127.0,1219.0,1177.55,55.0
55,1127.0,1219.0,1177.55,56.0
56,1127.0,1219.0,1177.55,57.0
57,1127.0,1219.0,1177.55,58.0
58,1127.0,1219.0,1177.55,59.0
59,1127.0,1219.0,1177.55,60.0
60,1127.0,1219.0,1177.55,61.0
61,1127.0,1219.0,1177.55,62.0
62,1127.0,1219.0,1177.55,63.0
63,1127.0,1219.0,1177.55,64.0
64,1127.0,1219.0,1177.55,65.0
65,1127.0,1219.0,1180.3,66.0
66,1127.0,1219.0,1185.45,67.0
67,1128.0,1224.0,1186.25,68.0
68,1128.0,1224.0,1187.05,69.0
69,1128.0,1224.0,1187.05,70.0
70,1128.0,1225.0,1188.45,71.0
71,1128.0,1225.0,1189.75,72.0
72,1143.0,1227.0,1192.0,73.0
73,1151.0,1227.0,1194.8,74.0
74,1151.0,1227.0,1194.8,75.0
75,1151.0,1227.0,1194.85,76.0
76,1151.0,1228.0,1197.4,77.0
77,1151.0,1230.0,1198.05,78.0
78,1151.0,1230.0,1198.55,79.0
79,1151.0,1230.0,1198.55,80.0
80,1151.0,1230.0,1198.55,81.0
81,1151.0,1230.0,1201.35,82.0
82,1154.0,1231.0,1201.75,83.0
83,1154.0,1231.0,1202.05,84.0
84,1154.0,1231.0,1202.05,85.0
85,1154.0,1231.0,1202.05,86.0
86,1154.0,1237.0,1203.95,87.0
87,1154.0,1237.0,1204.65,88.0
88,1154.0,1237.0,1204.95,89.0
89,1154.0,1237.0,1204.95,90.0
90,1154.0,1237.0,1204.95,91.0
91,1154.0,1240.0,1205.95,92.0
