,min,max,ave,time
0,1156.0,1267.0,1196.55,1.0
1,1156.0,1267.0,1196.55,2.0
2,1156.0,1267.0,1196.55,3.0
3,1156.0,1267.0,1196.55,4.0
4,1156.0,1267.0,1196.55,5.0
5,1156.0,1267.0,1196.55,6.0
6,1156.0,1267.0,1196.55,7.0
7,1156.0,1267.0,1196.55,8.0
8,1156.0,1267.0,1196.55,9.0
9,1156.0,1267.0,1196.55,10.0
10,1156.0,1267.0,1196.55,11.0
11,1156.0,1267.0,1196.55,12.0
12,1156.0,1267.0,1196.55,13.0
13,1156.0,1267.0,1196.55,14.0
14,1156.0,1267.0,1196.55,15.0
15,1156.0,1267.0,1196.55,16.0
16,1156.0,1267.0,1196.55,17.0
17,1156.0,1267.0,1196.55,18.0
18,1156.0,1267.0,1196.55,19.0
19,1156.0,1267.0,1196.55,20.0
20,1156.0,1267.0,1196.55,21.0
21,1156.0,1267.0,1196.55,22.0
22,1156.0,1267.0,1196.55,23.0
23,1156.0,1267.0,1196.55,24.0
24,1156.0,1267.0,1196.55,25.0
25,1156.0,1267.0,1196.55,26.0
26,1156.0,1267.0,1196.55,27.0
27,1156.0,1267.0,1196.55,28.0
28,1156.0,1267.0,1196.55,29.0
29,1156.0,1267.0,1196.55,30.0
30,1156.0,1267.0,1196.55,31.0
31,1156.0,1267.0,1196.55,32.0
32,1156.0,1267.0,1196.55,33.0
33,1156.0,1267.0,1196.55,34.0
34,1156.0,1267.0,1196.55,35.0
35,1156.0,1267.0,1196.55,36.0
36,1156.0,1267.0,1196.55,37.0
37,1156.0,1267.0,1196.55,38.0
38,1156.0,1267.0,1196.55,39.0
39,1156.0,1267.0,1196.55,40.0
40,1156.0,1267.0,1196.55,41.0
41,1156.0,1267.0,1196.55,42.0
42,1156.0,1267.0,1196.55,43.0
43,1156.0,1267.0,1196.55,44.0
44,1156.0,1267.0,1196.55,45.0
45,1156.0,1267.0,1196.55,46.0
46,1156.0,1267.0,1196.55,47.0
47,1156.0,1267.0,1196.55,48.0
48,1156.0,1267.0,1196.55,49.0
49,1156.0,1267.0,1196.55,50.0
50,1156.0,1267.0,1196.55,51.0
51,1156.0,1267.0,1196.55,52.0
52,1156.0,1267.0,1196.55,53.0
53,1156.0,1267.0,1196.55,54.0
54,1156.0,1267.0,1196.55,55.0
55,1156.0,1267.0,1196.55,56.0
56,1156.0,1267.0,1196.55,57.0
57,1156.0,1267.0,1196.55,58.0
58,1156.0,1267.0,1196.55,59.0
59,1156.0,1267.0,1196.55,60.0
60,1156.0,1267.0,1196.55,61.0
61,1156.0,1267.0,1196.55,62.0
62,1156.0,1267.0,1196.55,63.0
63,1156.0,1267.0,1196.55,64.0
64,1156.0,1267.0,1197.95,65.0
65,1156.0,1267.0,1199.25,66.0
66,1156.0,1267.0,1199.75,67.0
67,1156.0,1270.0,1200.75,68.0
68,1156.0,1270.0,1202.6,69.0
69,1156.0,1270.0,1204.15,70.0
70,1156.0,1270.0,1205.0,71.0
71,1156.0,1270.0,1206.65,72.0
72,1156.0,1270.0,1207.65,73.0
73,1156.0,1270.0,1208.7,74.0
74,1156.0,1270.0,1208.75,75.0
75,1156.0,1297.0,1210.75,76.0
76,1156.0,1297.0,1211.55,77.0
77,1170.0,1297.0,1214.05,78.0
78,1170.0,1297.0,1214.85,79.0
79,1170.0,1297.0,1214.85,80.0
80,1170.0,1307.0,1215.45,81.0
81,1170.0,1307.0,1219.5,82.0
82,1170.0,1307.0,1220.55,83.0
83,1170.0,1307.0,1223.1,84.0
84,1170.0,1307.0,1223.3,85.0
85,1170.0,1316.0,1224.25,86.0
86,1170.0,1316.0,1225.4,87.0
87,1172.0,1316.0,1225.85,88.0
