,min,max,ave,time
0,903.0,1042.0,978.5,1.0
1,903.0,1042.0,978.5,2.0
2,903.0,1042.0,978.5,3.0
3,903.0,1042.0,978.5,4.0
4,903.0,1042.0,978.5,5.0
5,903.0,1042.0,978.5,6.0
6,903.0,1042.0,978.5,7.0
7,903.0,1042.0,978.5,8.0
8,903.0,1042.0,978.5,9.0
9,903.0,1042.0,978.5,10.0
10,903.0,1042.0,978.5,11.0
11,903.0,1042.0,978.5,12.0
12,903.0,1042.0,978.5,13.0
13,903.0,1042.0,978.5,14.0
14,903.0,1042.0,978.5,15.0
15,903.0,1042.0,978.5,16.0
16,903.0,1042.0,978.5,17.0
17,903.0,1042.0,978.5,18.0
18,903.0,1042.0,978.5,19.0
19,903.0,1042.0,978.5,20.0
20,903.0,1042.0,978.5,21.0
21,903.0,1042.0,978.5,22.0
22,903.0,1042.0,978.5,23.0
23,903.0,1042.0,978.5,24.0
24,903.0,1042.0,978.5,25.0
25,903.0,1042.0,978.5,26.0
26,903.0,1042.0,978.5,27.0
27,903.0,1042.0,978.5,28.0
28,903.0,1042.0,978.5,29.0
29,903.0,1042.0,978.5,30.0
30,903.0,1042.0,978.5,31.0
31,903.0,1042.0,978.5,32.0
32,903.0,1042.0,978.5,33.0
33,903.0,1042.0,978.5,34.0
34,903.0,1042.0,978.5,35.0
35,903.0,1042.0,978.5,36.0
36,903.0,1042.0,978.5,37.0
37,903.0,1042.0,978.5,38.0
38,903.0,1042.0,978.5,39.0
39,903.0,1042.0,978.5,40.0
40,903.0,1042.0,978.5,41.0
41,903.0,1042.0,978.5,42.0
42,903.0,1042.0,978.5,43.0
43,903.0,1042.0,978.5,44.0
44,903.0,1042.0,978.5,45.0
45,903.0,1042.0,978.5,46.0
46,903.0,1042.0,978.5,47.0
47,903.0,1042.0,978.5,48.0
48,903.0,1042.0,978.5,49.0
49,903.0,1042.0,978.5,50.0
50,903.0,1042.0,978.5,51.0
51,903.0,1042.0,978.5,52.0
52,903.0,1042.0,978.5,53.0
53,903.0,1042.0,978.5,54.0
54,903.0,1042.0,978.5,55.0
55,903.0,1042.0,978.5,56.0
56,903.0,1042.0,978.5,57.0
57,903.0,1042.0,978.5,58.0
58,903.0,1042.0,978.5,59.0
59,903.0,1042.0,978.5,60.0
60,903.0,1042.0,978.5,61.0
61,903.0,1042.0,978.5,62.0
62,903.0,1042.0,978.5,63.0
63,903.0,1042.0,978.5,64.0
64,920.0,1042.0,986.9,65.0
65,920.0,1057.0,994.15,66.0
66,920.0,1057.0,994.15,67.0
67,920.0,1057.0,994.15,68.0
68,920.0,1057.0,994.15,69.0
69,935.0,1059.0,1003.8,70.0
70,935.0,1065.0,1010.95,71.0
71,935.0,1065.0,1010.95,72.0
72,935.0,1065.0,1010.95,73.0
73,935.0,1065.0,1010.95,74.0
74,949.0,1065.0,1014.05,75.0
75,949.0,1082.0,1023.45,76.0
76,949.0,1082.0,1023.45,77.0
77,949.0,1082.0,1023.45,78.0
78,949.0,1082.0,1023.45,79.0
79,970.0,1082.0,1025.95,80.0
80,982.0,1095.0,1036.6,81.0
81,982.0,1095.0,1036.6,82.0
82,982.0,1095.0,1036.6,83.0
83,982.0,1095.0,1036.6,84.0
84,982.0,1095.0,1038.45,85.0
85,989.0,1109.0,1050.55,86.0
86,989.0,1109.0,1050.55,87.0
87,989.0,1109.0,1050.55,88.0
88,989.0,1109.0,1050.55,89.0
89,989.0,1109.0,1050.85,90.0
90,1008.0,1138.0,1063.55,91.0
91,1008.0,1138.0,1063.55,92.0
92,1008.0,1138.0,1063.55,93.0
93,1008.0,1138.0,1063.55,94.0
94,1008.0,1138.0,1063.75,95.0
95,1028.0,1153.0,1076.0,96.0
96,1028.0,1153.0,1076.0,97.0
97,1028.0,1153.0,1076.0,98.0
98,1028.0,1153.0,1076.0,99.0
99,1028.0,1153.0,1076.0,100.0
100,1040.0,1161.0,1087.65,101.0
101,1040.0,1161.0,1088.3,102.0
102,1040.0,1161.0,1088.3,103.0
103,1040.0,1161.0,1088.3,104.0
104,1040.0,1161.0,1088.3,105.0
105,1051.0,1177.0,1098.9,106.0
106,1051.0,1177.0,1101.65,107.0
107,1051.0,1177.0,1101.65,108.0
108,1051.0,1177.0,1101.65,109.0
109,1051.0,1177.0,1101.65,110.0
110,1059.0,1200.0,1108.85,111.0
111,1059.0,1200.0,1110.25,112.0
112,1059.0,1200.0,1110.25,113.0
113,1059.0,1200.0,1110.25,114.0
114,1059.0,1200.0,1110.25,115.0
115,1065.0,1205.0,1121.1,116.0
116,1065.0,1205.0,1123.1,117.0
117,1065.0,1205.0,1123.1,118.0
118,1065.0,1205.0,1123.1,119.0
119,1065.0,1205.0,1123.1,120.0
120,1070.0,1213.0,1128.55,121.0
121,1070.0,1213.0,1135.15,122.0
122,1070.0,1213.0,1135.15,123.0
123,1070.0,1213.0,1135.15,124.0
124,1070.0,1213.0,1135.15,125.0
125,1076.0,1220.0,1139.7,126.0
126,1076.0,1227.0,1145.35,127.0
127,1076.0,1227.0,1145.35,128.0
128,1076.0,1227.0,1145.35,129.0
129,1076.0,1227.0,1145.35,130.0
130,1078.0,1227.0,1148.45,131.0
131,1078.0,1270.0,1157.6,132.0
132,1078.0,1270.0,1157.6,133.0
133,1078.0,1270.0,1157.6,134.0
134,1078.0,1270.0,1157.6,135.0
135,1098.0,1270.0,1160.6,136.0
136,1099.0,1279.0,1166.65,137.0
137,1099.0,1279.0,1166.65,138.0
138,1099.0,1279.0,1166.65,139.0
139,1099.0,1279.0,1166.65,140.0
140,1099.0,1279.0,1169.7,141.0
141,1101.0,1283.0,1176.4,142.0
142,1101.0,1283.0,1176.4,143.0
143,1101.0,1283.0,1176.4,144.0
