,min,max,ave,time
0,884.0,1012.0,946.9,1.0
1,884.0,1012.0,946.9,2.0
2,884.0,1012.0,946.9,3.0
3,884.0,1012.0,946.9,4.0
4,884.0,1012.0,946.9,5.0
5,884.0,1012.0,946.9,6.0
6,884.0,1012.0,946.9,7.0
7,884.0,1012.0,946.9,8.0
8,884.0,1012.0,946.9,9.0
9,884.0,1012.0,946.9,10.0
10,884.0,1012.0,946.9,11.0
11,884.0,1012.0,946.9,12.0
12,884.0,1012.0,946.9,13.0
13,884.0,1012.0,946.9,14.0
14,884.0,1012.0,946.9,15.0
15,884.0,1012.0,946.9,16.0
16,884.0,1012.0,946.9,17.0
17,884.0,1012.0,946.9,18.0
18,884.0,1012.0,946.9,19.0
19,884.0,1012.0,946.9,20.0
20,884.0,1012.0,946.9,21.0
21,884.0,1012.0,946.9,22.0
22,884.0,1012.0,946.9,23.0
23,884.0,1012.0,946.9,24.0
24,884.0,1012.0,946.9,25.0
25,884.0,1012.0,946.9,26.0
26,884.0,1012.0,946.9,27.0
27,884.0,1012.0,946.9,28.0
28,884.0,1012.0,946.9,29.0
29,884.0,1012.0,946.9,30.0
30,884.0,1012.0,946.9,31.0
31,884.0,1012.0,946.9,32.0
32,884.0,1012.0,946.9,33.0
33,884.0,1012.0,946.9,34.0
34,884.0,1012.0,946.9,35.0
35,884.0,1012.0,946.9,36.0
36,884.0,1012.0,946.9,37.0
37,884.0,1012.0,946.9,38.0
38,884.0,1012.0,946.9,39.0
39,884.0,1012.0,946.9,40.0
40,884.0,1012.0,946.9,41.0
41,884.0,1012.0,946.9,42.0
42,884.0,1012.0,946.9,43.0
43,884.0,1012.0,946.9,44.0
44,884.0,1012.0,946.9,45.0
45,884.0,1012.0,946.9,46.0
46,884.0,1012.0,946.9,47.0
47,884.0,1012.0,946.9,48.0
48,884.0,1012.0,946.9,49.0
49,884.0,1012.0,946.9,50.0
50,884.0,1012.0,946.9,51.0
51,884.0,1012.0,946.9,52.0
52,884.0,1012.0,946.9,53.0
53,884.0,1012.0,946.9,54.0
54,884.0,1012.0,946.9,55.0
55,884.0,1012.0,946.9,56.0
56,884.0,1012.0,946.9,57.0
57,884.0,1012.0,946.9,58.0
58,884.0,1012.0,946.9,59.0
59,884.0,1012.0,946.9,60.0
60,884.0,1012.0,946.9,61.0
61,884.0,1012.0,946.9,62.0
62,884.0,1012.0,946.9,63.0
63,884.0,1012.0,946.9,64.0
64,884.0,1026.0,956.85,65.0
65,900.0,1032.0,964.7,66.0
66,900.0,1032.0,964.7,67.0
67,900.0,1032.0,964.7,68.0
68,900.0,1032.0,964.7,69.0
69,901.0,1032.0,971.9,70.0
70,909.0,1036.0,979.7,71.0
71,909.0,1036.0,979.7,72.0
72,909.0,1036.0,979.7,73.0
73,909.0,1036.0,979.7,74.0
74,909.0,1047.0,987.15,75.0
75,928.0,1047.0,996.6,76.0
76,928.0,1047.0,996.6,77.0
77,928.0,1047.0,996.6,78.0
78,928.0,1047.0,996.6,79.0
79,928.0,1059.0,1002.1,80.0
80,939.0,1059.0,1012.55,81.0
81,939.0,1059.0,1012.55,82.0
82,939.0,1059.0,1012.55,83.0
83,939.0,1059.0,1012.55,84.0
84,939.0,1069.0,1015.1,85.0
85,971.0,1069.0,1028.55,86.0
86,971.0,1069.0,1028.55,87.0
87,971.0,1069.0,1028.55,88.0
88,971.0,1069.0,1028.55,89.0
89,971.0,1070.0,1029.7,90.0
90,990.0,1080.0,1039.9,91.0
91,990.0,1080.0,1039.9,92.0
92,990.0,1080.0,1039.9,93.0
93,990.0,1080.0,1039.9,94.0
