,min,max,ave,time
0,927.0,1046.0,987.0,1.0
1,927.0,1046.0,987.0,2.0
2,927.0,1046.0,987.0,3.0
3,927.0,1046.0,987.0,4.0
4,927.0,1046.0,987.0,5.0
5,927.0,1046.0,987.0,6.0
6,927.0,1046.0,987.0,7.0
7,927.0,1046.0,987.0,8.0
8,927.0,1046.0,987.0,9.0
9,927.0,1046.0,987.0,10.0
10,927.0,1046.0,987.0,11.0
11,927.0,1046.0,987.0,12.0
12,927.0,1046.0,987.0,13.0
13,927.0,1046.0,987.0,14.0
14,927.0,1046.0,987.0,15.0
15,927.0,1046.0,987.0,16.0
16,927.0,1046.0,987.0,17.0
17,927.0,1046.0,987.0,18.0
18,927.0,1046.0,987.0,19.0
19,927.0,1046.0,987.0,20.0
20,927.0,1046.0,987.0,21.0
21,927.0,1046.0,987.0,22.0
22,927.0,1046.0,987.0,23.0
23,927.0,1046.0,987.0,24.0
24,927.0,1046.0,987.0,25.0
25,927.0,1046.0,987.0,26.0
26,927.0,1046.0,987.0,27.0
27,927.0,1046.0,987.0,28.0
28,927.0,1046.0,987.0,29.0
29,927.0,1046.0,987.0,30.0
30,927.0,1046.0,987.0,31.0
31,927.0,1046.0,987.0,32.0
32,927.0,1046.0,987.0,33.0
33,927.0,1046.0,987.0,34.0
34,927.0,1046.0,987.0,35.0
35,927.0,1046.0,987.0,36.0
36,927.0,1046.0,987.0,37.0
37,927.0,1046.0,987.0,38.0
38,927.0,1046.0,987.0,39.0
39,927.0,1046.0,987.0,40.0
40,927.0,1046.0,987.0,41.0
41,927.0,1046.0,987.0,42.0
42,927.0,1046.0,987.0,43.0
43,927.0,1046.0,987.0,44.0
44,927.0,1046.0,987.0,45.0
45,927.0,1046.0,987.0,46.0
46,927.0,1046.0,987.0,47.0
47,927.0,1046.0,987.0,48.0
48,927.0,1046.0,987.0,49.0
49,927.0,1046.0,987.0,50.0
50,927.0,1046.0,987.0,51.0
51,927.0,1046.0,987.0,52.0
52,927.0,1046.0,987.0,53.0
53,927.0,1046.0,987.0,54.0
54,927.0,1046.0,987.0,55.0
55,927.0,1046.0,987.0,56.0
56,927.0,1046.0,987.0,57.0
57,927.0,1046.0,987.0,58.0
58,927.0,1046.0,987.0,59.0
59,927.0,1046.0,987.0,60.0
60,927.0,1046.0,987.0,61.0
61,927.0,1046.0,987.0,62.0
62,927.0,1046.0,987.0,63.0
63,927.0,1046.0,987.0,64.0
64,927.0,1046.0,989.55,65.0
65,931.0,1065.0,1000.55,66.0
66,931.0,1065.0,1000.55,67.0
67,931.0,1065.0,1000.55,68.0
68,931.0,1065.0,1000.55,69.0
69,931.0,1065.0,1001.9,70.0
70,938.0,1079.0,1016.85,71.0
71,938.0,1079.0,1016.85,72.0
72,938.0,1079.0,1016.85,73.0
73,938.0,1079.0,1016.85,74.0
74,938.0,1079.0,1017.35,75.0
75,945.0,1096.0,1032.9,76.0
76,945.0,1096.0,1032.9,77.0
77,945.0,1096.0,1032.9,78.0
78,945.0,1096.0,1032.9,79.0
79,945.0,1096.0,1034.0,80.0
80,953.0,1116.0,1046.5,81.0
81,953.0,1116.0,1046.5,82.0
82,953.0,1116.0,1046.5,83.0
83,953.0,1116.0,1046.5,84.0
84,953.0,1116.0,1046.5,85.0
85,970.0,1126.0,1059.95,86.0
86,970.0,1126.0,1059.95,87.0
87,970.0,1126.0,1059.95,88.0
88,970.0,1126.0,1059.95,89.0
89,970.0,1126.0,1059.95,90.0
90,986.0,1140.0,1074.25,91.0
91,986.0,1140.0,1074.25,92.0
