,min,max,ave,time
0,387.0,387.0,387.0,1.0
1,387.0,387.0,387.0,2.0
2,387.0,387.0,387.0,3.0
3,387.0,387.0,387.0,4.0
4,387.0,387.0,387.0,5.0
5,387.0,387.0,387.0,6.0
6,387.0,387.0,387.0,7.0
7,387.0,387.0,387.0,8.0
8,387.0,387.0,387.0,9.0
9,389.0,389.0,389.0,10.0
10,389.0,389.0,389.0,11.0
11,389.0,389.0,389.0,12.0
12,389.0,389.0,389.0,13.0
13,389.0,389.0,389.0,14.0
14,389.0,389.0,389.0,15.0
15,389.0,389.0,389.0,16.0
16,389.0,389.0,389.0,17.0
17,389.0,389.0,389.0,18.0
18,389.0,389.0,389.0,19.0
19,389.0,389.0,389.0,20.0
20,389.0,389.0,389.0,21.0
21,389.0,389.0,389.0,22.0
22,389.0,389.0,389.0,23.0
23,389.0,389.0,389.0,24.0
24,389.0,389.0,389.0,25.0
25,389.0,389.0,389.0,26.0
26,389.0,389.0,389.0,27.0
27,389.0,389.0,389.0,28.0
28,389.0,389.0,389.0,29.0
29,389.0,401.0,394.85,30.0
30,389.0,401.0,394.85,31.0
31,389.0,401.0,394.85,32.0
32,389.0,401.0,394.85,33.0
33,389.0,401.0,394.85,34.0
34,399.0,403.0,400.1,35.0
35,399.0,403.0,400.1,36.0
36,399.0,403.0,400.1,37.0
37,399.0,403.0,400.1,38.0
38,399.0,403.0,400.1,39.0
39,399.0,405.0,400.9,40.0
40,399.0,405.0,400.9,41.0
41,399.0,405.0,400.9,42.0
42,399.0,405.0,400.9,43.0
43,399.0,405.0,400.9,44.0
44,399.0,405.0,401.2,45.0
45,399.0,405.0,401.2,46.0
46,399.0,405.0,401.2,47.0
47,399.0,405.0,401.2,48.0
48,399.0,405.0,401.2,49.0
49,399.0,405.0,401.5,50.0
50,399.0,405.0,401.7,51.0
51,399.0,405.0,401.7,52.0
52,399.0,405.0,401.7,53.0
53,399.0,405.0,401.7,54.0
54,399.0,405.0,401.9,55.0
55,399.0,406.0,402.25,56.0
56,399.0,406.0,402.25,57.0
57,399.0,406.0,402.25,58.0
58,399.0,406.0,402.25,59.0
59,399.0,406.0,402.5,60.0
60,399.0,406.0,402.6,61.0
61,399.0,406.0,402.6,62.0
62,399.0,406.0,402.6,63.0
63,399.0,406.0,402.6,64.0
64,399.0,406.0,402.7,65.0
65,401.0,406.0,402.95,66.0
66,401.0,406.0,402.95,67.0
67,401.0,406.0,402.95,68.0
68,401.0,406.0,402.95,69.0
69,401.0,406.0,403.2,70.0
70,401.0,410.0,404.15,71.0
71,401.0,410.0,404.15,72.0
72,401.0,410.0,404.15,73.0
73,401.0,410.0,404.15,74.0
74,401.0,410.0,404.4,75.0
75,401.0,410.0,405.3,76.0
76,401.0,410.0,405.3,77.0
77,401.0,410.0,405.3,78.0
78,401.0,410.0,405.3,79.0
79,401.0,410.0,405.3,80.0
80,401.0,410.0,405.95,81.0
81,401.0,410.0,405.95,82.0
82,401.0,410.0,405.95,83.0
83,401.0,410.0,405.95,84.0
84,401.0,410.0,405.95,85.0
85,401.0,410.0,406.4,86.0
86,401.0,410.0,406.4,87.0
87,401.0,410.0,406.4,88.0
88,401.0,410.0,406.4,89.0
89,401.0,410.0,406.4,90.0
90,401.0,410.0,406.65,91.0
91,401.0,410.0,406.65,92.0
92,401.0,410.0,406.65,93.0
93,401.0,410.0,406.65,94.0
94,401.0,410.0,406.65,95.0
95,401.0,410.0,406.95,96.0
96,401.0,410.0,406.95,97.0
97,401.0,410.0,406.95,98.0
98,401.0,410.0,406.95,99.0
99,401.0,410.0,406.95,100.0
100,401.0,410.0,407.0,101.0
101,401.0,410.0,407.0,102.0
102,401.0,410.0,407.0,103.0
103,401.0,410.0,407.0,104.0
