,min,max,ave,time
0,398.0,401.0,399.95,1.0
1,398.0,401.0,399.95,2.0
2,398.0,401.0,399.95,3.0
3,398.0,401.0,399.95,4.0
4,398.0,401.0,399.95,5.0
5,398.0,401.0,399.95,6.0
6,398.0,401.0,399.95,7.0
7,398.0,401.0,399.95,8.0
8,398.0,401.0,399.95,9.0
9,398.0,401.0,399.95,10.0
10,398.0,401.0,399.95,11.0
11,398.0,401.0,399.95,12.0
12,398.0,401.0,399.95,13.0
13,398.0,401.0,399.95,14.0
14,398.0,401.0,399.95,15.0
15,398.0,401.0,399.95,16.0
16,398.0,401.0,399.95,17.0
17,398.0,401.0,399.95,18.0
18,398.0,401.0,399.95,19.0
19,398.0,401.0,399.95,20.0
20,398.0,401.0,399.95,21.0
21,398.0,401.0,399.95,22.0
22,398.0,401.0,399.95,23.0
23,398.0,401.0,399.95,24.0
24,398.0,401.0,399.95,25.0
25,398.0,401.0,399.95,26.0
26,398.0,401.0,399.95,27.0
27,398.0,401.0,399.95,28.0
28,398.0,401.0,399.95,29.0
29,398.0,401.0,399.95,30.0
30,398.0,401.0,399.95,31.0
31,398.0,401.0,399.95,32.0
32,398.0,401.0,399.95,33.0
33,398.0,401.0,399.95,34.0
34,398.0,401.0,399.95,35.0
35,398.0,401.0,399.95,36.0
36,398.0,401.0,399.95,37.0
37,398.0,401.0,399.95,38.0
38,398.0,401.0,399.95,39.0
39,398.0,401.0,399.95,40.0
40,398.0,401.0,399.95,41.0
41,398.0,401.0,399.95,42.0
42,398.0,401.0,399.95,43.0
43,398.0,401.0,399.95,44.0
44,398.0,401.0,399.95,45.0
45,398.0,401.0,399.95,46.0
46,398.0,401.0,399.95,47.0
47,398.0,401.0,399.95,48.0
48,398.0,401.0,399.95,49.0
49,398.0,401.0,399.95,50.0
50,398.0,401.0,399.95,51.0
51,398.0,401.0,399.95,52.0
52,398.0,401.0,399.95,53.0
53,398.0,401.0,399.95,54.0
54,398.0,401.0,399.95,55.0
55,398.0,401.0,399.95,56.0
56,398.0,401.0,399.95,57.0
57,398.0,401.0,399.95,58.0
58,398.0,401.0,399.95,59.0
59,398.0,401.0,399.95,60.0
60,398.0,401.0,399.95,61.0
61,398.0,401.0,399.95,62.0
62,398.0,401.0,399.95,63.0
63,398.0,401.0,399.95,64.0
64,398.0,401.0,399.95,65.0
65,398.0,401.0,400.1,66.0
66,398.0,401.0,400.1,67.0
67,398.0,401.0,400.1,68.0
68,398.0,401.0,400.1,69.0
69,398.0,401.0,400.1,70.0
70,398.0,401.0,400.1,71.0
71,398.0,401.0,400.1,72.0
72,398.0,401.0,400.1,73.0
73,398.0,401.0,400.1,74.0
74,398.0,401.0,400.1,75.0
75,398.0,401.0,400.1,76.0
76,398.0,401.0,400.1,77.0
77,398.0,401.0,400.1,78.0
78,398.0,401.0,400.1,79.0
79,398.0,401.0,400.1,80.0
80,398.0,401.0,400.1,81.0
81,398.0,401.0,400.1,82.0
82,398.0,401.0,400.1,83.0
83,398.0,401.0,400.1,84.0
84,398.0,401.0,400.1,85.0
85,398.0,401.0,400.15,86.0
86,398.0,401.0,400.2,87.0
87,398.0,401.0,400.2,88.0
88,398.0,401.0,400.2,89.0
89,398.0,401.0,400.2,90.0
90,398.0,402.0,400.25,91.0
91,398.0,402.0,400.25,92.0
92,398.0,402.0,400.25,93.0
93,398.0,402.0,400.25,94.0
94,398.0,402.0,400.25,95.0
95,398.0,407.0,400.55,96.0
96,398.0,407.0,400.55,97.0
97,398.0,407.0,400.55,98.0
98,398.0,407.0,400.55,99.0
99,398.0,407.0,400.55,100.0
100,398.0,407.0,400.55,101.0
101,398.0,407.0,400.55,102.0
102,398.0,407.0,400.55,103.0
103,398.0,407.0,400.55,104.0
104,398.0,407.0,400.55,105.0
105,398.0,407.0,400.55,106.0
106,398.0,407.0,400.55,107.0
107,398.0,407.0,400.55,108.0
108,398.0,407.0,400.55,109.0
109,398.0,407.0,400.55,110.0
110,398.0,407.0,400.55,111.0
111,398.0,407.0,400.55,112.0
112,398.0,407.0,400.55,113.0
113,398.0,407.0,400.55,114.0
114,398.0,407.0,400.55,115.0
115,398.0,407.0,400.55,116.0
116,398.0,407.0,400.7,117.0
117,398.0,407.0,400.7,118.0
118,398.0,407.0,400.7,119.0
119,398.0,407.0,400.7,120.0
120,398.0,407.0,400.75,121.0
121,398.0,407.0,400.75,122.0
122,398.0,407.0,400.75,123.0
123,398.0,407.0,400.75,124.0
124,398.0,407.0,400.75,125.0
125,398.0,407.0,400.75,126.0
126,398.0,407.0,400.75,127.0
127,398.0,407.0,400.75,128.0
128,398.0,407.0,400.75,129.0
129,398.0,407.0,400.75,130.0
130,398.0,407.0,400.75,131.0
131,398.0,407.0,400.75,132.0
132,398.0,407.0,400.75,133.0
133,398.0,407.0,400.75,134.0
134,398.0,407.0,400.75,135.0
135,398.0,407.0,400.75,136.0
