,min,max,ave,time
0,398.0,405.0,400.45,1.0
1,398.0,405.0,400.45,2.0
2,398.0,405.0,400.45,3.0
3,398.0,405.0,400.45,4.0
4,398.0,405.0,400.45,5.0
5,398.0,405.0,400.45,6.0
6,398.0,405.0,400.45,7.0
7,398.0,405.0,400.45,8.0
8,398.0,405.0,400.45,9.0
9,398.0,405.0,400.45,10.0
10,398.0,405.0,400.45,11.0
11,398.0,405.0,400.45,12.0
12,398.0,405.0,400.45,13.0
13,398.0,405.0,400.45,14.0
14,398.0,405.0,400.45,15.0
15,398.0,405.0,400.45,16.0
16,398.0,405.0,400.45,17.0
17,398.0,405.0,400.45,18.0
18,398.0,405.0,400.45,19.0
19,398.0,405.0,400.45,20.0
20,398.0,405.0,400.45,21.0
21,398.0,405.0,400.45,22.0
22,398.0,405.0,400.45,23.0
23,398.0,405.0,400.45,24.0
24,398.0,405.0,400.45,25.0
25,398.0,405.0,400.45,26.0
26,398.0,405.0,400.45,27.0
27,398.0,405.0,400.45,28.0
28,398.0,405.0,400.45,29.0
29,398.0,405.0,400.45,30.0
30,398.0,405.0,400.45,31.0
31,398.0,405.0,400.45,32.0
32,398.0,405.0,400.45,33.0
33,398.0,405.0,400.45,34.0
34,398.0,405.0,400.45,35.0
35,398.0,405.0,400.45,36.0
36,398.0,405.0,400.45,37.0
37,398.0,405.0,400.45,38.0
38,398.0,405.0,400.45,39.0
39,398.0,405.0,400.45,40.0
40,398.0,405.0,400.45,41.0
41,398.0,405.0,400.45,42.0
42,398.0,405.0,400.45,43.0
43,398.0,405.0,400.45,44.0
44,398.0,405.0,400.45,45.0
45,398.0,405.0,400.45,46.0
46,398.0,405.0,400.45,47.0
47,398.0,405.0,400.45,48.0
48,398.0,405.0,400.45,49.0
49,398.0,405.0,400.45,50.0
50,398.0,405.0,400.45,51.0
51,398.0,405.0,400.45,52.0
52,398.0,405.0,400.45,53.0
53,398.0,405.0,400.45,54.0
54,398.0,405.0,400.45,55.0
55,398.0,405.0,400.45,56.0
56,398.0,405.0,400.45,57.0
57,398.0,405.0,400.45,58.0
58,398.0,405.0,400.45,59.0
59,398.0,405.0,400.45,60.0
60,398.0,405.0,400.45,61.0
61,398.0,405.0,400.45,62.0
62,398.0,405.0,400.45,63.0
63,398.0,405.0,400.45,64.0
64,398.0,405.0,400.5,65.0
65,398.0,405.0,400.6,66.0
66,398.0,405.0,400.6,67.0
67,398.0,405.0,400.6,68.0
68,398.0,405.0,400.6,69.0
69,398.0,405.0,400.6,70.0
70,398.0,405.0,400.75,71.0
71,398.0,405.0,400.75,72.0
72,398.0,405.0,400.75,73.0
73,398.0,405.0,400.75,74.0
74,398.0,405.0,400.75,75.0
75,398.0,405.0,400.75,76.0
76,398.0,405.0,400.75,77.0
77,398.0,405.0,400.75,78.0
78,398.0,405.0,400.75,79.0
79,398.0,405.0,400.75,80.0
80,398.0,405.0,400.85,81.0
81,398.0,405.0,400.85,82.0
82,398.0,405.0,400.85,83.0
83,398.0,405.0,400.85,84.0
84,398.0,405.0,400.85,85.0
85,398.0,406.0,400.9,86.0
86,398.0,406.0,401.0,87.0
87,398.0,406.0,401.0,88.0
88,398.0,406.0,401.0,89.0
89,398.0,406.0,401.0,90.0
90,398.0,406.0,401.0,91.0
91,398.0,406.0,401.0,92.0
92,398.0,406.0,401.0,93.0
93,398.0,406.0,401.0,94.0
94,398.0,406.0,401.0,95.0
95,398.0,406.0,401.05,96.0
96,398.0,406.0,401.05,97.0
97,398.0,406.0,401.05,98.0
98,398.0,406.0,401.05,99.0
99,398.0,406.0,401.05,100.0
100,398.0,406.0,401.1,101.0
101,398.0,406.0,401.1,102.0
102,398.0,406.0,401.1,103.0
103,398.0,406.0,401.1,104.0
104,398.0,406.0,401.1,105.0
105,398.0,406.0,401.2,106.0
106,398.0,406.0,401.2,107.0
107,398.0,406.0,401.2,108.0
108,398.0,406.0,401.2,109.0
109,398.0,406.0,401.2,110.0
110,398.0,406.0,401.2,111.0
111,398.0,406.0,401.2,112.0
112,398.0,406.0,401.2,113.0
113,398.0,406.0,401.2,114.0
114,398.0,406.0,401.2,115.0
115,398.0,406.0,401.2,116.0
116,398.0,406.0,401.2,117.0
117,398.0,406.0,401.2,118.0
118,398.0,406.0,401.2,119.0
119,398.0,406.0,401.2,120.0
120,398.0,406.0,401.2,121.0
121,398.0,406.0,401.2,122.0
122,398.0,406.0,401.2,123.0
123,398.0,406.0,401.2,124.0
124,398.0,406.0,401.2,125.0
125,398.0,406.0,401.2,126.0
126,398.0,406.0,401.25,127.0
127,398.0,406.0,401.25,128.0
128,398.0,406.0,401.25,129.0
129,398.0,406.0,401.25,130.0
130,398.0,406.0,401.25,131.0
131,398.0,406.0,401.25,132.0
132,398.0,406.0,401.3,133.0
133,398.0,406.0,401.3,134.0
134,398.0,406.0,401.3,135.0
135,398.0,406.0,401.3,136.0
136,398.0,406.0,401.3,137.0
137,398.0,406.0,401.3,138.0
138,398.0,406.0,401.3,139.0
139,398.0,406.0,401.3,140.0
140,398.0,406.0,401.3,141.0
141,398.0,406.0,401.3,142.0
142,398.0,406.0,401.3,143.0
143,398.0,406.0,401.3,144.0
144,398.0,406.0,401.3,145.0
145,398.0,406.0,401.3,146.0
146,398.0,406.0,401.4,147.0
147,398.0,406.0,401.4,148.0
148,398.0,406.0,401.4,149.0
149,398.0,406.0,401.4,150.0
150,398.0,406.0,401.4,151.0
151,398.0,406.0,401.4,152.0
152,398.0,406.0,401.4,153.0
153,398.0,406.0,401.4,154.0
154,398.0,406.0,401.4,155.0
155,398.0,406.0,401.4,156.0
156,398.0,406.0,401.4,157.0
157,398.0,406.0,401.4,158.0
158,398.0,406.0,401.4,159.0
159,398.0,406.0,401.4,160.0
160,398.0,406.0,401.4,161.0
161,398.0,406.0,401.45,162.0
162,398.0,406.0,401.45,163.0
163,398.0,406.0,401.45,164.0
164,398.0,406.0,401.45,165.0
