,min,max,ave,time
0,544.0,872.0,658.05,1.0
1,544.0,872.0,658.05,2.0
2,544.0,872.0,658.05,3.0
3,544.0,872.0,658.05,4.0
4,544.0,872.0,658.05,5.0
5,544.0,872.0,658.05,6.0
6,544.0,872.0,658.05,7.0
7,544.0,872.0,658.05,8.0
8,544.0,872.0,658.05,9.0
9,544.0,872.0,658.05,10.0
10,544.0,872.0,658.05,11.0
11,544.0,872.0,658.05,12.0
12,544.0,872.0,658.05,13.0
13,544.0,872.0,658.05,14.0
14,544.0,872.0,658.05,15.0
15,544.0,872.0,658.05,16.0
16,544.0,872.0,658.05,17.0
17,544.0,872.0,658.05,18.0
18,544.0,872.0,658.05,19.0
19,544.0,872.0,658.05,20.0
20,544.0,872.0,658.05,21.0
21,544.0,872.0,658.05,22.0
22,544.0,872.0,658.05,23.0
23,544.0,872.0,658.05,24.0
24,544.0,872.0,658.05,25.0
25,544.0,872.0,658.05,26.0
26,544.0,872.0,658.05,27.0
27,544.0,872.0,658.05,28.0
28,544.0,872.0,658.05,29.0
29,544.0,872.0,658.05,30.0
30,544.0,872.0,658.05,31.0
31,544.0,872.0,658.05,32.0
32,544.0,872.0,658.05,33.0
33,544.0,872.0,658.05,34.0
34,544.0,872.0,658.05,35.0
35,544.0,872.0,658.05,36.0
36,544.0,872.0,658.05,37.0
37,544.0,872.0,658.05,38.0
38,544.0,872.0,658.05,39.0
39,544.0,872.0,658.05,40.0
40,544.0,872.0,658.05,41.0
41,544.0,872.0,658.05,42.0
42,544.0,872.0,658.05,43.0
43,544.0,872.0,658.05,44.0
44,544.0,872.0,658.05,45.0
45,544.0,872.0,658.05,46.0
46,544.0,872.0,658.05,47.0
47,544.0,872.0,658.05,48.0
48,544.0,872.0,658.05,49.0
49,544.0,872.0,658.05,50.0
50,544.0,872.0,658.05,51.0
51,544.0,872.0,658.05,52.0
52,544.0,872.0,658.05,53.0
53,544.0,872.0,658.05,54.0
54,544.0,872.0,658.05,55.0
55,544.0,872.0,658.05,56.0
56,544.0,872.0,658.05,57.0
57,544.0,872.0,658.05,58.0
58,544.0,872.0,658.05,59.0
59,544.0,872.0,658.05,60.0
60,544.0,872.0,658.05,61.0
61,544.0,872.0,658.05,62.0
62,544.0,872.0,658.05,63.0
63,544.0,872.0,658.05,64.0
64,544.0,875.0,664.1,65.0
65,556.0,875.0,687.35,66.0
66,556.0,875.0,687.35,67.0
67,556.0,875.0,687.35,68.0
68,556.0,875.0,687.35,69.0
69,556.0,877.0,693.9,70.0
70,578.0,892.0,712.25,71.0
71,578.0,892.0,712.25,72.0
72,578.0,892.0,712.25,73.0
73,578.0,892.0,712.25,74.0
74,578.0,892.0,713.7,75.0
75,591.0,901.0,726.7,76.0
76,591.0,901.0,726.7,77.0
77,591.0,901.0,726.7,78.0
78,591.0,901.0,726.7,79.0
79,591.0,901.0,728.95,80.0
80,594.0,909.0,746.75,81.0
81,594.0,909.0,746.75,82.0
82,594.0,909.0,746.75,83.0
83,594.0,909.0,746.75,84.0
84,594.0,909.0,747.65,85.0
85,615.0,924.0,764.55,86.0
