,min,max,ave,time
0,361.0,395.0,365.95,1.0
1,361.0,395.0,365.95,2.0
2,361.0,395.0,365.95,3.0
3,361.0,395.0,365.95,4.0
4,361.0,395.0,365.95,5.0
5,361.0,395.0,365.95,6.0
6,361.0,395.0,365.95,7.0
7,361.0,395.0,365.95,8.0
8,361.0,395.0,365.95,9.0
9,425.0,425.0,425.0,10.0
10,425.0,425.0,425.0,11.0
11,425.0,425.0,425.0,12.0
12,425.0,425.0,425.0,13.0
13,425.0,425.0,425.0,14.0
14,425.0,439.0,431.4,15.0
15,425.0,439.0,431.4,16.0
16,425.0,439.0,431.4,17.0
17,425.0,439.0,431.4,18.0
18,425.0,439.0,431.4,19.0
19,439.0,472.0,454.25,20.0
20,439.0,472.0,454.25,21.0
21,439.0,472.0,454.25,22.0
22,439.0,472.0,454.25,23.0
23,439.0,472.0,454.25,24.0
24,453.0,497.0,472.6,25.0
25,453.0,497.0,472.6,26.0
26,453.0,497.0,472.6,27.0
27,453.0,497.0,472.6,28.0
28,453.0,497.0,472.6,29.0
29,466.0,501.0,479.85,30.0
30,466.0,501.0,479.85,31.0
31,466.0,501.0,479.85,32.0
32,466.0,501.0,479.85,33.0
33,466.0,501.0,479.85,34.0
34,471.0,509.0,485.95,35.0
35,471.0,509.0,485.95,36.0
36,471.0,509.0,485.95,37.0
37,471.0,509.0,485.95,38.0
38,471.0,509.0,485.95,39.0
39,480.0,518.0,490.9,40.0
40,480.0,518.0,490.9,41.0
41,480.0,518.0,490.9,42.0
42,480.0,518.0,490.9,43.0
43,480.0,518.0,490.9,44.0
44,480.0,529.0,494.35,45.0
45,480.0,529.0,495.1,46.0
46,480.0,529.0,495.1,47.0
47,480.0,529.0,495.1,48.0
48,480.0,529.0,495.1,49.0
49,480.0,531.0,495.2,50.0
50,480.0,531.0,495.3,51.0
51,480.0,531.0,495.3,52.0
52,480.0,531.0,495.3,53.0
53,480.0,531.0,495.3,54.0
54,481.0,532.0,496.75,55.0
55,483.0,532.0,498.5,56.0
56,483.0,532.0,498.5,57.0
57,483.0,532.0,498.5,58.0
58,483.0,532.0,498.5,59.0
59,483.0,537.0,501.25,60.0
60,486.0,537.0,504.35,61.0
