,min,max,ave,time
0,558.0,758.0,639.85,1.0
1,558.0,758.0,639.85,2.0
2,558.0,758.0,639.85,3.0
3,558.0,758.0,639.85,4.0
4,558.0,758.0,639.85,5.0
5,558.0,758.0,639.85,6.0
6,558.0,758.0,639.85,7.0
7,558.0,758.0,639.85,8.0
8,558.0,758.0,639.85,9.0
9,558.0,758.0,639.85,10.0
10,558.0,758.0,639.85,11.0
11,558.0,758.0,639.85,12.0
12,558.0,758.0,639.85,13.0
13,558.0,758.0,639.85,14.0
14,558.0,758.0,639.85,15.0
15,558.0,758.0,639.85,16.0
16,558.0,758.0,639.85,17.0
17,558.0,758.0,639.85,18.0
18,558.0,758.0,639.85,19.0
19,558.0,758.0,639.85,20.0
20,558.0,758.0,639.85,21.0
21,558.0,758.0,639.85,22.0
22,558.0,758.0,639.85,23.0
23,558.0,758.0,639.85,24.0
24,558.0,758.0,639.85,25.0
25,558.0,758.0,639.85,26.0
26,558.0,758.0,639.85,27.0
27,558.0,758.0,639.85,28.0
28,558.0,758.0,639.85,29.0
29,558.0,758.0,639.85,30.0
30,558.0,758.0,639.85,31.0
31,558.0,758.0,639.85,32.0
32,558.0,758.0,639.85,33.0
33,558.0,758.0,639.85,34.0
34,558.0,758.0,639.85,35.0
35,558.0,758.0,639.85,36.0
36,558.0,758.0,639.85,37.0
37,558.0,758.0,639.85,38.0
38,558.0,758.0,639.85,39.0
39,558.0,758.0,639.85,40.0
40,558.0,758.0,639.85,41.0
41,558.0,758.0,639.85,42.0
42,558.0,758.0,639.85,43.0
43,558.0,758.0,639.85,44.0
44,558.0,758.0,639.85,45.0
45,558.0,758.0,639.85,46.0
46,558.0,758.0,639.85,47.0
47,558.0,758.0,639.85,48.0
48,558.0,758.0,639.85,49.0
49,558.0,758.0,639.85,50.0
50,558.0,758.0,639.85,51.0
51,558.0,758.0,639.85,52.0
52,558.0,758.0,639.85,53.0
53,558.0,758.0,639.85,54.0
54,558.0,758.0,639.85,55.0
55,558.0,758.0,639.85,56.0
56,558.0,758.0,639.85,57.0
57,558.0,758.0,639.85,58.0
58,558.0,758.0,639.85,59.0
59,558.0,758.0,639.85,60.0
60,558.0,758.0,639.85,61.0
61,558.0,758.0,639.85,62.0
62,558.0,758.0,639.85,63.0
63,558.0,758.0,639.85,64.0
64,561.0,809.0,651.1,65.0
65,563.0,809.0,652.7,66.0
66,563.0,809.0,652.7,67.0
67,563.0,809.0,652.7,68.0
68,563.0,809.0,652.7,69.0
69,563.0,846.0,661.85,70.0
70,569.0,846.0,671.7,71.0
71,569.0,846.0,671.7,72.0
72,569.0,846.0,671.7,73.0
73,569.0,846.0,671.7,74.0
74,569.0,872.0,675.85,75.0
75,580.0,872.0,690.5,76.0
76,580.0,872.0,690.5,77.0
77,580.0,872.0,690.5,78.0
78,580.0,872.0,690.5,79.0
79,580.0,872.0,691.8,80.0
80,598.0,889.0,705.35,81.0
81,598.0,889.0,705.35,82.0
82,598.0,889.0,705.35,83.0
83,598.0,889.0,705.35,84.0
84,598.0,889.0,706.5,85.0
85,619.0,895.0,717.0,86.0
86,619.0,895.0,717.0,87.0
87,619.0,895.0,717.0,88.0
88,619.0,895.0,717.0,89.0
89,619.0,895.0,717.4,90.0
90,627.0,904.0,735.3,91.0
91,627.0,904.0,735.3,92.0
92,627.0,904.0,735.3,93.0
93,627.0,904.0,735.3,94.0
94,627.0,904.0,735.3,95.0
95,643.0,904.0,756.85,96.0
96,643.0,904.0,756.85,97.0
97,643.0,904.0,756.85,98.0
98,643.0,904.0,756.85,99.0
99,643.0,904.0,756.85,100.0
100,656.0,921.0,771.8,101.0
101,656.0,921.0,772.75,102.0
102,656.0,921.0,772.75,103.0
103,656.0,921.0,772.75,104.0
104,656.0,921.0,772.75,105.0
105,659.0,941.0,780.6,106.0
106,659.0,941.0,781.6,107.0
107,659.0,941.0,781.6,108.0
108,659.0,941.0,781.6,109.0
109,659.0,941.0,781.6,110.0
110,663.0,977.0,789.55,111.0
111,663.0,977.0,797.45,112.0
112,663.0,977.0,797.45,113.0
113,663.0,977.0,797.45,114.0
114,663.0,977.0,797.45,115.0
115,663.0,1001.0,811.25,116.0
116,667.0,1013.0,816.9,117.0
117,667.0,1013.0,816.9,118.0
118,667.0,1013.0,816.9,119.0
119,667.0,1013.0,816.9,120.0
120,667.0,1024.0,832.85,121.0
121,669.0,1035.0,835.65,122.0
122,669.0,1035.0,835.65,123.0
123,669.0,1035.0,835.65,124.0
124,669.0,1035.0,835.65,125.0
125,669.0,1061.0,847.75,126.0
126,681.0,1061.0,852.7,127.0
127,681.0,1061.0,852.7,128.0
128,681.0,1061.0,852.7,129.0
129,681.0,1061.0,852.7,130.0
130,681.0,1061.0,858.65,131.0
131,694.0,1086.0,862.3,132.0
132,694.0,1086.0,862.3,133.0
133,694.0,1086.0,862.3,134.0
134,694.0,1086.0,862.3,135.0
135,694.0,1086.0,863.7,136.0
136,697.0,1099.0,869.9,137.0
137,697.0,1099.0,869.9,138.0
138,697.0,1099.0,869.9,139.0
139,697.0,1099.0,869.9,140.0
140,697.0,1099.0,871.15,141.0
141,697.0,1117.0,883.55,142.0
