,min,max,ave,time
0,570.0,856.0,657.4,1.0
1,570.0,856.0,657.4,2.0
2,570.0,856.0,657.4,3.0
3,570.0,856.0,657.4,4.0
4,570.0,856.0,657.4,5.0
5,570.0,856.0,657.4,6.0
6,570.0,856.0,657.4,7.0
7,570.0,856.0,657.4,8.0
8,570.0,856.0,657.4,9.0
9,570.0,856.0,657.4,10.0
10,570.0,856.0,657.4,11.0
11,570.0,856.0,657.4,12.0
12,570.0,856.0,657.4,13.0
13,570.0,856.0,657.4,14.0
14,570.0,856.0,657.4,15.0
15,570.0,856.0,657.4,16.0
16,570.0,856.0,657.4,17.0
17,570.0,856.0,657.4,18.0
18,570.0,856.0,657.4,19.0
19,570.0,856.0,657.4,20.0
20,570.0,856.0,657.4,21.0
21,570.0,856.0,657.4,22.0
22,570.0,856.0,657.4,23.0
23,570.0,856.0,657.4,24.0
24,570.0,856.0,657.4,25.0
25,570.0,856.0,657.4,26.0
26,570.0,856.0,657.4,27.0
27,570.0,856.0,657.4,28.0
28,570.0,856.0,657.4,29.0
29,570.0,856.0,657.4,30.0
30,570.0,856.0,657.4,31.0
31,570.0,856.0,657.4,32.0
32,570.0,856.0,657.4,33.0
33,570.0,856.0,657.4,34.0
34,570.0,856.0,657.4,35.0
35,570.0,856.0,657.4,36.0
36,570.0,856.0,657.4,37.0
37,570.0,856.0,657.4,38.0
38,570.0,856.0,657.4,39.0
39,570.0,856.0,657.4,40.0
40,570.0,856.0,657.4,41.0
41,570.0,856.0,657.4,42.0
42,570.0,856.0,657.4,43.0
43,570.0,856.0,657.4,44.0
44,570.0,856.0,657.4,45.0
45,570.0,856.0,657.4,46.0
46,570.0,856.0,657.4,47.0
47,570.0,856.0,657.4,48.0
48,570.0,856.0,657.4,49.0
49,570.0,856.0,657.4,50.0
50,570.0,856.0,657.4,51.0
51,570.0,856.0,657.4,52.0
52,570.0,856.0,657.4,53.0
53,570.0,856.0,657.4,54.0
54,570.0,856.0,657.4,55.0
55,570.0,856.0,657.4,56.0
56,570.0,856.0,657.4,57.0
57,570.0,856.0,657.4,58.0
58,570.0,856.0,657.4,59.0
59,570.0,856.0,657.4,60.0
