,min,max,ave,time
0,1702.0,1775.0,1744.2,1.0
1,1702.0,1775.0,1744.2,2.0
2,1702.0,1775.0,1744.2,3.0
3,1702.0,1775.0,1744.2,4.0
4,1702.0,1775.0,1744.2,5.0
5,1702.0,1775.0,1744.2,6.0
6,1702.0,1775.0,1744.2,7.0
7,1702.0,1775.0,1744.2,8.0
8,1702.0,1775.0,1744.2,9.0
9,1702.0,1775.0,1744.2,10.0
10,1702.0,1775.0,1744.2,11.0
11,1702.0,1775.0,1744.2,12.0
12,1702.0,1775.0,1744.2,13.0
13,1702.0,1775.0,1744.2,14.0
14,1702.0,1775.0,1744.2,15.0
15,1702.0,1775.0,1744.2,16.0
16,1702.0,1775.0,1744.2,17.0
17,1702.0,1775.0,1744.2,18.0
18,1702.0,1775.0,1744.2,19.0
19,1702.0,1775.0,1744.2,20.0
20,1702.0,1775.0,1744.2,21.0
21,1702.0,1775.0,1744.2,22.0
22,1702.0,1775.0,1744.2,23.0
23,1702.0,1775.0,1744.2,24.0
24,1702.0,1775.0,1744.2,25.0
25,1702.0,1775.0,1744.2,26.0
26,1702.0,1775.0,1744.2,27.0
27,1702.0,1775.0,1744.2,28.0
28,1702.0,1775.0,1744.2,29.0
29,1702.0,1775.0,1744.2,30.0
30,1702.0,1775.0,1744.2,31.0
31,1702.0,1775.0,1744.2,32.0
32,1702.0,1775.0,1744.2,33.0
33,1702.0,1775.0,1744.2,34.0
34,1702.0,1775.0,1744.2,35.0
35,1702.0,1775.0,1744.2,36.0
36,1702.0,1775.0,1744.2,37.0
37,1702.0,1775.0,1744.2,38.0
38,1702.0,1775.0,1744.2,39.0
39,1702.0,1775.0,1744.2,40.0
40,1702.0,1775.0,1744.2,41.0
41,1702.0,1775.0,1744.2,42.0
42,1702.0,1775.0,1744.2,43.0
43,1702.0,1775.0,1744.2,44.0
44,1702.0,1775.0,1744.2,45.0
45,1702.0,1775.0,1744.2,46.0
46,1702.0,1775.0,1744.2,47.0
47,1702.0,1775.0,1744.2,48.0
48,1702.0,1775.0,1744.2,49.0
49,1702.0,1775.0,1744.2,50.0
50,1702.0,1775.0,1744.2,51.0
51,1702.0,1775.0,1744.2,52.0
52,1702.0,1775.0,1744.2,53.0
53,1702.0,1775.0,1744.2,54.0
54,1702.0,1775.0,1744.2,55.0
55,1702.0,1775.0,1744.2,56.0
56,1702.0,1775.0,1744.2,57.0
57,1702.0,1775.0,1744.2,58.0
58,1702.0,1775.0,1744.2,59.0
59,1702.0,1775.0,1744.2,60.0
60,1702.0,1775.0,1744.2,61.0
61,1702.0,1775.0,1744.2,62.0
62,1702.0,1775.0,1744.2,63.0
63,1702.0,1775.0,1744.2,64.0
64,1705.0,1779.0,1747.8,65.0
65,1705.0,1779.0,1749.65,66.0
66,1705.0,1779.0,1749.65,67.0
67,1705.0,1779.0,1749.65,68.0
68,1705.0,1779.0,1749.65,69.0
69,1712.0,1779.0,1751.4,70.0
70,1712.0,1779.0,1753.1,71.0
71,1712.0,1779.0,1753.1,72.0
72,1712.0,1779.0,1753.1,73.0
73,1712.0,1779.0,1753.1,74.0
74,1712.0,1780.0,1753.75,75.0
75,1712.0,1788.0,1756.4,76.0
76,1712.0,1788.0,1756.4,77.0
77,1712.0,1788.0,1756.4,78.0
78,1712.0,1788.0,1756.4,79.0
79,1712.0,1788.0,1757.35,80.0
80,1720.0,1792.0,1760.15,81.0
81,1720.0,1792.0,1760.15,82.0
82,1720.0,1792.0,1760.15,83.0
83,1720.0,1792.0,1760.15,84.0
84,1720.0,1792.0,1760.45,85.0
85,1720.0,1803.0,1766.85,86.0
86,1720.0,1803.0,1766.85,87.0
87,1720.0,1803.0,1766.85,88.0
88,1720.0,1803.0,1766.85,89.0
89,1720.0,1803.0,1766.95,90.0
90,1724.0,1806.0,1770.45,91.0
91,1724.0,1806.0,1770.45,92.0
92,1724.0,1806.0,1770.45,93.0
93,1724.0,1806.0,1770.45,94.0
94,1724.0,1806.0,1770.5,95.0
95,1729.0,1806.0,1773.8,96.0
96,1729.0,1806.0,1773.85,97.0
97,1729.0,1806.0,1773.85,98.0
98,1729.0,1806.0,1773.85,99.0
99,1729.0,1806.0,1773.85,100.0
100,1735.0,1814.0,1778.1,101.0
101,1735.0,1814.0,1778.25,102.0
102,1735.0,1814.0,1778.25,103.0
103,1735.0,1814.0,1778.25,104.0
104,1735.0,1814.0,1778.25,105.0
105,1752.0,1816.0,1781.3,106.0
106,1752.0,1818.0,1782.65,107.0
107,1752.0,1818.0,1782.65,108.0
108,1752.0,1818.0,1782.65,109.0
109,1752.0,1818.0,1782.65,110.0
110,1754.0,1818.0,1784.95,111.0
111,1754.0,1819.0,1785.05,112.0
112,1754.0,1819.0,1785.05,113.0
113,1754.0,1819.0,1785.05,114.0
114,1754.0,1819.0,1785.05,115.0
115,1754.0,1821.0,1788.4,116.0
116,1757.0,1823.0,1788.95,117.0
117,1757.0,1823.0,1788.95,118.0
118,1757.0,1823.0,1788.95,119.0
119,1757.0,1823.0,1788.95,120.0
120,1757.0,1828.0,1791.95,121.0
121,1759.0,1828.0,1792.95,122.0
122,1759.0,1828.0,1792.95,123.0
123,1759.0,1828.0,1792.95,124.0
124,1759.0,1828.0,1792.95,125.0
125,1759.0,1829.0,1796.75,126.0
126,1764.0,1829.0,1797.95,127.0
127,1764.0,1829.0,1797.95,128.0
128,1764.0,1829.0,1797.95,129.0
129,1764.0,1829.0,1797.95,130.0
130,1764.0,1829.0,1799.45,131.0
131,1771.0,1829.0,1800.45,132.0
132,1771.0,1829.0,1800.5,133.0
