,min,max,ave,time
0,1452.0,1540.0,1484.6,1.0
1,1452.0,1540.0,1484.6,2.0
2,1452.0,1540.0,1484.6,3.0
3,1452.0,1540.0,1484.6,4.0
4,1452.0,1540.0,1484.6,5.0
5,1452.0,1540.0,1484.6,6.0
6,1452.0,1540.0,1484.6,7.0
7,1452.0,1540.0,1484.6,8.0
8,1452.0,1540.0,1484.6,9.0
9,1508.0,1594.0,1546.65,10.0
10,1508.0,1594.0,1546.65,11.0
11,1508.0,1594.0,1546.65,12.0
12,1508.0,1594.0,1546.65,13.0
13,1508.0,1594.0,1546.65,14.0
14,1533.0,1616.0,1585.25,15.0
15,1533.0,1616.0,1585.25,16.0
16,1533.0,1616.0,1585.25,17.0
17,1533.0,1616.0,1585.25,18.0
18,1533.0,1616.0,1585.25,19.0
19,1578.0,1647.0,1613.9,20.0
20,1578.0,1647.0,1613.9,21.0
21,1578.0,1647.0,1613.9,22.0
22,1578.0,1647.0,1613.9,23.0
23,1578.0,1647.0,1613.9,24.0
24,1596.0,1663.0,1628.5,25.0
25,1596.0,1663.0,1628.5,26.0
26,1596.0,1663.0,1628.5,27.0
27,1596.0,1663.0,1628.5,28.0
28,1596.0,1663.0,1628.5,29.0
29,1606.0,1671.0,1642.6,30.0
30,1606.0,1671.0,1642.6,31.0
31,1606.0,1671.0,1642.6,32.0
32,1606.0,1671.0,1642.6,33.0
33,1606.0,1671.0,1642.6,34.0
34,1615.0,1682.0,1650.75,35.0
35,1615.0,1682.0,1651.15,36.0
36,1615.0,1682.0,1651.15,37.0
37,1615.0,1682.0,1651.15,38.0
38,1615.0,1682.0,1651.15,39.0
39,1629.0,1686.0,1661.0,40.0
40,1629.0,1686.0,1662.65,41.0
41,1629.0,1686.0,1662.65,42.0
42,1629.0,1686.0,1662.65,43.0
43,1629.0,1686.0,1662.65,44.0
44,1632.0,1690.0,1669.6,45.0
45,1632.0,1690.0,1670.65,46.0
46,1632.0,1690.0,1670.65,47.0
47,1632.0,1690.0,1670.65,48.0
48,1632.0,1690.0,1670.65,49.0
49,1633.0,1712.0,1680.95,50.0
50,1633.0,1728.0,1686.35,51.0
51,1633.0,1728.0,1686.35,52.0
52,1633.0,1728.0,1686.35,53.0
53,1633.0,1728.0,1686.35,54.0
54,1635.0,1728.0,1692.15,55.0
55,1635.0,1734.0,1694.7,56.0
56,1635.0,1734.0,1694.7,57.0
57,1635.0,1734.0,1694.7,58.0
58,1635.0,1734.0,1694.7,59.0
59,1637.0,1734.0,1698.8,60.0
60,1637.0,1740.0,1701.7,61.0
61,1637.0,1740.0,1701.7,62.0
62,1637.0,1740.0,1701.7,63.0
63,1637.0,1740.0,1701.7,64.0
64,1637.0,1740.0,1703.45,65.0
65,1637.0,1746.0,1705.85,66.0
66,1637.0,1746.0,1705.85,67.0
67,1637.0,1746.0,1705.85,68.0
68,1637.0,1746.0,1705.85,69.0
69,1637.0,1746.0,1706.3,70.0
70,1637.0,1751.0,1710.25,71.0
71,1637.0,1751.0,1710.25,72.0
72,1637.0,1751.0,1710.25,73.0
73,1637.0,1751.0,1710.25,74.0
74,1637.0,1751.0,1711.05,75.0
75,1640.0,1755.0,1712.3,76.0
76,1640.0,1755.0,1712.3,77.0
77,1640.0,1755.0,1712.3,78.0
78,1640.0,1755.0,1712.3,79.0
79,1640.0,1755.0,1712.7,80.0
80,1640.0,1757.0,1716.0,81.0
81,1640.0,1757.0,1716.15,82.0
82,1640.0,1757.0,1716.15,83.0
83,1640.0,1757.0,1716.15,84.0
84,1640.0,1757.0,1716.25,85.0
85,1641.0,1788.0,1721.1,86.0
86,1641.0,1788.0,1721.1,87.0
87,1641.0,1788.0,1721.1,88.0
88,1641.0,1788.0,1721.1,89.0
89,1641.0,1788.0,1721.1,90.0
90,1674.0,1793.0,1724.7,91.0
91,1674.0,1793.0,1725.05,92.0
92,1674.0,1793.0,1725.05,93.0
93,1674.0,1793.0,1725.05,94.0
94,1674.0,1793.0,1725.05,95.0
95,1676.0,1796.0,1732.1,96.0
96,1676.0,1796.0,1734.0,97.0
97,1676.0,1796.0,1734.0,98.0
98,1676.0,1796.0,1734.0,99.0
99,1676.0,1796.0,1734.0,100.0
100,1680.0,1796.0,1738.3,101.0
101,1680.0,1797.0,1739.15,102.0
102,1680.0,1797.0,1739.15,103.0
103,1680.0,1797.0,1739.15,104.0
104,1680.0,1797.0,1739.15,105.0
105,1687.0,1797.0,1742.2,106.0
106,1687.0,1801.0,1743.65,107.0
107,1687.0,1801.0,1743.65,108.0
108,1687.0,1801.0,1743.65,109.0
109,1687.0,1801.0,1743.65,110.0
110,1689.0,1801.0,1744.85,111.0
111,1689.0,1804.0,1746.35,112.0
112,1689.0,1804.0,1746.35,113.0
113,1689.0,1804.0,1746.35,114.0
114,1689.0,1804.0,1746.35,115.0
115,1689.0,1804.0,1747.1,116.0
116,1689.0,1805.0,1748.15,117.0
117,1689.0,1805.0,1748.15,118.0
118,1689.0,1805.0,1748.15,119.0
119,1689.0,1805.0,1748.15,120.0
120,1693.0,1805.0,1749.0,121.0
121,1693.0,1805.0,1750.35,122.0
122,1693.0,1805.0,1750.35,123.0
123,1693.0,1805.0,1750.35,124.0
124,1693.0,1805.0,1750.35,125.0
125,1696.0,1805.0,1751.25,126.0
126,1696.0,1810.0,1755.2,127.0
127,1696.0,1810.0,1755.2,128.0
128,1696.0,1810.0,1755.2,129.0
129,1696.0,1810.0,1755.2,130.0
130,1696.0,1810.0,1755.4,131.0
131,1714.0,1820.0,1758.6,132.0
132,1714.0,1820.0,1758.6,133.0
