,min,max,ave,time
0,1636.0,1697.0,1677.95,1.0
1,1636.0,1697.0,1677.95,2.0
2,1636.0,1697.0,1677.95,3.0
3,1636.0,1697.0,1677.95,4.0
4,1636.0,1697.0,1677.95,5.0
5,1636.0,1697.0,1677.95,6.0
6,1636.0,1697.0,1677.95,7.0
7,1636.0,1697.0,1677.95,8.0
8,1636.0,1697.0,1677.95,9.0
9,1636.0,1697.0,1677.95,10.0
10,1636.0,1697.0,1677.95,11.0
11,1636.0,1697.0,1677.95,12.0
12,1636.0,1697.0,1677.95,13.0
13,1636.0,1697.0,1677.95,14.0
14,1636.0,1697.0,1677.95,15.0
15,1636.0,1697.0,1677.95,16.0
16,1636.0,1697.0,1677.95,17.0
17,1636.0,1697.0,1677.95,18.0
18,1636.0,1697.0,1677.95,19.0
19,1636.0,1697.0,1677.95,20.0
20,1636.0,1697.0,1677.95,21.0
21,1636.0,1697.0,1677.95,22.0
22,1636.0,1697.0,1677.95,23.0
23,1636.0,1697.0,1677.95,24.0
24,1636.0,1697.0,1677.95,25.0
25,1636.0,1697.0,1677.95,26.0
26,1636.0,1697.0,1677.95,27.0
27,1636.0,1697.0,1677.95,28.0
28,1636.0,1697.0,1677.95,29.0
29,1636.0,1697.0,1677.95,30.0
30,1636.0,1697.0,1677.95,31.0
31,1636.0,1697.0,1677.95,32.0
32,1636.0,1697.0,1677.95,33.0
33,1636.0,1697.0,1677.95,34.0
34,1636.0,1697.0,1677.95,35.0
35,1636.0,1697.0,1677.95,36.0
36,1636.0,1697.0,1677.95,37.0
37,1636.0,1697.0,1677.95,38.0
38,1636.0,1697.0,1677.95,39.0
39,1636.0,1697.0,1677.95,40.0
40,1636.0,1697.0,1677.95,41.0
41,1636.0,1697.0,1677.95,42.0
42,1636.0,1697.0,1677.95,43.0
43,1636.0,1697.0,1677.95,44.0
44,1636.0,1697.0,1677.95,45.0
45,1636.0,1697.0,1677.95,46.0
46,1636.0,1697.0,1677.95,47.0
47,1636.0,1697.0,1677.95,48.0
48,1636.0,1697.0,1677.95,49.0
49,1636.0,1697.0,1677.95,50.0
50,1636.0,1697.0,1677.95,51.0
51,1636.0,1697.0,1677.95,52.0
52,1636.0,1697.0,1677.95,53.0
53,1636.0,1697.0,1677.95,54.0
54,1636.0,1697.0,1677.95,55.0
55,1636.0,1697.0,1677.95,56.0
56,1636.0,1697.0,1677.95,57.0
57,1636.0,1697.0,1677.95,58.0
58,1636.0,1697.0,1677.95,59.0
59,1636.0,1697.0,1677.95,60.0
60,1636.0,1697.0,1677.95,61.0
61,1636.0,1697.0,1677.95,62.0
62,1636.0,1697.0,1677.95,63.0
63,1636.0,1697.0,1677.95,64.0
64,1636.0,1709.0,1681.8,65.0
65,1642.0,1709.0,1683.4,66.0
66,1642.0,1709.0,1683.4,67.0
67,1642.0,1709.0,1683.4,68.0
68,1642.0,1709.0,1683.4,69.0
69,1642.0,1710.0,1685.0,70.0
70,1642.0,1710.0,1686.3,71.0
71,1642.0,1710.0,1686.3,72.0
72,1642.0,1710.0,1686.3,73.0
73,1642.0,1710.0,1686.3,74.0
74,1642.0,1712.0,1687.2,75.0
75,1642.0,1712.0,1687.95,76.0
76,1642.0,1712.0,1687.95,77.0
77,1642.0,1712.0,1687.95,78.0
78,1642.0,1712.0,1687.95,79.0
79,1642.0,1712.0,1688.65,80.0
80,1653.0,1714.0,1691.2,81.0
81,1653.0,1714.0,1691.2,82.0
82,1653.0,1714.0,1691.2,83.0
83,1653.0,1714.0,1691.2,84.0
84,1653.0,1716.0,1691.75,85.0
85,1656.0,1721.0,1694.25,86.0
86,1656.0,1721.0,1694.25,87.0
87,1656.0,1721.0,1694.25,88.0
88,1656.0,1721.0,1694.25,89.0
89,1656.0,1721.0,1694.25,90.0
90,1659.0,1728.0,1697.55,91.0
91,1659.0,1728.0,1697.55,92.0
92,1659.0,1728.0,1697.55,93.0
93,1659.0,1728.0,1697.55,94.0
94,1659.0,1728.0,1697.55,95.0
95,1667.0,1742.0,1703.35,96.0
96,1667.0,1742.0,1703.4,97.0
97,1667.0,1742.0,1703.4,98.0
98,1667.0,1742.0,1703.4,99.0
99,1667.0,1742.0,1703.4,100.0
100,1667.0,1752.0,1707.35,101.0
