,min,max,ave,time
0,1656.0,1744.0,1695.8,1.0
1,1656.0,1744.0,1695.8,2.0
2,1656.0,1744.0,1695.8,3.0
3,1656.0,1744.0,1695.8,4.0
4,1656.0,1744.0,1695.8,5.0
5,1656.0,1744.0,1695.8,6.0
6,1656.0,1744.0,1695.8,7.0
7,1656.0,1744.0,1695.8,8.0
8,1656.0,1744.0,1695.8,9.0
9,1656.0,1744.0,1695.8,10.0
10,1656.0,1744.0,1695.8,11.0
11,1656.0,1744.0,1695.8,12.0
12,1656.0,1744.0,1695.8,13.0
13,1656.0,1744.0,1695.8,14.0
14,1656.0,1744.0,1695.8,15.0
15,1656.0,1744.0,1695.8,16.0
16,1656.0,1744.0,1695.8,17.0
17,1656.0,1744.0,1695.8,18.0
18,1656.0,1744.0,1695.8,19.0
19,1656.0,1744.0,1695.8,20.0
20,1656.0,1744.0,1695.8,21.0
21,1656.0,1744.0,1695.8,22.0
22,1656.0,1744.0,1695.8,23.0
23,1656.0,1744.0,1695.8,24.0
24,1656.0,1744.0,1695.8,25.0
25,1656.0,1744.0,1695.8,26.0
26,1656.0,1744.0,1695.8,27.0
27,1656.0,1744.0,1695.8,28.0
28,1656.0,1744.0,1695.8,29.0
29,1656.0,1744.0,1695.8,30.0
30,1656.0,1744.0,1695.8,31.0
31,1656.0,1744.0,1695.8,32.0
32,1656.0,1744.0,1695.8,33.0
33,1656.0,1744.0,1695.8,34.0
34,1656.0,1744.0,1695.8,35.0
35,1656.0,1744.0,1695.8,36.0
36,1656.0,1744.0,1695.8,37.0
37,1656.0,1744.0,1695.8,38.0
38,1656.0,1744.0,1695.8,39.0
39,1656.0,1744.0,1695.8,40.0
40,1656.0,1744.0,1695.8,41.0
41,1656.0,1744.0,1695.8,42.0
42,1656.0,1744.0,1695.8,43.0
43,1656.0,1744.0,1695.8,44.0
44,1656.0,1744.0,1695.8,45.0
45,1656.0,1744.0,1695.8,46.0
46,1656.0,1744.0,1695.8,47.0
47,1656.0,1744.0,1695.8,48.0
48,1656.0,1744.0,1695.8,49.0
49,1656.0,1744.0,1695.8,50.0
50,1656.0,1744.0,1695.8,51.0
51,1656.0,1744.0,1695.8,52.0
52,1656.0,1744.0,1695.8,53.0
53,1656.0,1744.0,1695.8,54.0
54,1656.0,1744.0,1695.8,55.0
55,1656.0,1744.0,1695.8,56.0
56,1656.0,1744.0,1695.8,57.0
57,1656.0,1744.0,1695.8,58.0
58,1656.0,1744.0,1695.8,59.0
59,1656.0,1744.0,1695.8,60.0
60,1656.0,1744.0,1695.8,61.0
61,1656.0,1744.0,1695.8,62.0
62,1656.0,1744.0,1695.8,63.0
63,1656.0,1744.0,1695.8,64.0
64,1658.0,1749.0,1697.4,65.0
65,1658.0,1749.0,1701.5,66.0
66,1658.0,1749.0,1701.5,67.0
67,1658.0,1749.0,1701.5,68.0
68,1658.0,1749.0,1701.5,69.0
69,1658.0,1751.0,1703.2,70.0
70,1659.0,1751.0,1706.0,71.0
71,1659.0,1751.0,1706.0,72.0
72,1659.0,1751.0,1706.0,73.0
73,1659.0,1751.0,1706.0,74.0
74,1659.0,1754.0,1707.4,75.0
75,1662.0,1754.0,1710.9,76.0
76,1662.0,1754.0,1710.9,77.0
77,1662.0,1754.0,1710.9,78.0
78,1662.0,1754.0,1710.9,79.0
79,1662.0,1758.0,1711.8,80.0
80,1679.0,1758.0,1716.8,81.0
81,1679.0,1758.0,1716.8,82.0
82,1679.0,1758.0,1716.8,83.0
83,1679.0,1758.0,1716.8,84.0
84,1679.0,1759.0,1717.2,85.0
85,1688.0,1771.0,1724.05,86.0
86,1688.0,1771.0,1724.05,87.0
87,1688.0,1771.0,1724.05,88.0
88,1688.0,1771.0,1724.05,89.0
89,1689.0,1771.0,1725.7,90.0
90,1690.0,1783.0,1727.95,91.0
91,1690.0,1783.0,1727.95,92.0
92,1690.0,1783.0,1727.95,93.0
93,1690.0,1783.0,1727.95,94.0
94,1690.0,1783.0,1728.7,95.0
95,1690.0,1791.0,1731.45,96.0
96,1690.0,1791.0,1731.45,97.0
97,1690.0,1791.0,1731.45,98.0
98,1690.0,1791.0,1731.45,99.0
99,1690.0,1791.0,1731.5,100.0
100,1700.0,1794.0,1736.75,101.0
101,1700.0,1794.0,1736.75,102.0
102,1700.0,1794.0,1736.75,103.0
103,1700.0,1794.0,1736.75,104.0
104,1700.0,1794.0,1736.75,105.0
105,1706.0,1794.0,1741.95,106.0
106,1706.0,1794.0,1742.2,107.0
107,1706.0,1794.0,1742.2,108.0
108,1706.0,1794.0,1742.2,109.0
109,1706.0,1794.0,1742.2,110.0
110,1708.0,1794.0,1744.3,111.0
111,1708.0,1794.0,1745.8,112.0
112,1708.0,1794.0,1745.8,113.0
113,1708.0,1794.0,1745.8,114.0
114,1708.0,1794.0,1745.8,115.0
115,1711.0,1800.0,1748.0,116.0
116,1711.0,1800.0,1749.5,117.0
117,1711.0,1800.0,1749.5,118.0
118,1711.0,1800.0,1749.5,119.0
119,1711.0,1800.0,1749.5,120.0
120,1711.0,1800.0,1754.6,121.0
121,1711.0,1812.0,1755.55,122.0
122,1711.0,1812.0,1755.55,123.0
123,1711.0,1812.0,1755.55,124.0
124,1711.0,1812.0,1755.55,125.0
125,1716.0,1812.0,1757.5,126.0
126,1716.0,1817.0,1758.9,127.0
127,1716.0,1817.0,1758.9,128.0
128,1716.0,1817.0,1758.9,129.0
129,1716.0,1817.0,1758.9,130.0
130,1717.0,1817.0,1759.75,131.0
131,1717.0,1819.0,1762.9,132.0
132,1717.0,1819.0,1762.9,133.0
133,1717.0,1819.0,1762.9,134.0
134,1717.0,1819.0,1762.9,135.0
135,1717.0,1819.0,1763.45,136.0
136,1717.0,1820.0,1765.45,137.0
137,1717.0,1820.0,1765.45,138.0
138,1717.0,1820.0,1765.45,139.0
139,1717.0,1820.0,1765.45,140.0
140,1718.0,1820.0,1766.05,141.0
141,1718.0,1822.0,1767.3,142.0
142,1718.0,1822.0,1767.3,143.0
143,1718.0,1822.0,1767.3,144.0
144,1718.0,1822.0,1767.3,145.0
145,1722.0,1822.0,1768.5,146.0
146,1722.0,1823.0,1770.95,147.0
147,1722.0,1823.0,1770.95,148.0
148,1722.0,1823.0,1770.95,149.0
149,1722.0,1823.0,1770.95,150.0
150,1730.0,1823.0,1771.75,151.0
151,1730.0,1823.0,1773.3,152.0
152,1730.0,1823.0,1773.3,153.0
153,1730.0,1823.0,1773.3,154.0
154,1730.0,1823.0,1773.3,155.0
155,1741.0,1823.0,1775.55,156.0
156,1741.0,1824.0,1776.95,157.0
157,1741.0,1824.0,1777.25,158.0
158,1741.0,1824.0,1777.25,159.0
159,1741.0,1824.0,1777.25,160.0
160,1743.0,1824.0,1777.85,161.0
161,1743.0,1827.0,1779.4,162.0
162,1743.0,1827.0,1779.4,163.0
163,1743.0,1827.0,1779.4,164.0
164,1743.0,1827.0,1779.4,165.0
165,1744.0,1827.0,1779.85,166.0
166,1744.0,1829.0,1781.6,167.0
167,1744.0,1829.0,1781.65,168.0
168,1744.0,1829.0,1781.65,169.0
169,1744.0,1829.0,1781.65,170.0
170,1744.0,1829.0,1782.4,171.0
171,1745.0,1829.0,1785.1,172.0
172,1745.0,1829.0,1786.3,173.0
173,1745.0,1829.0,1786.3,174.0
174,1745.0,1829.0,1786.3,175.0
175,1745.0,1829.0,1786.7,176.0
176,1746.0,1829.0,1789.2,177.0
177,1746.0,1829.0,1789.7,178.0
178,1746.0,1829.0,1789.7,179.0
179,1746.0,1829.0,1789.7,180.0
180,1746.0,1829.0,1789.85,181.0
181,1751.0,1829.0,1791.4,182.0
182,1751.0,1829.0,1791.65,183.0
183,1751.0,1829.0,1791.65,184.0
184,1751.0,1829.0,1791.65,185.0
185,1751.0,1829.0,1791.65,186.0
186,1751.0,1832.0,1792.4,187.0
187,1751.0,1832.0,1792.75,188.0
188,1751.0,1832.0,1792.75,189.0
189,1751.0,1832.0,1792.75,190.0
190,1751.0,1832.0,1792.75,191.0
191,1751.0,1836.0,1794.1,192.0
192,1751.0,1836.0,1794.7,193.0
193,1751.0,1836.0,1794.7,194.0
194,1751.0,1836.0,1794.7,195.0
195,1751.0,1836.0,1794.7,196.0
196,1753.0,1837.0,1796.55,197.0
197,1753.0,1837.0,1796.9,198.0
198,1753.0,1837.0,1796.9,199.0
199,1753.0,1837.0,1796.9,200.0
200,1753.0,1837.0,1796.9,201.0
201,1753.0,1839.0,1798.2,202.0
202,1753.0,1839.0,1798.5,203.0
203,1753.0,1839.0,1798.5,204.0
204,1753.0,1839.0,1798.5,205.0
205,1753.0,1839.0,1798.5,206.0
206,1753.0,1839.0,1799.4,207.0
207,1753.0,1839.0,1803.25,208.0
208,1753.0,1839.0,1803.25,209.0
209,1753.0,1839.0,1803.25,210.0
210,1753.0,1839.0,1803.25,211.0
211,1754.0,1839.0,1803.4,212.0
212,1754.0,1839.0,1805.1,213.0
213,1754.0,1839.0,1805.3,214.0
214,1754.0,1839.0,1805.3,215.0
215,1754.0,1839.0,1805.3,216.0
216,1759.0,1839.0,1805.75,217.0
217,1759.0,1841.0,1807.4,218.0
218,1759.0,1841.0,1807.55,219.0
219,1759.0,1841.0,1807.55,220.0
220,1759.0,1841.0,1807.55,221.0
221,1762.0,1841.0,1807.8,222.0
222,1762.0,1846.0,1809.3,223.0
223,1762.0,1846.0,1810.1,224.0
224,1762.0,1846.0,1810.1,225.0
225,1762.0,1846.0,1810.1,226.0
226,1762.0,1846.0,1810.9,227.0
227,1762.0,1855.0,1813.1,228.0
228,1762.0,1855.0,1813.3,229.0
229,1762.0,1855.0,1813.3,230.0
230,1762.0,1855.0,1813.3,231.0
231,1765.0,1855.0,1813.9,232.0
232,1765.0,1856.0,1815.55,233.0
233,1765.0,1856.0,1816.25,234.0
234,1765.0,1856.0,1816.25,235.0
235,1765.0,1856.0,1816.25,236.0
236,1769.0,1856.0,1816.55,237.0
237,1769.0,1858.0,1817.15,238.0
238,1769.0,1858.0,1817.6,239.0
239,1769.0,1858.0,1817.6,240.0
240,1769.0,1858.0,1817.6,241.0
241,1769.0,1858.0,1817.6,242.0
242,1769.0,1858.0,1819.35,243.0
243,1769.0,1858.0,1821.5,244.0
244,1769.0,1858.0,1821.5,245.0
245,1769.0,1858.0,1821.5,246.0
246,1769.0,1858.0,1821.55,247.0
247,1782.0,1858.0,1823.05,248.0
248,1782.0,1858.0,1823.55,249.0
249,1782.0,1858.0,1823.55,250.0
250,1782.0,1858.0,1823.55,251.0
251,1782.0,1858.0,1823.55,252.0
252,1782.0,1859.0,1824.45,253.0
253,1782.0,1859.0,1824.65,254.0
254,1782.0,1859.0,1824.85,255.0
255,1782.0,1859.0,1824.85,256.0
256,1782.0,1859.0,1824.85,257.0
257,1782.0,1885.0,1829.2,258.0
258,1782.0,1885.0,1829.95,259.0
259,1782.0,1885.0,1830.05,260.0
260,1782.0,1885.0,1830.05,261.0
261,1782.0,1885.0,1830.05,262.0
262,1782.0,1888.0,1832.25,263.0
263,1782.0,1888.0,1832.5,264.0
264,1782.0,1888.0,1832.5,265.0
265,1782.0,1888.0,1832.5,266.0
266,1782.0,1888.0,1832.5,267.0
267,1782.0,1896.0,1833.25,268.0
268,1782.0,1896.0,1834.6,269.0
269,1782.0,1896.0,1834.6,270.0
